Contexte gauche,Chaîne,Transcription,Contexte droit
ing augurics from th,e,c,"m, chiefly sinister,"
"r, for most of the b",e,c,holders thought the 
s portended the spee,d,l,y death of the queen
"the queen, and the a",d,l,vent of a new monarc
narch from the north,—,-,a safo and easy inte
from the north-a saf,e,o, and easy interpreta
sidering the ad@ance,d,t, age and declining h
"ious Elizabecth, tog",e,c,ther with the kno@n 
"f her successor, Jam",e,c,s of fScotland. Notw
tanding the early ha,b,l,"its of the times, fe"
ons had retired to r,e,c,"st, an uni@ersal wis"
 prevailing among th,e,c, citizens to see the
and welcome the cent,u,n,ry nccompanying it. 
welcome the centnry ,a,n,ccompanying it. Ligh
 holly-sprigs and la,u,n,rel-lea@cs stuck thi
rigs and lanrel-lea@,e,c,s stuck thickly in t
eir diamond panes; w,h,l,"ile, whenever as d@o"
", whenever as d@or w",a,u,"s opened, n ruddy gl"
"as d@or wus opened, ",a,n, ruddy gleam burst a
burst across the str,e,c,et; and a glance ins
st across the strcet,",",;, and a glance inside
er gathered round th,e,o," glowing hearth, oec"
"ho glowing hearth, o",c,e,cupicd in mirthful s
"owing hearth, oecupi",e,c,d in mirthful sports
d in mirthful sports,—,-,"fox-i'-th@'hole, bli"
irthful sports-fox-i,’,',"-th@'hole, blind-nan"
ul sports-fox-i'-th@,-,',"hole, blind-nan's-bu"
"-i'-th@'hole, blind-",m,n,"an's-buff, or shoe-t"
"-th@'hole, blind-nan",’,',"s-buff, or shoe-the-"
"h@'hole, blind-nan's", ,-,"buff, or shoe-the-ma"
"uff, or shoe-the-mar",e—,c-,or seated at tho @mp
marc-or seated at th,e,o, @mple board grounin
 tho @mple board gro,a,u,ning with Christmas 
g with Christmas che,e,c,r. MInsie nnd singin
h Christmas checr. M,u,I,nsie nnd singing wer
ristmas checr. MInsi,c,e, nnd singing were he
stmas checr. MInsie ,a,n,nd singing were henr
 nnd singing were he,a,n,"rd at e@ery coruer, "
e henrd at e@ery cor,n,u,"er, and bnnds of com"
" e@ery coruer, and b",a,n,nds of com@ly damsel
"r sweethearts, went ",f,I,"rom house to honse, "
ent Irom house to ho,u,n,"se, bearing tage bro"
"e to honse, bearing ",hu,ta,ge brown bowls dress
with a drink called ,“,`,"`lamb's-wool,'' comp"
 drink called ``lamb,’,',"s-wool,'' composed o"
"alled ``lamb's-wool,",”,',' composed of sturdy
"sed of sturdy ale, s",w,m,"eetenel with sugar, "
"sturdy ale, smeetene",d,l," with sugar, spiced "
ng toasts and bur@t ,c,e,rabs floating within
s floating within it,—,",",-a dranght from whic
"ing within it,-a dra",u,n,ght from which seldo
brought its pretty b,e,c,arers less than a gr
lly a more valuable ,c,e,oin. Such wns the @i
aluable eoin. Such w,a,n,s the @igil of thoe 
 @igil of thoe year ,s,S,ixteen Hundred. On t
f thoe year Sixteen ,h,H,undred. On this nigh
d venerable appearan,c,e,e wns sccn to emerge
nerable appearanee w,a,n,s sccn to emerge upo
ble appearanee wns s,ee,cc,n to emerge upon a s
ituated at the south,e,c,rn extremity of Lond
 extremity of London, B,-b,ridge. The old man's
-bridge. The old man,’,',s bcard and @air wer
dge. The old man's b,e,c,ard and @air were as
o@erhanging brows th,a,m,t shaded lis still p
g brows thmt shaded ,h,l,is still piercing ey
numerable @rinkles. ,H,I,"Iis countenance, des"
" countenance, despit",e,o, its dentl-lika pual
"ance, despito its de",a,n,"tl-lika pualeness, h"
"ce, despito its dent",h,l,"-lika pualeness, had"
espito its dentl-lik,e,a," pualeness, had a no"
"ss, had a noble and ",ma,ns,"jestic cnst, ani his"
noble and nsjestic c,a,n,"st, ani his figure, "
le and nsjestic cnst,;,","," ani his figure, tho"
"nd nsjestic cnst, an",d,i," his figure, though "
", @nud bent by the w",e,o,"ight of yenrs, must "
 by the woight of ye,a,n,"rs, must hase been o"
"ht of yenrs, must ha",v,s,e been once lofty an
once lofty and comma,n,u,ding. His dress cons
 dress consisted of ,a,n, doublet and hose of
h he wore a loose go,w,v,n of blaek silk. HIi
 a loose govn of bla,c,e,k silk. HIis head wa
@ered by a square bl,a,u,"ck cap, from @eneath"
"ap, from @eneath whi",c,e,h his silser locks s
eneath whieh his sil,v,s,er locks strayed o@e
o@er his shoulders. ,K,I,nown by the name of 
"octor Lamb, and addi",c,e,ted to alchemicnl an
addieted to alchemic,a,n,l and philosophical 
d to employ a deform,e,o,"d, eraek-brained dwa"
" employ a deformod, ",c,e,"raek-brained dwarf, "
"ploy a deformod, era",c,e,"k-brained dwarf, who"
"is operations, and w",h,l,om he app@opriately 
he app@opriately eno,u,n,gh denominated Flapd
pdragon. Doctor Lamb,’,',s gaze was fixed iut
b's gaze was fixed i,n,u,tently upon the hea@
"y upon the hea@ens, ",a,n,nd he seemed to be n
"e hea@ens, nnd he se",a,e,med to be notiug the
he seemed to be noti,n,u,g the position of th
me particular star. ,A,M,fter remaining in t@
e it proceeded. Imme,d,l,iately before him st
Southwark Gate@ay@a ,s,e,quare stons building
ate@ay@a equare ston,e,s," building, with a ro"
" building, with a ro",u,n,"nd, embattlod turret"
"ith a ronnd, embattl",e,o,d turret at enach co
nished with human he,ad,nl,"s. To his surprise, "
 doctor percei@ed th,a,n,t two of these poles
act of stripping th@,m,n, of their grisly bur
g accomplished his o,b,l,"ject, the mysterious"
 the mysterious plun,d,l,erer thrust his spoi
n his retreat was su,d,l,denly cut off by the
nly cut off by the g,a,u,"tekeeper, armed with"
r opening upon the l,e,c,ads. The baffled mar
marking the open win,d,l,ow at which bDoctor 
w at which bDoctor L,a,n,"mb was stationed, hu"
k and its contents t,h,l,rough it. IIo then t
ontents tlrough it. ,He,II,o then triodl to gai
ugh it. IIo then tri,e,o,dl to gain the ladde
intercepted by the g,a,n,"tckceper, who dealt "
tercepted by the gnt,e,c,"kceper, who dealt hi"
rcepted by the gntck,e,c,"eper, who dealt him "
"eper, who dealt him ",a,n, s@vere blow on the 
lberd. DR. LAMIB. Th,e,o, plunderer uttered a
from his opponent. H,e,o," thon fell, and the "
 his opponent. Ho th,e,o,"n fell, and the gate"
nd the gatekeeper wo,u,n,ld hare repeated the
 gatekeeper wonld ha,v,r,"e repeated the blow,"
"ated the blow, if th",e,o, doctor had not call
"l him, good Baldred,",”,',' he eried. @Th@ att
" good Baldred,'' he ",c,e,ried. @Th@ attempt m
"rs. Doubtless, the m",u,n,tilatel remains whic
"btless, the mntilate",d,l, remains which tho p
tel remains which th,e,o, poor wretch has att
h has attempted to c,a,n,"rry off, are those o"
led him to commit th,e,o, offence.'' @It may 
 commit tho offence.,”,',"' @It may be, doetor"
"ce.'' @It may be, do",c,e,"tor,'' replied Baldr"
" @It may be, doetor,",”,',' replied Baldred; `
'' replied Baldred; ,“,`,` and if so I shall 
 and if so I shall b,e,o, sorry I hare hurt h
 shall bo sorry I ha,v,r,e hurt him. Bnut I a
m responsible for th,e,o, snfe custody of tle
esponsible for tho s,a,n,fe custody of tlese 
ho snfe custody of t,h,l,ese traitorous relic
as much as my own he,a,n,d is worth to permit
ermit their remo@al.,”,',"' @I know it,'' repl"
"mo@al.'' @I know it,",”,',' replied Doctor Lam
eplied Doctor Lamb; ,“,`,`and you are fully j
ay throw some light ,u,n,"pon the matter, to k"
s ha@@ been disturbe,d,l,.'' @They were tho h
ha@@ been disturbel.,”,',' @They were tho hea
bel.'' @They were th,e,o, heads of two rank p
"of two rank papists,",”,',"' replied Bualdred, "
"aldred, @who were de",c,e,apitatel on @ower Hi
@who were deeapitate,d,l," on @ower Hill, on S"
"l, on Saint Nicholas",’,',"s day, three weeks a"
on Saint Nicholas's ,D,d,"ay, three weeks ago,"
onspiring against th,e,a, qucen.'' e But thei
iring against tha qu,e,c,en.'' e But their na
g against tha qucen.,”,',' e But their names?
gainst tha qucen.'' ,“,e, But their names?'' 
' e But their names?,”,',' demanded the docto
ow were they called ,?”,7',' @They wero father 
called 7'' @They wer,e,o," father and son,'' r"
"wero father and son,",”,',' replied Baldred ;-
",'' replied Baldred ",—“,;-,: Sir Simon Darey an
ed ;-: Sir Simon Dar,c,e,y and Master Reginal
 Master Reginald Dar,c,e,y. Perchan@ea t@ey w
own to your worship ,?”,7',' e Too well-too wel
to your worship 7'' ,“,e, Too well-too well 1
rship 7'' e Too well,—,-,too well 1'' repliel
e Too well-too well ,!”,1',' repliel Doctor Lam
-too well 1'' replie,d,l," Doctor Lamb, in a v"
 that startled his h,e,c,arcr. @They were nea
at startled his hcar,e,c,r. @They were near l
e@own. Wh@t is he li,ke,lo, wlo has mado tlis s
n. Wh@t is he lilo w,h,l,o has mado tlis stra
 he lilo wlo has mad,e,o, tlis strange attemp
 lilo wlo has mado t,h,l,is strange attempt '
lis strange attempt ,?”,''," @Of a rerity, a fai"
ge attempt '' @Of a ,v,r,"erity, a fair youth,"
"erity, a fair youth,",”,',"' rcplie1 Daldrcd, l"
"y, a fair youth,'' r",e,c,"plie1 Daldrcd, loldi"
"fair youth,'' rcplie",d,1," Daldrcd, lolding do"
"ir youth,'' rcplie1 ",B,D,"aldrcd, lolding down"
"uth,'' rcplie1 Daldr",e,c,"d, lolding down the "
"'' rcplie1 Daldrcd, ",h,l,olding down the lant
 down the lantern. @,H,I,ea@en grant I la@o n
rn. @Iea@en grant I ,h,l,a@o not wounded @im 
 @Iea@en grant I la@,e,o, not wounded @im to 
ded @im to the death,!,1," No, his heart still"
"o, his heart still b",e,c,ats. IIa1 hera ar@ h
 heart still bcats. ,H,I,Ia1 hera ar@ his tab
art still bcats. IIa,!,1, hera ar@ his tablet
till bcats. IIa1 her,e,a," ar@ his tablets,'' "
"era ar@ his tablets,",”,',"' ho adled, taking a"
"ar@ his tablets,'' h",e,o," adled, taking a sma"
"his tablets,'' ho ad",d,l,"ed, taking a small b"
small book from his ,d,l,oublet; `' these may
k from his loublet; ,“,`,' these may gi@e tho
`' these may gi@e th,e,o, information you see
rmation you seek. Yo,u,n, wero right in your 
on you seek. Yon wer,e,o, right in your conjc
o right in your conj,e,c,"cture, doctor. Tho n"
"njccture, doctor. Th",e,o, namo herein inscrib
"ure, doctor. Tho nam",e,o, herein inscribed is
is the same as that ,b,t,orne by tho others-A
 as that torne by th,e,o, others-Auriol Darey
 torne by tho others,—,-,Auriol Darey.'' @I s
ho others-Auriol Dar,c,e,"y.'' @I sce it all,'"
others-Auriol Darey.,”,',"' @I sce it all,'' c"
Auriol Darey.'' @I s,e,c,"e it all,'' cried La"
"ey.'' @I sce it all,",”,',' cried Lamb. @It wa
"uth to my dwelling, ",B,D,"aldred, and you shal"
 you shall be well r,e,c,wardel. Use despatch
hall be well rcwarde,d,l,". Use despatch, I pr"
"espatch, I pray you.",”,',' As the gatekceper 
 you.'' As the gatek,e,c,eper essayed to co@p
"ed to co@ply, the wo",u,n,nded man groanel dee
e wonnded man groane,d,l," deeply, as if in gr"
ain. @Fling me the w,e,c,apon with which you 
 with which you smot,e,o," lim,'' ericd Doctor"
ith which you smoto ,h,l,"im,'' ericd Doctor L"
"which you smoto lim,",”,',"' ericd Doctor Lamb,"
"ch you smoto lim,'' ",c,e,"ricd Doctor Lamb, in"
"you smoto lim,'' eri",e,c,"d Doctor Lamb, in ac"
"s of commiseration, ",“,`,'`and I @ill anoint 
powder of sympathy. ,H,I,Iis anguish @ill be 
s anguish @ill be sp,e,c,elily abated.'' eI k
anguish @ill be spce,d,l,ily abated.'' eI k@o
 be spcelily abated.,”,',' eI k@ow your worsh
 spcelily abated.'' ,“,e,I k@ow your worship 
p can accomplish @on,d,l,"ers,'' oried @aldred"
" accomplish @onlers,",”,',"' oried @aldred, tlr"
"complish @onlers,'' ",c,o,"ried @aldred, tlrowi"
",'' oried @aldred, t",h,l,rowing the halberd i
halberd into the bal,c,e,ony. @I @ill do my p
 as gently as I can.,”,',' And as tle alclemn
as I can.'' And as t,h,l,e alclemnist taok up
an.'' And as tle alc,h,l,emnist taok up the w
 as tle alclemnist t,o,a,"ok up the weapon, an"
"he window, the gatek",e,c,eper liftel tho woun
the gatekceper lifte,d,l, tho wounded man by 
gatekceper liftel th,e,o, wounded man by t@e 
ase to a lower chamb,e,c,r. Though ho procced
er chambcr. Though h,e,o, procced@d carefully
mbcr. Though ho proc,e,c,"ed@d carefully, the "
erer was put to excr,u,a,ciating pain; nnl wh
 excraciating pain; ,a,n,nl when Daldred plac
xcraciating pain; nn,d,l, when Daldred placed
ting pain; nnl when ,B,D,aldred placed him en
 Daldred placed him ,o,e,"n a wooden bench, an"
d held DB. LAMD. a l,a,s,"mp towards him, he p"
hat his features wer,e,a, darkened and distor
and distorted. @I fe,a,n,r it's all over with
istorted. @I fenr it,’,',"s all over with lim,"
 it's all over with ,h,l,"im,'' mnrmured the g"
"s all over with lim,",”,',' mnrmured the gatek
"l over with lim,'' m",u,n,rmured the gatekeepe
red the gatekeeper; ,“,e,I @hall ha@e a dead 
o Doctor Lamb. It wo,u,n,ld bo a charity to k
tor Lamb. It wonld b,e,o, a charity to knoek 
 bo a charity to kno,c,e,"k him on the head, r"
 him suffer thus. Th,e,o, doctor passes for a
"ing ma@, but if he c",a,n,n cure this poor you
poor youth without s,e,c,"eing him, by tho hel"
"ut sceing him, by th",e,o, help of his sympath
 relations with the ,d,l,evil.' Whilo Baldred
ions with the levil.,”,', Whilo Baldred was r
ith the levil.' Whil,e,o, Baldred was rnminat
 Whilo Baldred was r,u,n,minating in this man
" in this manner, a s",u,n,dden and cxtraorlina
"anner, a sndden and ",e,c,xtraorlinary change 
a sndden and cxtraor,d,l,inary change took pl
nge took place in th,e,o, suflerer. As if by 
ook place in tho suf,f,l,erer. As if by mngic
suflerer. As if by m,a,n,"gic, the contraction"
he contraction of th,e,o, muscles subsided; t
he features assumed ,a,n," wholesome hue, and "
"esome hue, and the r",e,c,spiration was no lon
o longer laborious. ,B,D,aldred stared as if 
miracle had been wro,u,n,ght. Now that the co
he countenance of th,e,o, yonth had regained 
ountenance of tho yo,u,n,th had regained its 
 not help being stru,c,e,k hy its extreme bea
t help being struek ,b,h,y its extreme beanty
k hy its extreme bea,u,n,ty. The fuce was a p
xtreme beanty. The f,a,u,ce was a pcrfect o@a
ty. The fuce was a p,e,c,"rfect o@al, with reg"
ache covered the upp,e,c,"r lip, which was sho"
h was short and pr@u,d,l,", and a pointedl bea"
 and a pointedl bear,d,l, terminated the chin
n. The hair was blac,k,l,", glossy, and cut sh"
"cut short, so as to ",d,l,isclose a highly int
e a highly intellect,u,n,al cxpanse of brow. 
highly intellectnal ,e,c,xpanse of brow. Tho 
 cxpanse of brow. Th,e,o, youtl's figure was 
se of brow. Tho yout,h’,l',"s figure was slight,"
"re was slight, but a",d,t,mirably proportioned
e consisted of a bla,c,e,"k satin doublet, sla"
" black silk, and a s",h,l,ort vel@et mantle. H
hen they lighted it ,u,n,p; but AU10L. notwit
sion per@aded the co,u,n,ntenance. All at onc
ss as his cure had b,e,c,"en effected, the you"
"d, uttering a pierci",n,u,"g ery, and placed hi"
uttering a pierciug ,c,e,"ry, and placed his h"
 his hand to his sid,e,o,. @C@iti@f1' he crie
o his sido. @C@iti@f,!”,1'," he cried, fixing hi"
" on the gatekeeper, ",“,`,` why do you torture
us? Finish me at onc,e,o, -Oh@' And overeome 
? Finish me at onco ,—,-,Oh@' And overeome by
nish me at onco -Oh@,”,', And overeome by ang
 onco -Oh@' And over,c,e,"ome by anguish, he s"
hasve not touched yo,u,n,", sir,'' replied Bal"
"ot touched yon, sir,",”,',' replied Baldred. e
'' replied Baldred. ,“I,e1, brought you here to
t have wiped the hal,b,l,"erd,'' he added to l"
"e wiped the hallerd,",”,',' he added to limsel
"lerd,'' he added to ",h,l,imself. Another sudd
er sudden change. Th,e,o, pain @led from the 
ed from the sufferer,’,',"s countenance, and h"
and he became easy a,s,e, before. @What ha@o 
ae before. @What ha@,e,o, you done to me1'' h
 ha@o you done to me,?”,1',"' ho asked, with a l"
 you done to me1'' h,e,o," asked, with a look "
h a look of gratitud,e,o,; ` tlo torture of m
 look of gratitudo; ,“,`, tlo torture of my w
ok of gratitudo; ` t,he,lo, torture of my wound
nd I feel ass if a b,a,n,lm had been dropped 
if you have any pity,—,-,"or despatch me, for "
"tch me, for my late ",a,n,gony was almost insu
almost insupportable,.”,",'",' @You are cnred for
"rtable,'' @You are c",a,n,red for by one who h
red for by one who h,a,n,s greater skill than
"hirurgeon in London,",”,',' replied Buldred. @
" London,'' replied B",a,u,ldred. @If I cnn man
ied Buldred. @If I c,a,n,n manage to transpor
"dgings, he will spee",d,l,ily heal your wounds
ly heal your wounds.,”,',"' e Do not delay, th"
heal your wounds.'' ,“,e," Do not delay, then,"
" Do not delay, then,",”,',"' repliel A@riol, fs"
"elay, then,'' replie",d,l," A@riol, fsintly; @f"
"'' repliel A@riol, f",a,s,intly; @fo@ though I
is ebbing fast away.,”,',' e Press this hnndk
ebbing fast away.'' ,“,e, Press this hnndkerc
ay.'' e Press this h,a,n,ndkerchief to your s
"chief to your side, ",a,n,"nd lean on mo,'' DB."
" side, nnd lean on m",e,o,",'' DB. LAMD. said B"
"ide, nnd lean on mo,",”,',' DB. LAMD. said Bul
",'' DB. LAMD. said B",a,u,ldred. @Doctor Lamb'
uldred. @Doctor Lamb,’,',s dwelling is but a 
tep from the gateway,—,-,"in fact, the first h"
on the bridge. By th,e,o," wuy, the doctor dec"
the bridge. By tho w,a,u,"y, the doctor declar"
s he is your kinsman,.”,",'",' @It is the first I
rst I ever heard of ,h,l,"im,' replied Auriol,"
"I ever heard of lim,",”,'," replied Auriol, fui"
",' replied Auriol, f",a,u,"intly; ""but take me "
"ed Auriol, fuintly; ",“,"""",but take me to him q
"uickly, or it will b",e,o, too late'' In anoth
 it will bo too late,.”,'', In another moment t
 they were at the do,c,e,tor's door. Baldred 
y were at the doetor,’,',s door. Baldred tapp
"d against it, and th",e,o, summons was instant
 a leathern apron ti,e,c,d round his waist. T
"eyed, smoke- begrime",d,l,", lantern-javed, the"
"begrimel, lantern-ja",w,v,"ed, the poor dwarf s"
ws. In his hand he h,e,c,ld the halberd with 
 been plasying the l,e,c,"ech, Flapdragon, eh7"
"cech, Flapdragon, eh",?”,7',' cried Baldred. @Ay
"Baldred. @Ay, marry ",h,l,"aro I,'' replied the"
"ldred. @Ay, marry la",ve,ro," I,'' replied the dw"
". @Ay, marry laro I,",”,',"' replied the dwarl,"
",'' replied the dwar",f,l,", with a wild grin, "
lfish set of teeth. ,“,', My master ordered m
h the sympathetic oi,n,u,tment. I obeyed him;
utment. I obeyed him,:,;, rubbed the steel po
n smearedl it again.,”,',' @Whereby you put t
"t to exquisite pain,",”,',' replied Baldred; `
'' replied Baldred; ,“,`, but help me to tran
m to the laboratory.,”,',' eI know not if tho
o the laboratory.'' ,“,e,I know not if thoe d
l care to be disturb,e,o,"d,'' said Flapdragon"
"are to be disturbod,",”,',' said Flapdragon. @
 said Flapdragon. @H,e,o, is busily engaged o
n a grand operation.,”,',' @I will tako the r
ation.'' @I will tak,e,o," the risk on myself,"
" the risk on myself,",”,',' said Baldred. @Tha
'' said Baldred. @Th,e,a, 10 AB:OL. youth @il
. youth @ill die if ,h,l,"e remains here. Sce,"
f le remains here. S,e,c,"e, he las fainted al"
"mains here. Sce, he ",h,l,as fainted alrealy I
he las fainted alrea,d,l,"y I'' Thus urged, th"
las fainted alrealy ,!”,I',"' Thus urged, the dw"
e dwarf laid down th,e,o," halberd, and botwee"
"n tho halberd, and b",e,o,"tween the t@o, Aunri"
ng the bellows at th,e,a," furnace, on wlich a"
"at tha furnace, on w",h,l,ich a large alembic 
ge alembic was place,d,l,", and he was so engr"
d he was so engrosse,d,l," by his task, that l"
"l by his task, that ",h,l,e scnrccly noticed t
"his task, that le sc",a,n,rccly noticed the en
" task, that le scnrc",e,c,ly noticed the entra
 of the others. @@la,c,e,oe the youth on the 
"d ag@inst the chair,",”,',"' he eried, hastily,"
"nst the chair,'' he ",c,e,"ried, hastily, to th"
to thoe dwarf. @Bath,e,a, his brows with the 
"e on the morrow, Bal",d,l,"red, and I @ill repa"
uble. I am busy now.,”,',"' @Theso relics, doc"
am busy now.'' @Thes,e,o," relics, doctor,'' c"
"heso relics, doctor,",”,',' criedi the gatekee
"e ground, and from w",h,i,ich a bald head prot
bald head protruded@,“,-,I ought to take them
e them back with me.,”,',' IIeed them not-the
hem back with me.'' ,“H,II,eed them not-they wi
me.'' IIeed them not,—,-,they will be snfe in
m not-they will be s,a,n,"fe in my kceping,'' "
will be snfe in my k,e,c,"eping,'' cried Docto"
" snfe in my kceping,",”,',"' cried Doctor Lamb,"
" Doctor Lamb, impati",e,c,ntly; `` to-morrow-t
" Lamb, impaticntly; ",“,`,` to-morrow-to-morro
icntly; `` to-morrow,—,-,to-morrow.'' Casting
to-morrow-to-morrow.,”,',' Casting a furtire 
w.'' Casting a furti,v,r,e glance round the l
"d the laboratory, an",d,l, shrugging his slonl
 anl shrugging his s,h,l,"onllers, Baldrel dep"
nl shrugging his slo,u,n,"llers, Baldrel depar"
 shrugging his slonl,d,l,"ers, Baldrel departe"
"is slonllers, Baldre",d,l, departed; and FInpd
drel departed; and F,la,In,pdragon la@ing bathe
ted; and FInpdragon ,h,l,a@ing bathed tho suf
gon la@ing bathed th,e,o, sufferer's temples 
 bathed tho sufferer,’,',s temples with the d
"he decoction, in obe",d,l,ience to his mastcr'
belience to his mast,e,c,"r's injunctions, tur"
lience to his mastcr,’,',"s injunctions, turne"
"ns, turned to inquir",e,s, wh@t he should do n
he should do next. @,B,D,egonel'' cried the d
uld do next. @Degone,!”,l',"' cried the doctor, "
"ed the doctor, so fi",e,o,reoel@ that tho dwar
" the doctor, so fior",c,e,oel@ that tho dwarf 
so fioreoel@ that th,e,o, dwarf darted out of
"he room, clapping th",e,a, door after him. Doc
mb then applied hims,e,o,lf to his task with 
o his task with rene,w,v,"ed ardour, and in a "
few seconds became w,h,l,olly inscnsible of t
ds became wlolly ins,e,c,nsible of the presen
" by the stimulant, A",u,n,riol presently opene
"ng round the room, t",h,l,ought he must be dre
with the implements ,u,n,sed by the adept@bol
"eads, crucibles, cuc",u,n,"rbites, and retorts,"
"torts, scattered abo",u,n,t without any attemp
e terrestrial sphere,:,;, near it was an astr
 it was an astrolabe,",",;, and nenar that a he
els. On the other si,d,l,"e, lay s black, myst"
"the other sile, lay ",a,s," black, mysterions-l"
"ay s black, mysterio",u,n,"s-looking book, fast"
"o@nd it, were as ram",’,',"s horn, a pair of fo"
"rchment, a pestle an",d,l," mortar, and a large"
"ar, and a large plat",e,o," of copper, gra@en w"
s@mbols of the Isaic,a,n,l table. Nenr this w
he Isaicnl table. Ne,a,n,r this was the leath
 two decapitated hea,d,l,"s, one of which hal "
"als, one of which ha",d,l, burst forth. On a t
the farther end of t,h,l,"e room, stood n larg"
" of tle room, stood ",a,n," large open volume, "
"ical characters, ref",e,c,rring to the names o
 names of spirits. N,e,c,nar it were two parc
ominated by the Chal,d,l,"aie sages, '` the Ma"
nated by the Challai,c,e," sages, '` the Malac"
"the Challaie sages, ",“,',"` the Malachim,'' an"
"es, '` the Malachim,",”,',' and ` the Passing 
"the Malachim,'' and ",“,`, the Passing of the 
assing of the River.,”,',' One of these scrol
 was kept in its pla,c,e,e by a skull. An anc
ancient and grotesqu,e,c,"-looking brass lamp,"
", with two snake-hea",d,l,"ed burners, lighted "
"nster, with outsprea",d,l," fins, open jaws, ga"
" open jaws, garnishe",d,l, with tremendous tee
and projected far in,t,l,"o the room, mas lade"
" far inlo the room, ",w,m,as laden with variou
rious implements of ,h,H,ermetie science. Abo
mplements of Hermeti,c,e, science. Abo@e it w
hich hung a large st,a,s,r-fish. Tua fireplac
a large stsr-fish. T,he,ua, fireplace was oceup
Tua fireplace was oc,c,e,upied by thoe furnac
listened in the whit,e,o," moonlight, had a ho"
"light, had a horribl",e,o, effect. The other e
njoyed more comforta,b,l,le quarters near the
ing down in the smok,e,a, arising from the fu
"while, steadily purs",u,n,"ed his task, though "
and drugs upon the c,h,l,arcoal. As he did th
d flames broke forth,—,-,"now blue, now green,"
"n, now blood-red. Ti",n,u,"ged by these fires, "
"these fires, the dif",f,l,erent objects in the
aped cucnurbites wer,e,o, transformed into gr
nto great bloated to,a,n,ds bursting with ven
rsting with venom; t,h,l,e long@necked bolt-h
ong@necked bolt-head,s,e, became monstrous se
"on the parchments, s",e,c,"emel traced in fire,"
"he parchments, sceme",d,l," traced in fire, and"
" in fire, and to be ",e,o,ver changing; the s@
"ins, tried to burst ",f,i,rom lis look; the sk
tried to burst irom ,h,l,is look; the skeleto
d to burst irom lis ,h,l,ook; the skeletons w
 in their eyeless so,c,e,kets; the bellows be
residing over a witc,h,l,es' sabbath. Auriol'
iding over a witcles,’,', sabbath. Auriol's b
les' sabbath. Auriol,’,',"s brain reeled, and "
ed him; and he imagi,n,r,ed hoe could hear th
ecnts of the matrass,—,-,"a bright, transparen"
", transparent liquid",—,-,into a small phial. 
ly secured the bottl,e,o, with a glass stoppe
