Contexte gauche,Chaîne,Transcription,Contexte droit
lap-up syell.” “That,’,',"s no reason at all,”"
Tinker; “ and it don,’,',"t much matter, as fa"
"matter, as far as ve",’,',re consarned.” “Devi
"andman, “ except—you",’,',re sure it worn’t a 
"stomer.” “ Vell, you",’,',ll find our svell ra
" come along, and don",’,',t let’s be frighteni
 eyes knocked in. Ab,o,e,"ve these, three gard"
ct upon the beholder,’,',s imagination. There
self on the bulk; “I,’,',ll just take a snooz
". “ Look up, and you",’,',"ll see him,” replied"
muttered the Sandman,.,",", “ He's a-speakin’ t
"ed the Sandman, “ He",’,',s a-speakin’ to some
 a-speakin’ to some ,v,y,on unwisible.” “ Hus
ed the other. ‘“ Let,’,',s hear wot he’s a-sa
"the young man, in a ",v,y,oice so hollow that 
 is to be done ?” “ ,I,T,t makes my blood ran
 Tt makes my blood r,u,a,"n cold to hear him,”"
ried the young man —,“,*,why do you beckon me
ed the Tinker. “ Let,’,',s foller him.” “ I d
 distinguish nothing, ,-,except the dusky out
"purpose, sprang nois",e,c,lessly upon the wall
he gained the door. ,H,T,earing a sound behin
"him, the young man t",u,e,"rned, and only just "
to the ground. “The ,v,y,ork's done!” cried t
he ground. “The york,’,',s done!” cried the S
 the dark lantern; “,l,J,"et's take him below,"
e dark lantern; “Jet,’,',"s take him below, an"
"ow, and strip him.” ",“,«," Agreed,” replied th"
lothes of the victim,.,",", ‘ A reader !—I hopo
"thes of the victim, ",“,‘, A reader !—I hopo i
", ‘ A reader !—I hop",e,o, it’s well lined. Ve
 it’s well lined. Ve,’,',ll examine it below.
"shines on ’em, you s",e,c,e what famous togs t
ool?” cried the Sand,m,i,"nan, springing into "
e !” shouted the new,-, ,comer. “ They have b
ull ain’t broken.” “,I,T,t is to be hoped it 
oin’ on. It was fort,u,a,nate I wasn’t gone t
e time. But we mustn,’,',t stand chatterin’ h
"ale servant, with a ",c,v,andle in her hand. T
"y—less noise, or you",’,',"ll waken Miss Ebba, "
"s Ebba, and I wouldn",’,',t have her disturbed
is eyes. 34 AURIOL. ,2,I,L. THE DOG-FANCIER. 
. THE DOG-FANCIER. T,h,u,e Rookery! Who that 
aldry assailed your ,e,c,"ars, and noisome odo"
nd noisome odours af,f,i,licted your sense of
ping with the spot. ,S,§,o thickly inhabited 
estooned with every ,k,K,ind of garment. Out 
 the same degree of ,m,n,"isery, or, if possib"
use in the Vauxhall@,R,r,"oad, the two ruffian"
of which was a swing,-, ,door that admitted t
"e of Old Parr, the r",u,n,"ffians passed on, an"
"ips, and light grey ",e,c,"yes, glistening with"
had about him. A bea,u,n,tiful black-and-tan 
"errier, and a partly", ,-,cropped French poodl
a sly look inquired—,“,*," Vell, my ’arties—wo"
"inquired—* Vell, my ",‘,’,arties—wot luck 2?” 
"ed the Sandman, gruf",f,i,ly. And seating hims
"is pocket-book, “ we",’,',ll see what fortun’ 
appointment. “ So we,’,',ve had all this trou
h an oath. “I vish I,’,',d never undertaken t
he job.” “ Don’t let,’,',s give it up in sich
ve it up in sich an ,‘,’,"urry,” replied the T"
hem papers.” “ Look ,’,',"em over yourself,” r"
th great glee. “ Wot,’,',s the matter?” cried
ious donkey he must ,b,k,e to register his cr
comed to be wound up,!,.,” “ Ourn is a differ
eplied the Sandman. ,“,‘, Five-an’-sixty ‘ud 
replied the Tinker. ,“,‘, There’s dates as fa
 him.” “ But I tell ,‘,’,ee they do refer to 
on the card is Aurio,l,n," Darcy,” replied the"
d the Sandman. “ Ain,’,',t there no sort o’ c
"Vy, zounds, then, ve",’,',re jist vere ve star
tootion he must have,!,.,” “ Surprisin’!” rep
 and that accounts f,o,c,r his wisitin’ that 
r his wisitin’ that ,’,‘,"ere ruined house, an"
 one talk to him. He,’,',"s mad, depend upon i"
"t. That is, if I ain",’,',t cured him.” “ Tm o
"Mr. Ginger, who had ",a,e,pproached unobserved
ly rather annoyed. “,I,T," only know this,” re"
"ed Ginger, “that you",’,',"ve got a good case, "
"ood case, and if you",’,',"ll let me into it, I"
"ll let me into it, I",’,',ll engage to make su
ch regard to wot you,’,',ve bin a readin’ in 
ed altogether—but he,’,',s jist the person to
"“ Exactly so,” repli",e,c,d the Tinker. “ And 
a lot o’ murders?” p,e,u,r@sued Ginger. “ A d
the Tinker. “Then he,’,',ll be glad to buy th
" price,” said Ginger",.,",", “ Ve'll deal vith h
",” said Ginger, “ Ve",’,',ll deal vith him in 
on the look-out. You,’,',re sure to meet him 
ime or other.” “That,’,',"s true,” replied the"
"e, especially ven ve",’,',ve a soft-hearted la
"ir own childer, and ",v,y,en ve gets one o’ th
"a tail, and so on. I",’,',ll tell you wot happ
matter for that—the ,c,e,reater had gained he
"to wait, sayin’ bett",e,c,r 44 AURIOL. terms w
once the poor animal,’,',s throat vill be cut
ndman. “ Lor’ bless ,‘,',"ee, yes,” replied Gi"
eign steamers. There,’,',s scarcely a steamer
t market.” “Then you,’,',re alyays sure o’ a 
et.” “Then you're al,v,y,ays sure o’ a ready 
"Ginger, “cos the law",’,',"s so kind to us. Vy,"
 our own; and yet he,’,',d stop you in a minn
e under your arm. No,w,v,", jist to show you t"
raps more. Even if I,’,',m catched i’ the fac
"e three fardens, you",’,',ll get seven years a
"man, reflectively. “",I,T,t’s the Jaw !” excla
ectively. “Tt’s the ,l,J,aw !” exclaimed Ging
"by payin’ the fine, ",‘,’,cos our pals goes an
Inn-lane vith some o,’,', my pals near a coac
"e. Vell, the lady se",e,c,"s me, an’ gives me i"
liceman. But that si,’,',nifies nuffin’. I br
pint. So in course I,’,',m discharged; the do
 goes avay lamentin’,.,",", I then plays the am
 her for twenty guin,e,c,"as, seein’ as how sh"
y to it; but she von,’,',t bite. So if I don’
on’t sell it next we,e,c,"k, I shall send it t"
all send it to Mouns,e,c,er Coqquilu. The onl
ortation for a bit o,’,', leather and a brass
" the animal, though ",v,y,orth a hundred pound
 disguise him; but I,’,',m too fond o' the an
; but I'm too fond o,’,', the animal for that
’em does.” “ And you,’,',re always sure o’ ge
"if you vants it, I s",’,',pose ?” inquired the
 I don’t care how he,’,',"s kept, ve're sure t"
"re how he's kept, ve",’,',re sure to have him 
uy dogs knowin’ they,’,',re stolen ?” inquire
 it themselves; they,’,',"ll say, @*Tve jist l"
"and-So’s, and there ",I,1, seed a couple o’ th
 our customer.” ¥. “,O,Q,h! that’s how it’s d
"perty, and stealin’ ",’,7,em a misdemeanour. A
r in my time.” “ Let,’,',"s hope not,” rejoine"
 same opinion. There,’,',s our old deputy her
erday.” “ Walker !” ,e,o,"xclaimed Ginger, put"
owin’ to a potion he,’,',"d swallowed, vich hi"
o was a great conjur,e,o,r in Queen Bess’s da
"ess’s days, had brew",’,',d.” “Pshaw!” exclaim
ulled by such an old, ,-,vife’s story as that
o an’ tell Old Parr ,v,y,e vants his company 
"HAND AND THE CLOAK, ",r,4,9 It. THE HAND AND T
"D AND THE CLOAK, 49 ",3,I,t. THE HAND AND THE 
D THE CLOAK. A rvrio,u,v,s barking from Mr. G
ected by a strangely, ,-,shaped seal-skin cap
the conversation. “ ,I,T," say, deputy,” he ob"
en wos you born?” “ ,I,T,"t’s so long ago, I c"
"s so long ago, I can",’,',"t recollect,” return"
id had loosened. “ I,’,',ve seen this E2 52 A
and built up again—i,f,t, that’s anything. I’
ts present size. You,’,',ll scarcely believe 
a lovely spot it was,.,!, Broad Saint Giles’s
n between it and Con,v,y,ent-garden (for so t
 easterly side of Dr,u,a,"ry-lane, amid a grov"
ogrified indeed !” “,I,T,f I were to describe
” pursued Old Parr. ,“,‘,The whole aspect of 
for the jolly young ,v,y,atermen vich at Blac
"merry company, I can",’,',t help wishing its w
" of ’em.”” “ Vell, I",’,',m content vith Lunnu
ecially as there ain,’,',t much chance o’ the
n from the Tinker. “,I,T," s'pose, my wenerabl"
rom the Tinker. “T s,’,',"pose, my wenerable, "
"e, my wenerable, you",’,',ve seen the king as 
 ?” cried the dwarf—,“,*, often. I was page t
"veland, and I have s",e,c,en him a hundred tim
ion at his heels.” “,O,Q,ld Rowley wos a king
a king arter my own ,‘,’,"art,” said Ginger, r"
“ He loved the femi ,-,5,4 AURIOL. xine speci
e loved the femi 54 ,n,A,URIOL. xine specious
dure the modern city,.,",", The very atmosphere
d i’ those times.” “,I,T,f you had lived in t
nsequential manner. ,“,‘,"Now, doorin’ all tha"
 to kick the bucket ,?,2,” THE HAND AND THE C
on’t know vether you,’,',re a deceivin’ of us
"y well, then—I haven",’,',"t,” said Old Parr. A"
rowsy youth. ‘ “ You,’,',ve seen some picters
 picters o’ Old Lunn,o,u,"n, and they've haant"
"Old Lunnun, and they",’,',ve haanted you in yo
"our dreams, till you",’,',ve begun to fancy yo
",” replied Old Parr—",“, ,very likely.” There 
"how comes it, if you",’,',"ve lived so long, th"
ated the question. “,I,T,f you won't believe 
uestion. “Tf you won,’,',t believe what I tel
observed the Tinker ,",",;, “and so does the Sa
"plied the dwarf, “@@",l,T,l tell you how it 56
 my destiny.” “ That,’,',"s hard,” rejoined th"
plied the dwarf. “ A,v,y,", but it’s a cur’ous"
"en, to oblige you, I",’,',ll go through it aga
opper into gold.” “@,’,T,ve known several ind
",” observed Ginger. ",“,‘,And ve calls ’em sma
 was to produce the ,e,E,lixir of Long Life. 
oduce the Elixir of ,l,L,ong Life. Night and 
 the Elixir of Long ,l,L,ife. Night and day h
on London-bridge. I ,h,T,HE HAND AND THE OLOA
"th the doctor, who w",a,s,s busy with his expe
"nt this, I went down",-, ,"stairs, wondering wh"
uld next ensue. Half,-, ,"an hour elapsed, and"
 next ensue. Half an,-, ,"hour elapsed, and wh"
k and stiff at my fe,e,c,"t, with an expressio"
to the Sandman. “ Ha,v,y,"e you ever, in the c"
ng man as drank the ,‘,’,lixir?” he inquired 
uired of the dwarf. ,“,T,HE HAND AND THE CLOA
n extreme surprise. ,“,‘,I heard Doctor Lamb 
me to know it?” “ Ve,’,',"ve got summat, at la"
"ker, with a cunning ",l,Y,ook ; “ you see I do
ook ; “ you see I do,e,c,s know some cur’ous 
ur’ous matters as ve,i,l,"l as you, my old fil"
d dubiously. “ There,’,',s no hurry.” “ No;.v
e's no hurry.” “ No;, ,.,ve must decide at vo
"o Old Parr, “ and fa",v,y,our us vith your opi
if the wenerable ain,’,',t a-taken the pocket
he devil has flown a,v,y,ay with the old fell
 time wos nearer at ,‘,’,and than he expected
".” “ Devil or not, I",’,',ll have him back agi
 he discover any one,",",., though he felt on e
h outstretched hands,.,",", The occupants of th
 rejoined the Tinker,.,",", “I 62 AURIOL. begin
egin to be of Ginger,’,',"s opinion, that the "
n a fancy to him.” “,I,T, only saw a hand and
 said the Sandman. “,I,T, thought I seed a pa
eir widest extent. “,I,T,t’s a strange affair
"dlord, gravely. “ It",’,',s certain that no on
" night.” “ Vell, all",’,',"s over vith him now,"
", I’m afeerd.” “ Don",’,',"t say die jist yet,”"
"-takin’ flight, and ",v,y,ich I picked from th
o down@stairs. There,’,',s no good in stayin’
THE IRON-MERCHANT’S ,4,D,AUGHTER. 63 IV. THE 
ruffians in the ruin,e,c,d house; and though 
ed from it. A loveli,e,c,r creature than Ebba
" limbs, and fairy fe",e,c,t that would haye ma
y fect that would ha,v,y,e made the fortune o
fairness of her skin,.,",", Ebba’s first care w
 kennel to greet her,",",., and exchanged a few
 iron chains flung t,o,a,gether like fisherme
stir with passengers,;,",", and many waggons an
unshine upon her che,e,c,"k, her thoughts wand"
"d his short, crisply", ,-,"curled hair, raven b"
"y-curled hair, raven",-, ,"black in hue, contra"
 no one.” “ Not a ta,l,i,"l man, wrapped in a "
o?” she rejoined. “ ,I,T, know scme one answe
rejoined. “ T know s,o,c,me one answering his
fy it?” she said. “ ,I,T," cannot,” rejoined A"
"not,” rejoined Aurio",l,],", somewhat sternly. "
y recovered yet.” “ ,I,T, dare not stay longe
ers upon the anvil. ,“,F,o 68 AURIOL. “ Tf yo
ed to his helpmate@ ,“,:," . “Tsay, Ned, I'm a"
 to his helpmate@ : ,I,.," “Tsay, Ned, I'm a-t"
"e@ : . “Tsay, Ned, I",’,',m a-thinkin’ our mas
 a son-in-law. There,’,',s pretty plain signs
y at the bellows. “ ,I,T, would not for the w
 world ask a disagre,e,c,"able question,” said"
as a monster whom yo,u,n, ought to shun rathe
"r hand, which she un",r,t,esistingly yielded. 
voice of anguish. “ ,I,T,"s it, then, too late"
"ol, despairingly. “ ",I,T,t is—if to love you 
 clenched hand. “ Re,c,e,a@l your words—Ebba—
 me !” cried Ebba. “,I,J,t is the person I su
ards the intruder. “,I,T,@have sought you for
", commanding voice. ",“,‘, You have not kept y
ointment with me.” “,I,T," could not,” replied"
"ot,” replied Auriol—",“, ,an accident has befa
 has befallen me.” “,I,J," know it,” rejoined "
nicated with me.” “ ,I,T,t was my intention t
atue in Hyde Park.” ,“,«," T will be there,” r"
ue in Hyde Park.” « ,I,T," will be there,” rep"
e stranger. @@@@@Vv@,5,., THE MEETING NEAR TH
G NEAR THE STATUE. T,h,a,e evening of the thi
e struck across the ,p,P,"ark, in the directio"
beneath his feet. “ ,I,T, would plunge into t
"danger, but now I se",e,c,k for it in vain.” T
in a pantomimic garb,.,",", He also remarked TH
murdered grandfather,’,',"s attendant, Flapdra"
 group around him. “,I,T,t must be Flapdragon
” cried the dwarf. “,I,T,"!"" rejoined Auriol. "
cried the dwarf. “T!,”,"""", rejoined Auriol. “ 
m fixedly; “you are@,—, ,” and he stopped. “Y
he dwarf@s throat. “,I,T," have,” replied the "
 the first speaker. ,“,‘,Give him a drop more
" Auriol, evasively. ",“,T,HE MEETING NEAR THE 
” inquired Auriol. “,I,T, don't know the vill
uired Auriol. “T don,’,',t know the villain’s
"ed the dwarf, “for I",’,',ve been a terrible l
 replied the man. “I,’,',ll take him to the L
"n, near the barracks",—,",", that’s the nearest 
nearest public.” “@@,l,T,l join him there in 
iabolical exultation,.,",", The cloak was throw
 demon. The stranger,’,',"s hat was off, and h"
 be mine.” “ Never !,”,""""," cried Auriol, firml"
must be mine—or- ” “,I,T," defy you !""@rejoine"
—or- ” “T defy you !,”,"""",@rejoined Auriol ; “
 dread my vengeance ,!,|,” THF CHARLES THE SE
 the bench. @@@@@VI@,6,., THE CHARLES THE SEC
HE SECOND SPANIEL. I,t,r, was about two o'clo
. Ir was about two o,’,',"clock, on a charming"
u off so suddenly? W,e,o, have been expecting
rribly uneasy. Haven,’,',"t you, Ebba?” 78 AUR"
ast down her eyes. “,I,T,t was my intention t
ture was unavoidable,.,",",” “To be sure; and I
d Mr. Thorneycroft. ,“,«, But you neglected t
owledge the gift.” “,I,T, could not give an a
" the moment,” said A",u,n,"riol. “Well, I@am gl"
" replied, timidly. “",I,T,"@am so,” replied Aur"
ing her fixedly. “A ,v,y,ery disastrous circu
er me one question: ,H,h,as the mysterious pe
as terribly frighten,e,c,"d, but something pre"
 him. Go@to Langham@,P,p,"lace to-morrow, and,"
"have met, I hope you",’,',ll walk home and din
 him entreatingly. “,I,T," have an engagement,"
ve been so wretched ,!,:,"” 80 AURIOL, “T grie"
been so wretched :” ,“,8,"0 AURIOL, “T grieve "
had forgotten me.” “,I,T,@am sure you did not
nxiously inquired. “,I,J,T would have shunned
"d Ebba, remarking th",e,o, Charles the Second 
quil for beauty. Don,’,',"t be afeerd on it, m"
"m to like her, I won",’,',t copy the manners o
athers as has stony ,‘,’,"arts, and part two t"
"ed Ebba, smiling. “ ",I,T, wish I could afford
 part 0° my stock. I,’,',ll tell you wot I gi
 trifle beyond it. I,’,',d scorn to take adwa
antage o’ the likes ,o,0,’ you.” “@ Thope you
"then, friend,” repli",e,c,"d Ebba, “ T didn’t g"
"riend,” replicd Ebba",.,",", “ T didn’t give hay
"d,” replicd Ebba, “ ",I,T, didn’t give hayf he
 like her in a month,’,',"s time, I'll buy her"
"in a month's time, I",’,',ll buy her back agai
 again from you. You,’,',ll alvays find me he
"t’s my name, miss. I",’,',m the only honest ma
’ Bond-street—an’ he,’,',ll tell you.” “ But 
l you.” “ But you ha,v,y,en’t answered the la
eplied Ginger ; “ it,’,',ll make a mater'al d
“ it'll make a mater,’,',al difference in the
"e price. To you, she",’,',ll be five-an’@twent
ng lady?” said Aurio,l,},". “ Oh, then, in coo"
"then, in coorse, you",’,',ll get her at the lo
 replied Ginger. ; “,I,T, hope you don’t mean
us—preposterous.” “ ,I,J,t may appear so to y
"inger, “ because you",’,',re igncrant o’ the w
“ because you're ign,o,c,rant o’ the wally of
"dirt cheap. Vy, his ",E,e,xcellency the Proosh
llency the Prooshan ,A,a,mbassador bought a C
"uaintance, and wot d",’,',ye think he give for
 he give for it?” “ ,I,T," don't know, and I d"
ive for it?” “ T don,’,',"t know, and I don’t "
"Eighty guineas, as @",’,T,"m a livin’ man, and "
oned in that way.” “,I,T,"t’s@no gammon,” said"
s —an’ I’m sure you ,v,y,on't say she’s dear 
an’ I’m sure you yon,’,',t say she’s dear at 
oitring Auriol. “ It,’,',s him!” whispered th
t’s the young man ve,’,',ve been lookin’ for—
or—Auriol Darcy.” “ ,I,T,"t seems like him,” s"
exposure. “I vish he,’,',d turn his face a le
le more this vay.” “,I,T,"t’s him, I tell you,"
"coaxingly, “ your sv",e,c,et’art—I'm sure he's
", “ your svcet’art—I",’,',m sure he's your sye
vcet’art—I'm sure he,’,',s your syect’art—I c
I'm sure he's your s,v,y,ect’art—I can G2 84 
m sure he's your sye,e,c,t’art—I can G2 84 AU
re remarked : “ What,’,',s that you are sayin
"e saying, fellow?” “",I,T," vos a-sayin’, sir, "
close with you. Here,’,',"s the money,” said A"
" cried Ebba, quickly",.,",", “ It’s too much.” “
his be the gemman ve,’,',re a-lookin’ for. Ve
"re’s my two pals, I ",v,y,"onder? Oh, it’s all "
"id Ginger, “but hadn",’,',t I better earry the
but hadn't I better ,c,e,arry the dog home fo
!” cried Mr. Thorney,c,e,roft. “The rascal on
l the dog back again,.,","," Take my advice, Mr."
"ng his hat, “but ain",’,',t your name Mr. Auri
r. Auriol Darcy ?” “,I,T,"t is,” replied Aurio"
“ Why do you ask?” “,I,T, vants a vord or two
” rejoined Auriol. “,I,T, know nothing of you
thing of you.” “ You,’,',ll know me better by
"o you, and alone.” “",I,T,f you don’t go about
" von’t, sir—no@ you ",v,y,"on't,” replied the T"
"n’t, sir—no@ you yon",’,',"t,” replied the Tink"
"ice, he added, “ You",’,',ll be glad to purcha
my knowledge.” “ Won,’,',"t you get in, Mr. Da"
s towards the Tinker,.,",", “T must speak to th
"owards the Tinker, “",I,T, must speak to this 
replied the Tinker. ,“,‘, There’s two friends
 friends o’ mine as ,v,y,ishes to be present 
t our conference. Ve,’,',d better valk into a
ck street.” @@@@VII@,7,.," THE HAND, AGAIN ! F"
"AND, AGAIN ! Fottowe",d,p," by Auriol, who, in "
"first, it may be as ",v,y,"ell to state, that a"
certain pocket-book ,h,l,ias been found.” “Ah
most awful diskiveri,e,c,s. Our werry ‘air st
"be! Vy, ve finds you",’,',ve been i’ the habit
ery ten years. Your ,l,i,ast wictim wos in 18
ut if ve peaches you,’,',re sartin to sving.”
sartin to sving.” “ ,I,T, hope that pretty cr
"the Sandman, “ for s",c,e,recnin’ sich atteroc
" Sandman, “ for sere",e,c,nin’ sich atterociou
 has parpetrated. Ve,’,',re not werry partic'
're not werry partic,’,',"lar ourselves, but v"
"urselves, but ve don",’,',t commit murder whol
"Tinker, “that ve ain",’,',t perfectly acvainte
"prove that ve are, I",’,',ll just rab up your 
" ve are, I'll just r",u,a,b up your memory. Di
838 AUBIOL. chemist ,o,0,"’ Queen Bess’s time,"
"e said, at length. “",I,T,"t is no idle tale,” "
 cried Auriol. “ Don,’,',t you re@kilect the 
ed the Tinker. ‘“ He,’,',s alive still; and v
alive still; and ve ,c,v,"alls him Old Parr, o"
"ded Auriol. “ Oh, ve",’,',ll perduce him in do
 traces of him.” “He,’,',ll turn up somewhere
"or the money, and ve",’,',"ll undertake, on our"
 the Tinker ; “there,’,',s a difficulty in th
be brought aginst yo,u,n,—you may rest assure
u may rest assured o,’,', that.” “T must have
 assured o' that.” “,I,T," must have it, or yo"
 Here are the words:, ,—,‘ How many crimes ha
 dog-fancier. Just a,s,t," this moment, and wh"
gain. “ Halloa! What,’,',s that?” he cried. ‘
's that?” he cried. ,“,‘,The paper's gone !” 
he cried. ‘The paper,’,',s gone !” “ The hand
" Sandman, in alarm. ",“,‘,See who's in the pas
", in alarm. ‘See who",’,',s in the passage—ope
"peeping forth, said ",—,:, “ There’s no one th
must be the devil. I,’,',ll have nuffin’ more
don’t be so chicken-,‘,’,arted!” cried the Ti
any longer. I wouldn,’,',t take kis moncy.” A
er. I wouldn't take ,h,k,is moncy.” And he qu
ouldn't take kis mon,e,c,y.” And he quitted t
oom. “TI@@l go and s,e,c,e wot’s the matter w
bad enough—but I won,’,',t sell myself to the
side him. A demoniac,a,s,l smile played upon 
 stranger. “I came t,o,u, watch over your saf
other matters. You h,a,e,ve just parted from 
"ed the stranger, per",e,c,mptorily. “ Remember
terrible. With the m,e,c,ans of renewal in yo
te ?” “ Because I wi,l,i,l not sacrifice the 
"ied the stranger, sc",o,e,rnfully. ‘I command 
"ranger, scernfully. ",“,‘,I command you to bri
 bring her to me.” “,I,T, persist in my refus
",” replied Auriol. “",I,T,t is useless to brav
h the door. @@@VIII@,8,., THE BARBER OF LONDO
 BARBER OF LONDON. W,h,u,o has not heard of t
uffnell 92 AURIOL. T,r,z,igge. Not only will 
ve minutes more agre,e,c,"ably. Besides, you a"
e of the chief—I don,’,',t recollect him orde
 friends. Mr. Trigge,’,',s shop is none of yo
pruce West-end hair ,-,T,HE BARBER OF LONDON.
st Mr. Trigge’s live,-, ,stock may be enumera
 well as a Christian,.,",",” 94 AURIOL. And now
ression. One cannot ,e,c,arn the appellation 
