Contexte gauche,Chaîne,Transcription,Contexte droit
 the Vauxhall Bridge, R,-r,oad. Here they kept 
vancing from Belvoir, T,-t,"errace, and, as the "
 eyes knocked in. Ab,o,e,"ve these, three gard"
ct upon the beholder,’,',s imagination. There
self on the bulk; “I,’,',ll just take a snooz
". “@Look up, and you",’,',"ll see him,” replied"
muttered the Sandman,.,",", “@He’s a-speakin’ t
ed the Sandman. “@He,’,',s a-speakin’ to some
 a-speakin’ to some ,v,y,on unwisible.” “@Hus
ed the other. @“@Let,’,',s hear wot he’s a-sa
"the young man, in a ",v,y,oice so hollow that 
 is to be done@?” “@,I,T,t makes my blood run
@It makes my blood r,u,a,"n cold to hear him,”"
ried the young man@—,“,*,why do you beckon me
ed the Tinker. “@Let,’,',s foller him.” “@I d
 distinguish nothing, ,-,except the dusky out
"purpose, sprang nois",e,c,lessly upon the wall
he gained the door. ,H,T,earing a sound behin
"him, the young man t",u,e,"rned, and only just "
to the ground. “The ,v,y,ork’s done!” cried t
he ground. “The vork,’,',s done!” cried the S
 the dark lantern; “,l,J,"et’s take him below,"
e dark lantern; “let,’,',"s take him below, an"
"ow, and strip him.” ",“,«,"@Agreed,” replied th"
lothes of the victim,.,",", “@A reader@!—I hope
thes of the victim. ,“,‘,@A reader@!—I hope i
. “@A reader@!—I hop,e,o, it’s well lined. Ve
 it’s well lined. Ve,’,',ll examine it below.
"shines on ’em, you s",e,c,e what famous togs t
ool?” cried the Sand,m,i,"@an, springing into "
e@!” shouted the new,-, ,comer. “@They have b
dered him. He still ,br,he,eathes; but he has r
ull ain’t broken.” “,I,T,t is to be hoped it 
oin’ on. It was fort,u,a,nate I wasn’t gone t
e time. But we mustn,’,',t stand chatterin’ h
"ale servant, with a ",c,v,andle in her hand. T
f you run to Wheeler, S,-s,"treet, and fetch Mr."
"y—less noise, or you",’,',"ll waken Miss Ebba, "
"s Ebba, and I wouldn",’,',t have her disturbed
nt opened his eyes. ,Ch,34,@apter@@ 2@@ The Dog
opened his eyes. Ch@,apter,AURIO,@@ 2@@ The Dog-fanci
is eyes. Ch@apter@@ ,2,I,@@ The Dog-fancier@ 
es. Ch@apter@@ 2@@ T,he,HE, Dog-fancier@ The Ro
Ch@apter@@ 2@@ The D,og,OG,-fancier@ The Rooker
apter@@ 2@@ The Dog-,fancier,FANCIER,@ The Rookery! Who t
@ The Dog-fancier@ T,h,u,e Rookery! Who that 
aldry assailed your ,e,c,"ars, and noisome odo"
nd noisome odours af,f,i,licted your sense of
ping with the spot. ,S,§,o thickly inhabited 
estooned with every ,k,K,ind of garment. Out 
 the same degree of ,m,n,"isery, or, if possib"
lia. After escaping ,fr,*:,om the ruined house 
use in the Vauxhall ,R,r,"oad, the two ruffian"
of which was a swing,-, ,door that admitted t
"e of Old Parr, the r",u,n,"ffians passed on, an"
"ips, and light grey ",e,c,"yes, glistening with"
had about him. A bea,u,n,tiful black-and-tan 
"errier, and a partly", ,-,cropped French poodl
a sly look inquired—,“,*,"@Vell, my ‘arties—wo"
"inquired—“@Vell, my ",‘,’,arties—wot luck@@?” 
ed the Sandman@ gruf,f,i,ly. And seating hims
"is pocket-book, “@we",’,',ll see what fortun’ 
appointment. “@So we,’,',ve had all this trou
h an oath. “I vish I,’,',d never undertaken t
he job.” “@Don’t let,’,',s give it up in sich
ve it up in sich an ,‘,’,"urry,” replied the T"
hem papers.” “@Look ,’,',"em over yourself,” r"
th great glee. “@Wot,’,',s the matter?” cried
ious donkey he must ,b,k,e to register his cr
comed to be wound up,!,.,” “@Ourn is a differ
eplied the Sandman. ,“,‘,@Five-an’-sixty ‘ud 
replied the Tinker. ,“,‘,@There’s dates as fa
 him.” “@But I tell ,‘,’,ee they do refer to 
on the card is Aurio,l,n," Darcy,” replied the"
d the Sandman. “@Ain,’,',t there no sort o’ c
"Vy, zounds, then, ve",’,',re jist vere ve star
tootion he must have,!,.,” “@Surprisin’!” rep
 and that accounts f,o,c,r his wisitin’ that 
r his wisitin’ that ,’,‘,"ere ruined house, an"
 one talk to him. He,’,',"s mad, depend upon i"
"t. That is, if I ain",’,',t cured him.” “I’m o
 ain’t cured him.” “,I’, T,m of a different opi
"Mr. Ginger, who had ",a,e,pproached unobserved
ly rather annoyed. “,I,T," only know this,” re"
"ed Ginger, “that you",’,',"ve got a good case, "
"ood case, and if you",’,',"ll let me into it, I"
"ll let me into it, I",’,',ll engage to make su
ch regard to wot you,’,',ve bin a readin’ in 
ed altogether—but he,’,',s jist the person to
"“@Exactly so,” repli",e,c,d the Tinker. “@And 
a lot o’ murders?” p,e,u,rus@ed Ginger. “@A d
the Tinker. “Then he,’,',ll be glad to buy th
" price,” said Ginger",.,",", “@Ve’ll deal vith h
",” said Ginger. “@Ve",’,',ll deal vith him in 
on the look-out. You,’,',re sure to meet him 
ime or other.” “That,’,',"s true,” replied the"
"e, especially ven ve",’,',ve a soft-hearted la
"ir own childer, and ",v,y,en ve gets one o’ th
"a tail, and so on. I",’,',ll tell you wot happ
matter for that—the ,c,e,reater had gained he
"to wait, sayin’ bett",e,c,r @@@@@@@@@@@terms w
once the poor animal,’,',s throat vill be cut
ndman. “@Lor’ bless ,‘,',"ee, yes,” replied Gi"
eign steamers. There,’,',s scarcely a steamer
t market.” “Then you,’,',re alvays sure o’ a 
et.” “Then you’re al,v,y,ays sure o’ a ready 
"Ginger, “cos the law",’,',"s so kind to us. Vy,"
 our own; and yet he,’,',d stop you in a minn
e under your arm. No,w,v,", jist to show you t"
raps more. Even if I,’,',m catched i’ the fac
"e three fardens, you",’,',ll get seven years a
man@ reflectively. “,I,T,t’s the law !” excla
ectively. “It’s the ,l,J,aw !” exclaimed Ging
"by payin’ the fine, ",‘,’,cos our pals goes an
corner o’ Gray’s Inn, L,-l,ane vith some o’ my 
Inn Lane vith some o,’,', my pals near a coac
"e. Vell, the lady se",e,c,"s me, an’ gives me i"
liceman. But that si,’,',nifies nuffin’. I br
pint. So in course I,’,',m discharged; the do
 goes avay lamentin’,.,",", I then plays the am
 her for twenty guin,e,c,"as, seein’ as how sh"
y to it; but she von,’,',t bite. So if I don’
on’t sell it next we,e,c,"k, I shall send it t"
all send it to Mouns,e,c,er Coqquilu. The onl
ortation for a bit o,’,', leather and a brass
" the animal, though ",v,y,orth a hundred pound
 disguise him; but I,’,',m too fond o’ the an
; but I’m too fond o,’,', the animal for that
’em does.” “@And you,’,',re always sure o’ ge
"if you vants it, I s",’,',pose@?” inquired the
 I don’t care how he,’,',"s kept, ve’re sure t"
"re how he’s kept, ve",’,',re sure to have him 
uy dogs knowin’ they,’,',re stolen@?” inquire
 it themselves; they,’,',"ll say, ‘I’ve jist l"
"lves; they’ll say, ‘",I’,*T,ve jist left my Lord
"and-So’s, and there ",I,1, seed a couple o’ th
 our customer.” @@@“,O,Q,h! that’s how it’s d
"perty, and stealin’ ",’,7,em a misdemeanour. A
r in my time.” “@Let,’,',"s hope not,” rejoine"
 same opinion. There,’,',s our old deputy her
erday.” “@Walker@!” ,e,o,"xclaimed Ginger, put"
owin’ to a potion he,’,',"d swallowed, vich hi"
o was a great conjur,e,o,r in Queen Bess’s da
"ess’s days, had brew",’,',d.” “Pshaw!” exclaim
ulled by such an old, ,-,vife’s story as that
o an’ tell Old Parr ,v,y,e vants his company 
” @@@@@@@@@@@@@@@@@C,hapte,"LOAK,",@r@ 3@@ The Hand and
@@@@@@@@@@@@@Chapte@,r,4,@ 3@@ The Hand and t
@@@@@@@@@@Chapte@r@ ,3,I,@@ The Hand and the 
@@@@@Chapte@r@ 3@@ T,he,HE, Hand and the Cloak@
@Chapte@r@ 3@@ The H,and,AND, and the Cloak@ A fu
pte@r@ 3@@ The Hand ,and,AND, the Cloak@ A furiou
r@ 3@@ The Hand and ,the,THE, Cloak@ A furious ba
@ The Hand and the C,loak,LOAK,@ A furious barking 
nd and the Cloak@ A ,fu,rv,rious barking from M
d the Cloak@ A furio,u,v,s barking from Mr. G
ected by a strangely, ,-,shaped seal-skin cap
the conversation. “@,I,T," say, deputy,” he ob"
en wos you born?” “@,I,T,"t’s so long ago, I c"
"s so long ago, I can",’,',"t recollect,” return"
id had loosened. “@I,’,',ve seen this @@@@@@@
and built up again—i,f,t, that’s anything. I’
ts present size. You,’,',ll scarcely believe 
a lovely spot it was,.,!, Broad Saint Giles’s
n between it and Con,v,y,ent Garden (for so t
tween it and Convent, G,-g,arden (for so the pr
 from Saint Martin’s, L,-l,"ane to Drury House, "
rtin’s Lane to Drury, H,-h,"ouse, a great mansio"
 easterly side of Dr,u,a,"ry Lane, amid a grov"
sterly side of Drury, L,-l,"ane, amid a grove of"
ogrified indeed@!” “,I,T,f I were to describe
” pursued Old Parr. ,“,‘,The whole aspect of 
 bright above London, B,-b,ridge as they are no
tefriars to Scotland, Y,-y,"ard, were edged with"
for the jolly young ,v,y,atermen vich at Blac
"merry company, I can",’,',t help wishing its w
s—@and as to Lombard, S,-s,treet and Gracechurc
reet and Gracechurch, S,-s,"treet, with their we"
" of ’em.”@ “@Vell, I",’,',m content vith Lunnu
ecially as there ain,’,',t much chance o’ the
n from the Tinker. “,I,T," s’pose, my wenerabl"
rom the Tinker. “I s,’,',"pose, my wenerable, "
"e, my wenerable, you",’,',ve seen the king as 
@?” cried the dwarf—,“,*,@often. I was page t
"veland, and I have s",e,c,en him a hundred tim
ion at his heels.” “,O,Q,ld Rowley wos a king
a king arter my own ,‘,’,"art,” said Ginger, r"
“@He loved the femi@,-,5,@ n@@@@@@@@ine speci
e loved the femi@-@ ,n,A,@@@@@@@@ine specious
dure the modern city,.,",", The very atmosphere
d i’ those times.” “,I,T,f you had lived in t
ve belonged to Paris, G,-g,"arden, or the bull-b"
nsequential manner. ,“,‘,"Now, doorin’ all tha"
 to kick the bucket@,?,2,” @@@@@@@@@@@@@@@@@@
on’t know vether you,’,',re a deceivin’ of us
"y well, then—I haven",’,',"t,” said Old Parr. A"
rowsy youth. @@“@You,’,',ve seen some picters
 picters o’ Old Lunn,o,u,"n, and they’ve haant"
"Old Lunnon, and they",’,',ve haanted you in yo
"our dreams, till you",’,',ve begun to fancy yo
",” replied Old Parr—",“, ,very likely.” There 
"how comes it, if you",’,',"ve lived so long, th"
ated the question. “,I,T,f you won’t believe 
uestion. “If you won,’,',t believe what I tel
observed the Tinker@,",",;, “and so does the Sa
"plied the dwarf, “I’",l,T,l tell you how it@@@
 my destiny.” “@That,’,',"s hard,” rejoined th"
ke to the others. “I,’v,Ty,e already given you 
plied the dwarf. “@A,v,y,", but it’s a cur’ous"
"en, to oblige you, I",’,',ll go through it aga
opper into gold.” “I,’,T,ve known several ind
",” observed Ginger. ",“,‘,And ve calls ’em sma
 was to produce the ,e,E,lixir of long life. 
oduce the elixir of ,l,L,ong life. Night and 
 the elixir of long ,l,L,ife. Night and day h
s dwelling on London, B,-b,ridge. I h@@@@@@@@@@
on London Bridge. I ,h,T,@@@@@@@@@@@@@@@@@@@@
"th the doctor, who w",a,s,s busy with his expe
"nt this, I went down",-, ,"stairs, wondering wh"
uld next ensue. Half,-, ,"an-hour elapsed, and"
 next ensue. Half-an,-, ,"hour elapsed, and wh"
k and stiff at my fe,e,c,"t, with an expressio"
to the Sandman. “@Ha,v,y,"e you ever, in the c"
ng man as drank the ,‘,’,lixir?” he inquired 
uired of the dwarf. ,“,T,@@@@@N@@@@@@@@@@@@@@
n extreme surprise. ,“,‘,I heard Doctor Lamb 
me to know it?” “@Ve,’,',"ve got summat, at la"
"ker, with a cunning ",l,Y,ook@; “@you see I do
ook@; “@you see I do,e,c,s know some cur’ous 
ur’ous matters as ve,i,l,"l as you, my old fil"
d dubiously. “@There,’,',s no hurry.” “@No; v
e’s no hurry.” “@No;, ,.,ve must decide at vo
"o Old Parr, “@and fa",v,y,our us vith your opi
if the wenerable ain,’,',t a-taken the pocket
he devil has flown a,v,y,ay with the old fell
 time wos nearer at ,‘,’,and than he expected
".” “@Devil or not, I",’,',ll have him back agi
 he discover any one,",",., though he felt on e
h outstretched hands,.,",", The occupants of th
 rejoined the Tinker,.,",", “I@@@@@@@@@@@ begin
egin to be of Ginger,’,',"s opinion, that the "
n a fancy to him.” “,I,T, only saw a hand and
 said the Sandman. “,I,T, thought I seed a pa
eir widest extent. “,I,T,t’s a strange affair
dlord@ gravely. “@It,’,',s certain that no on
" night.” “@Vell, all",’,',"s over vith him now,"
", I’m afeerd.” “@Don",’,',"t say die jist yet,”"
"-takin’ flight, and ",v,y,ich I picked from th
o down-stairs. There,’,',s no good in stayin’
 room. @@@@@@@@@@@@C,hapter,HANT’S, 4@@@@@@@@ @@@@@@@Th
@@@@@@@@@@@@Chapter ,4,D,@@@@@@@@ @@@@@@@The 
r 4@@@@@@@@ @@@@@@@T,he,HE, Iron-merchant’s Dau
@@@@@@@ @@@@@@@The I,ron,RON,-merchant’s Daughter
@@@ @@@@@@@The Iron-,merchant’s,MERCHANT'S, Daughter@ A week ha
he Iron-merchant’s D,aughter,AUGHTER,@ A week had elapsed
ruffians in the ruin,e,c,d house; and though 
ed from it. A loveli,e,c,r creature than Ebba
" limbs, and fairy fe",e,c,t that would have ma
y feet that would ha,v,y,e made the fortune o
fairness of her skin,.,",", Ebba’s first care w
 kennel to greet her,",",., and exchanged a few
 iron chains flung t,o,a,gether like fisherme
stir with passengers,;,",", and many waggons an
unshine upon her che,e,c,"k, her thoughts wand"
"d his short, crisply", ,-,"curled hair, raven-b"
"y curled hair, raven",-, ,"black in hue, contra"
 no one.” “@Not a ta,l,i,"l man, wrapped in a "
o?” she rejoined. “@,I,T, know some one answe
rejoined. “@I know s,o,c,me one answering his
fy it?” she said. “@,I,T," cannot,” rejoined A"
"not,” rejoined Aurio",l,],", somewhat sternly. "
y recovered yet.” “@,I,T, dare not stay longe
ers upon the anvil. ,“,F,@@@@@@@@I@@@@@@@f yo
learn you are going ,so,60, soon.” “I @have bee
ed to his helpmate— ,“,:,"@I @@say, Ned, I’m a"
 to his helpmate— “@,I,.," @@say, Ned, I’m a-t"
"e— “@I @@say, Ned, I",’,',m a-thinkin’ our mas
 a son-in-law. There,’,',s pretty plain signs
y at the bellows. “@,I,T, would not for the w
 world ask a disagre,e,c,"able question,” said"
as a monster whom yo,u,n, ought to shun rathe
"r hand, which she un",r,t,esistingly yielded. 
voice of anguish. “@,I,T,"s it, then, too late"
ol@ despairingly. “@,I,T,t is—if to love you 
 clenched hand. “@Re,c,e,all your words—Ebba—
 me@!” cried Ebba. “,I,J,t is the person I su
ards the intruder. “,I,T, have sought you for
", commanding voice. ",“,‘,@You have not kept y
ointment with me.” “,I,T," could not,” replied"
"ot,” replied Auriol—",“, ,an accident has befa
 has befallen me.” “,I,J," know it,” rejoined "
nicated with me.” “@,I,T,t was my intention t
atue in Hyde Park.” ,“,«,"@I will be there,” r"
ue in Hyde Park.” “@,I,T," will be there,” rep"
 the stranger. Chapt,er,Vv, 5 The Meeting near 
e stranger. Chapter ,5,., The Meeting near th
tranger. Chapter 5 T,he,HE, Meeting near the St
ger. Chapter 5 The M,eeting,EETING, near the Statue@ Th
apter 5 The Meeting ,near,NEAR, the Statue@ The eve
 5 The Meeting near ,the,THE, Statue@ The evening
e Meeting near the S,tatue,TATUE,@ The evening of the
g near the Statue@ T,h,a,e evening of the thi
yde Park by Stanhope, G,-g,ate. Glancing at his
e struck across the ,p,P,"ark, in the directio"
beneath his feet. “@,I,T, would plunge into t
"danger, but now I se",e,c,k for it in vain.” T
nt of his thoughts w,as,er,@ here interrupted b
in a pantomimic garb,.,",", He also remarked @@
murdered grandfather,’,',"s attendant, Flapdra"
 group around him. “,I,T,t must be Flapdragon
” cried the dwarf. “,I,T,!” rejoined Auriol. 
cried the dwarf. “I!,”,"""", rejoined Auriol. “@
m fixedly; “you are—,—, ,” and he stopped. “Y
he dwarf’s throat. “,I,T," have,” replied the "
 the first speaker. ,“,‘,Give him a drop more
 Auriol@ evasively. ,“,T,@@@@@@@I@@ @@@@@@@@@
” inquired Auriol. “,I,T, don’t know the vill
uired Auriol. “I don,’,',t know the villain’s
"ed the dwarf, “for I",’,',ve been a terrible l
 replied the man. “I,’,',ll take him to the L
"n, near the barracks",—,",",@that’s the nearest 
nearest public.” “I’,l,T,l join him there in 
iabolical exultation,.,",", The cloak was throw
 demon. The stranger,’,',"s hat was off, and h"
 be mine.” “@Never@!,”,"""", cried Auriol@ firml
“she must be mine—or,——,- ,” “I defy you@!” rej
must be mine—or——” “,I,T, defy you@!” rejoine
—or——” “I defy you@!,”,"""", rejoined Auriol@; “
 dread my vengeance@,!,|,”@@@@@@@@@@@@@@@@@@@
uit the bench. Chapt,er,VI, 6 The Charles the S
 the bench. Chapter ,6,., The Charles the Sec
e bench. Chapter 6 T,he,HE, Charles the Second 
nch. Chapter 6 The C,harles,HARLES, the Second Spaniel@
apter 6 The Charles ,the,THE, Second Spaniel@ It 
 6 The Charles the S,econd,ECOND, Spaniel@ It was abo
Charles the Second S,paniel,PANIEL,@ It was about two o
he Second Spaniel@ I,t,r, was about two o’clo
@ It was about two o,’,',"clock, on a charming"
u off so suddenly? W,e,o, have been expecting
rribly uneasy. Haven,’,',"t you, Ebba?”@@@@@@@"
ast down her eyes. “,I,T,t was my intention t
ture was unavoidable,.,",",” “To be sure; and I
d Mr. Thorneycroft. ,“,«,@But you neglected t
owledge the gift.” “,I,T, could not give an a
" the moment,” said A",u,n,"riol. “Well, I am gl"
 replied@ timidly. “,I,T," am so,” replied Aur"
ing her fixedly. “A ,v,y,ery disastrous circu
er me one question: ,H,h,as the mysterious pe
as terribly frighten,e,c,"d, but something pre"
 him. Go to Langham ,P,p,"lace to-morrow, and,"
"have met, I hope you",’,',ll walk home and din
 him entreatingly. “,I,T," have an engagement,"
along towards Oxford, S,-s,"treet, while Mr. Tho"
ve been so wretched@,!,:,” “@@@@@I@@@@@@ grie
been so wretched@!” ,“,8,@@@@@I@@@@@@ grieve 
had forgotten me.” “,I,T, am sure you did not
nxiously inquired. “,I,J,@ would have shunned
"d Ebba, remarking th",e,o, Charles the Second 
quil for beauty. Don,’,',"t be afeerd on it, m"
"m to like her, I won",’,',t copy the manners o
athers as has stony ,‘,’,"arts, and part two t"
"ed Ebba, smiling. “@",I,T, wish I could afford
ost wallerable part ,o’,0°, my stock. I’ll tell
 part o’ my stock. I,’,',ll tell you wot I gi
 trifle beyond it. I,’,',d scorn to take adwa
antage o’ the likes ,o,0,’ you.” “I @hope you
"then, friend,” repli",e,c,d Ebba. “@I didn’t g
"riend,” replied Ebba",.,",", “@I didn’t give hay
"d,” replied Ebba. “@",I,T, didn’t give hayf he
hayf her wally—not h,ayf,s. ,",” said Ginger; “@an"
 like her in a month,’,',"s time, I’ll buy her"
"in a month’s time, I",’,',ll buy her back agai
 again from you. You,’,',ll alvays find me he
"t’s my name, miss. I",’,',m the only honest ma
eat gunmaker o’ Bond, S,-s,"treet, about me—him "
s the Bishop o’ Bond, S,-s,treet—an’ he’ll tell
’ Bond Street—an’ he,’,',ll tell you.” “@But 
l you.” “@But you ha,v,y,en’t answered the la
eplied Ginger@; “@it,’,',ll make a mater’al d
“@it’ll make a mater,’,',al difference in the
e price. To you@ she,’,',ll be five-an’-twent
"ady, twenty.” “But s",up,er,pose I buy her for t
