Unnamed: 0,Ground Truth,OCR Text,CER,Lexical Correction,Model Correction,old_CER,new_CER,CER_reduction
10,She did not identify him at first.,"She did not identify him at, first,",0.0571428571428571,"She did not identify him at, first,",She did not identify him at first.,0.058823529411764705,0.0,100.0
11,"Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daugister of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.",0.0109890109890109,"Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.",0.0,0.0,
12,He asked for her father.,He asked for her lather.,0.0416666666666666,He asked for her lather.,He asked for her lather.,0.041666666666666664,0.041666666666666664,0.0
13,"He said, “I struck the old man.","Be said, ""1 I struck the old man.",0.1212121212121212,"Be said, ""1 I struck the old man.","Be said, “I struck the old man.",0.12903225806451613,0.03225806451612903,75.0
14,"He screamed, and his wife came upstairs and we were obliged to run away.","Ho screamed, and his wife came upstairs and we were obliged to run away.",0.0138888888888888,"Ho screamed, and his wife came upstairs and we were obliged to run away.","He screamed, and his wife came upstairs and we were obliged to run away.",0.013888888888888888,0.0,100.0
15,"I daresay your father will blame me for all this, but my brother was outside and did all he could to stop the servant.” Witness asked if the servant was stopped.","I daresay your father *will blame me for all this, but my brother was outside end did all he could to stop the servant,"" Witness asked if the servant waS stopped.",0.0308641975308641,"I dare your father *will blame me for all this, but my brother was outside end did all he could to stop the servant,"" Witness asked if the servant waS stopped.","“I dare your father will blame me for all this, but my brother was outside and did all he could to stop the servant,” said the Tinker, who asked if the servant had been stopped.",0.049689440993788817,0.17391304347826086,-250.0
16,Prisoner replied in the negative.,"Prisoner replied in the negative,",0.0303030303030303,"Prisoner replied in the negative,",Prisoner replied in the negative.,0.030303030303030304,0.0,100.0
17,She asked if her father had got away.,She asked if her father had got away.,0.0,She asked if her father had got away.,She asked if her father had got away.,0.0,0.0,
18,"Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloakroom.","Prisoner replied, "" No,"" and told her she had better pack up her luggage andl get away from the house at once, and leaye her luggage in the cloaki- roanI.",0.0714285714285714,"Prisoner replied, "" No,"" and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloaki- roans.","Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloaks.",0.060810810810810814,0.02702702702702703,55.55555555555556
19,"He said, “You know where Weiner lives.","le said,"" You know where Weiner lives,",0.1025641025641025,"le said,"" You know where Weiner lives,","le said, “You know where Weiner lives?",0.10526315789473684,0.05263157894736842,50.0
20,"You must go down to him and tell him to assist you Witness packed up her luggage and took it to Waterloo Station, and afterwards went to Adolphs Weiner’s house.","You nmut go down to him and tell him to assist you. \WitneFs packed up her luggage and took it to Wettrino Station, and afterwards wont to AdoOlphe WAeiner's house,",0.0909090909090909,"You must go down to him and tell him to assist you. \WitneFs packed up her luggage and took it to Wettrino Station, and afterwards wont to AdoOlphe WAeiner's house,","You must go down to him and tell him to assist you.” With this she packed up her luggage and took it to Wettrino Station, and afterwards went to Adolphus Whitehouse’s house.",0.08125,0.1375,-69.23076923076924
21,She packed the luggage and sent it to Waterloo Station the same day.,She packed the luggage and scont 't to Waiterloo Station the saime day.,0.0704225352112676,She packed the luggage and wasn 't to Waiterloo Station the same day.,She packed the luggage and wasn’t to Waiterloo Station the same day.,0.08823529411764706,0.10294117647058823,-16.666666666666654
22,"She then went to 6, Dyer’s Buildings and saw Adolphe Weinger.","She then wer t to C, Dyer's Buildings, and saw Adolphe Weiner.",0.0952380952380952,"She then wer t to C, Dyer's Buildings, and saw Adolphe Weiner.","She then went to C, Dyer’s Buildings, and saw Adolphe Weiner.",0.09836065573770492,0.04918032786885246,50.0
23,Directly he saw her he said “For God’s sake go away!,"Directly he saw her ho said, ""For God's sake go awa: ;<y I",0.1724137931034483,"Directly he saw her ho said, ""For God's sake go away: ;<y I","Directly he saw her he said, “For God’s sake go away!”",0.21153846153846154,0.038461538461538464,81.81818181818181
24,"I will meet you in Castle-street.” She went there, where he shortly joined her, and took her to a wine shop in Chancery lane.","I will meet you iri CLstle-etreet,"" She went ther!, wlhore he shortly joined her, and took her to a r.ina shop hi Chaneery-laus.",0.1395348837209302,"I will meet you ire CLstle-etreet,"" She went ther!, whores he shortly joined her, and took her to a rkina shop hi Chaneery-laus.","I will meet you at the corner of Broadway.” She went there, and he shortly joined her, and took her to a rakina shop at Chancery Lane.",0.144,0.272,-88.88888888888891
25,"Witness said, “You have got my father into this trouble, and I shall expect you to get him out of it.” He denied at first that he knew anything about it.","Witness raid, "" You have got my father into this trouble, and I sh^all ex- pect you to get him out of it."" He denied at first that he knew anything aboat it.",0.0509554140127388,"Witness raid, "" You have got my father into this trouble, and I shall ex- expect you to get him out of it."" He denied at first that he knew anything about it.","Witness raid, “You have got my father into this trouble, and I shall expect you to get him out of it.” He denied at first that he knew anything about it.",0.05228758169934641,0.006535947712418301,87.5
26,She told him that her father had told her about the affair from the beginning.,"She told him that her father had told her about the aifair fromn the beginning,",0.0379746835443038,"She told him that her father had told her about the affair from the beginning,",She told him that her father had told her about the affair from the beginning.,0.01282051282051282,0.0,100.0
27,He said that all he did was to get her father a situation.,"Hee said that all he did was to get her father a situation,",0.0338983050847457,"Hee said that all he did was to get her father a situation,",He said that all he did was to get her father a situation.,0.034482758620689655,0.0,100.0
28,"She said she know that was false, and that he spent her father to Mr. Tabak, first he had said he would not assist her at all, and then he gave her 5s., and said he would give her that every week until she got employment.","She said she henew that was false, and that he sent her father to MIr. Tabak. First he said he would not assist her at all, and Sthen he gave hfr 5s3., and said he would give h)er that every xv.ek until she got employment.",0.079295154185022,"She said she renew that was false, and that he sent her father to MIr. Tabak. First he said he would not assist her at all, and Sthen he gave her 5s3., and said he would give her that every xvlek until she got employment.","She said she knew that was false, and that he sent her father to Mr. Tabak. First he said he would not assist her at all, and then he gave her five shillings, and said she would give her that every week until she got employment.",0.07239819004524888,0.09954751131221719,-37.49999999999998
29,"He said whatever she did she must not come near Dyer’s Buildings, because he was watched.","I-Ie -aid whatever she did sho rnust 1!0t come near Dyers- Bnildigi, because le, wa, watched.",0.1894736842105263,"I-Ie -aid whatever she did sho rust 1!0t come near Dyers- Bnildigi, because le, wa, watched.","I—Ie —aid whatever she did sho rust!” But she could not come near Darcy, because he was watched.",0.19101123595505617,0.4044943820224719,-111.76470588235294
30,"The she went to Jacoby’s house, but he was not at home. She saw him, however, on the following Friday at his place in the Edgware-road.","Then zlihe went to Jacoby's house, but he was not at hozae. She Sdw Hisll, hoeveoer, on the following Fri'av at hmis place in the Edgware road.",0.1388888888888889,"Then she went to Jacoby's house, but he was not at home. She Sdw Hisll, hoeveoer, on the following Fri'av at his place in the Edgware road.","Then she went to Jacoby’s house, but he was not at home. She visited William, however, on the following Friday, at his place in the Edgware Road.",0.1037037037037037,0.1111111111111111,-7.14285714285714
31,He said he did not know they were going to strike him.,He baid he (ii not know they were going to strike him.,0.0555555555555555,He said he (ii not know they were going to strike him.,He said he did not know they were going to strike him.,0.037037037037037035,0.0,100.0
32,Witness told him he must take the money for her father’s maintenance in the House of Detention.,Witness toid h1mr lie mnst takre t'he money for her fathber's m sin- teusence in the House of Detention.,0.1634615384615384,Witness told h1mr lie most take t'he money for her fathber's m sin- tenpence in the House of Detention.,Witness told him that she would take the money for her father’s m sin—tenpence in the House of Detention.,0.14736842105263157,0.15789473684210525,-7.142857142857147
33,"He promised to do so, and met witness the next night in Aylesbury-street, Clerkenwell.","HEo promn.isedl to do -o, and met bwitn ss the urox'; night in Av.e: i- bnvsty:r eeet, C e l; euweli.",0.3398058252427184,"HEo promswised to do -o, and met with ss the prox'; night in Av.: i- busty:r beet, C e l; seseli.","He therefore promised to do so, and met with the latter that night in Av.: “Busty:r beet, C e l; seseli.",0.3953488372093023,0.5,-26.470588235294123
34,"She gave him 10s, for her father.",She gave h;.r l0 3s. fer he; fa-her.,0.2777777777777778,She gave h;.r l0 3s. fer he; fa-her.,She gave him her hand; and he kissed her.,0.30303030303030304,0.6060606060606061,-100.0
35,"On the following Monday she was to meet the elder Weiner, who promised to give her £2 12s.","On the following Monday she waS to mnet. hse elcer Wesiner, who promaised to give her f2 12;.",0.1063829787234042,"On the following Monday she waS to meet. sse ulcer Wesiner, who promised to give her f2 12;.","On the following Monday she was to meet Mr. Sewell, who promised to give her some relief.",0.1,0.25555555555555554,-155.55555555555551
36,for the rent then due by her father.,for th. rent then due by her fether.,0.0555555555555555,for th. rent then due by her father.,for the rent then due by her father.,0.027777777777777776,0.0,100.0
37,"Weiner did not turn up, but subsequently she saw Jacoby, who gave her £3 to pay the rent.","Weiner did not turn up, bat subs-.cquently -he saw Jacisby, who ,,ave hez �X2' to pay the rent.",0.1473684210526315,"Weiner did not turn up, bat subs-.cquently -he saw Jacisby, who ,,ave he �X2' to pay the rent.","Weiner did not turn up, but suddenly—quently—he saw Jacisby, who had he ‘X2’ to pay the rent.",0.15730337078651685,0.20224719101123595,-28.57142857142857
38,He told her no’s to go to Weiner’s place at all.,Ho told her no0 to go to i NATehier's place at all.,0.2075471698113207,Ho told her no0 to go to i NATehier's place at all.,He told her no need to go to Mr. Thorneycroft’s place at all.,0.22916666666666666,0.375,-63.63636363636365
39,"He promised to meet her at the Marble Arch the following Wednesday, but by the advice of Palmer and his wife she did not go.","He promiged to ml;eet h..r at the ll urlle Arch the following Woedesd ay, but by the II[ls'ice of PAeher and his wife she did not gc",0.1791044776119403,"He promised to mlbeet h... at the ll tulle Arch the following Woedesd ay, but by the II[ls'ice of PAeher and his wife she did not gc","He promised to meet her at the Tulle Arch the following day, but by the intercession of Pegher and his wife she did not appear.",0.20161290322580644,0.23387096774193547,-16.0
40,"On March 25th, after seeing Palmer, she went to the house of his mother-in-law.","On Marclh ui5th, after 8ecmiJPalrner, she weat to the hounon of his mother-in-law.",0.1785714285714285,"On Marclh ui5th, after 8ecmiJPalrner, she went to the gounod of his mother-in-law.","On March 5th, after 8pm, she went to the house of his mother-in-law.",0.189873417721519,0.16455696202531644,13.333333333333345
41,He came in and sent for his wife.,He came in and scnt for bis wife.,0.0606060606060606,He came in and scnt for bis wife.,He came in and looked for his wife.,0.06060606060606061,0.18181818181818182,-200.0
42,"They took witness to their house, and sent for her luggage from Waterloo.","They took witness to their house, aod. sent for her luggage from Waterloo.",0.027027027027027,"They took witness to their house, sod. sent for her luggage from Waterloo.","They took witness to their house, and sent for her luggage from Waterloo.",0.0410958904109589,0.0,100.0
43,She remained in the house for nine weeks.,She remained in the house for nine weeks.,0.0,She remained in the house for nine weeks.,She remained in the house for nine weeks.,0.0,0.0,
44,"Witness knew the whole of the prisoners, who were in the habit of coming to the house of witness’s father.","Witness kolemw the whole of the prisoners, who were in the hohit of coming to the house of witness's fathor.",0.0648148148148148,"Witness solemn the whole of the prisoners, who were in the habit of coming to the house of witness's father.","Witness solemn the whole of the prisoners, who were in the habit of coming to the house of witness’s father.",0.05660377358490566,0.04716981132075472,16.666666666666664
45,Three weeks after Christmas Jacoby called at their house with a bottle of chloroform.,Three weesle aftr Christ- inas Jacoby oalleu at their Is11us Vith a bsottle of chlorotorme,0.2043010752688172,Three wesley after Christ- kings Jacoby called at their Is11us Vith a bottle of chloroforms,"Three centuries after Christ— kings Jacoby and Elizabeth, called at their house with a bottle of chloroforms.",0.2,0.3411764705882353,-70.58823529411764
46, They tried it on the kitten.,", Toney tried it on the hitten,",0.1612903225806451,", Toney tried it on the kitten,",Toney tried it on the kitten.,0.13793103448275862,0.10344827586206896,25.0
47,On a subsequent occasion the elder Weiner took a rabbit to the house and witness was ordered out of the room.,"On o. sub- se(luent c asiva time -lder Waeiner took a), rabbit to the houQse aud wiitness was orderod out of the room.",0.1680672268907563,"On o. sub- sefluent c siva time -lder Waeiner took a), rabbit to the house aud witness was ordered out of the room.",On o. siva time Elder Waeiner took a rabbit to the house and the witness was ordered out of the room.,0.1651376146788991,0.23853211009174313,-44.44444444444444
48,"When she returned the windows were open, and there was a strong smell of chloroform im the room.","When she returned the windows were open, ernd there vyae a strong smell of chloroform il thu XrDom.",0.0909090909090909,"When she returned the windows were open, and there was a strong smell of chloroform il thus XrDom.","When she returned the windows were open, and there was a strong smell of chloroform throughout the house.",0.052083333333333336,0.14583333333333334,-179.99999999999997
49,She believed they had tried it on the rabbit.,She bLeIeved they had tried it on ths ralsdt.,0.1521739130434782,She believed they had tried it on the aalst.,She believed they had tried it on the angel.,0.08888888888888889,0.1111111111111111,-24.99999999999999
50,"The accused, who protested their innocence, were remanded.","T!ie accused, v; ho proctstea t-heir innocence. were reminded.",0.1746031746031746,"Tlie accused, v; ho proctored t-heir innocence. were reminded.","The accused, however, proved his innocence. were reminded.",0.20689655172413793,0.27586206896551724,-33.33333333333333
