OCR Text,Ground Truth
"Lights glimmered in most windows, revealing the holly-sprigs and laurcl-leaves stuck thickly in their diamond panes; while, whenever a door was opened, a ruddy gleam burst across the street; and a glance inside the dwelling showed its inmates either gathered round the glowing hearth, occupied in mirthfal sports—fox-i'-th’hole, blind-man’s-buff, or shoe-the-mare—or seated at the ample board groaning with Christmas cheer.","Lights glimmered in most windows, revealing the holly-sprigs and laurel-leaves stuck thickly in their diamond panes; while, whenever a door was opened, a ruddy gleam burst across the street, and a glance inside the dwelling showed its inmates either gathered round the glowing hearth, occupied in mirthful sports—fox-i’-th’-hole, blind-man’s buff, or shoe-the-mare—or seated at the ample board groaning with Christmas cheer."
"ye’re upsettin’ me, an’ all the fruits of my industry,” cried an applewoman, against whom the bricklayer had run his barrow.","ye’re upsettin’ me, an’ all the fruits of my industry,” cried an applewoman, against whom the bricklayer had run his barrow."
"Ve feels our vay with the sarvents, and finds out from them the walley the master or missis sets on the dog, and soon after that the animal’s gone.","Ve feels our vay with the sarvents, and finds out from them the walley the master or missis sets on the dog, and soon after that the animal’s gone."
"On the entrance of the Sandman and the Tinker, he nodded familiarly to them, and with a sly look inquired—* Vell, my ’arties—wot luck 2?” “ Oh, pretty middlin’,” replied the Sandman, grufily.","On the entrance of the Sandman and the Tinker, he nodded familiarly to them, and with a sly look inquired—“Vell, my ‘arties—wot luck?” “Oh, pretty middlin’,” replied the Sandman gruffly."
"“I owe your worthy father a deep debt of gratitude—a debt which, I fear, I shall never be able to repay.” “ My father is more than repaid in saving your life,” she replied.","“I owe your worthy father a deep debt of gratitude—a debt which, I fear, I shall never be able to repay.” “My father is more than repaid in saving your life,” she replied."
“ He's a-speakin’ to some yon unwisible.” “ Hush—hush !” whispered the other.,“He’s a-speakin’ to some von unwisible.” “Hush—hush!” whispered the other.
How know I there was such a king?,How know I there was such a king?
"Her attire was simple, but tasteful, and by its dark colour threw into relief the exceeding fairness of her skin,","Her attire was simple but tasteful, and by its dark colour threw into relief the exceeding fairness of her skin."
"“ That I am what I seem,” replied Auriol.","“That I am what I seem,” replied Auriol."
"“Who, and what are ye ?” she cried, wild with terror.","“Who and what are ye?” she cried, wild with terror."
‘“ You're a labourin’ under a mistake—a complete mistake.,“You’re a-labourin’ under a mistake—a complete mistake.
"Personal security, however, forbade any attempt to track these labyrinths; but imagination, after the specimen afforded, could easily picture them.","Personal security, however, forbade any attempt to track these labyrinths; but imagination, after the specimen afforded, could easily picture them."
"“What are your qualifications?” demanded Trigge— “ what are your qualifications ?” “I fancy I understand something of the business,” replied the little man.","“What are your qualifications?” demanded Trigge—“what are your qualifications?” “I fancy I understand something of the business,” replied the little man."
"“ He has fixed Wednesday next,” pursued Auriol ; “ bat I wish an earlier day could have been named.","“He has fixed Wednesday next,” pursued Auriol; “but I wish an earlier day could have been named."
"‘And ve calls ’em smashers, now-a-days—not halchemists.” “ Doctor Lamb’s object was actually to turn base metal into gold,” rejoined Old Parr, ina tone of slight contempt.","“And ve calls ’em smashers, nowadays—not halchemists.” “Doctor Lamb’s object was actually to turn base metal into gold,” rejoined Old Parr, in a tone of slight contempt."
"“ As to you, you've the comfort of knowing it'll soon be over with you.","“As to you, you’ve the comfort of knowing it’ll soon be over with you."
"“I'll take him to the Life Guardsman, near the barracks, that’s the nearest public.” “Tl join him there in an hour,” replied Auriol, moving away.","“I’ll take him to the Life Guardsman, near the barracks—that’s the nearest public.” “I’ll join him there in an hour,” replied Auriol, moving away."
"The quaint, Dutch-looking structures on the opposite bank, the line of coal-barges and lighters moored to the strand, the great timber-yards and coal-yards, the brewhouses, gasworks, and waterworks, could only be imperfectly discerned; but the moonlight fell clear upon the ancient towers of Lambeth Palace, and on the neighbouring church.","The quaint, Dutch-looking structures on the opposite bank, the line of coal-barges and lighters moored to the strand, the great timber-yards and coal-yards, the brewhouses, gasworks, and waterworks, could only be imperfectly discerned; but the moonlight fell clear upon the ancient towers of Lambeth Palace, and on the neighbouring church."
she heeds me not!,she heeds me not!
"“ Sadly,” replied Morse.","“Sadly,” replied Morse."
"Darcy?” cried Thorneycroft, whose back was towards the Tinker,","Darcy?” cried Thorneycroft, whose back was towards the Tinker."
"I see you, and appear to know you. I see this chamber—these alchemical implements—that furnace—these different objects—and I appear to recognise them.","I see you, and appear to know you. I see this chamber—these alchemical implements—that furnace—these different objects—and I appear to recognise them."
"“Beg pardon, sir,” said Ginger, “but hadn't I better earry the dog home for the young lady?","“Beg pardon, sir,” said Ginger, “but hadn’t I better carry the dog home for the young lady?"
"“ All then is over.” “ What means this sudden change ?” cried Ebba, frightened by his looks.","“All then is over.” “What means this sudden change?” cried Ebba, frightened by his looks."
"The water lay in thick gongealed masses around the conduits and wells, and the buckets were frozen on their stands.","The water lay in thick congealed masses around the conduits and wells, and the buckets were frozen on their stands."
“ Vot d’ye think he sees ?” “ Why do you not speak to me?” cried the young man —*why do you beckon me forward?,“Vot d’ye think he sees?” “Why do you not speak to me?” cried the young man—“why do you beckon me forward?
The Sandman jumped down.,The Sandman jumped down.
"“ Wot kind o’ secrets are they ?” “Vy, hangin’ secrets,” replied the Tinker, with mysterious emphasis.","“Wot kind o’ secrets are they?” “Vy, hangin’ secrets ,” replied the Tinker, with mysterious emphasis."
"On the other side, lay a black, mysterious-looking book, fastened with brazen clasps.","On the other side lay a black, mysterious-looking book, fastened with brazen clasps."
“ Who is this !” he demanded with some misgiving.,“Who is this?” he demanded with some misgiving.
"Tinged by these fires, the different objects in the chamber seemed to take other forms, and to become instinct with animation.","Tinged by these fires, the different objects in the chamber seemed to take other forms, and to become instinct with animation."
"Thus far all seemed auspicious, and he thought he could now bid defiance to fate.","Thus far all seemed auspicious, and he thought he could now bill defiance to fate."
"“ Better vait a bit,” remarked Ginger, shaking his head dubiously.","“Better vait a bit,” remarked Ginger, shaking his head dubiously."
"He has lost his daughter,” replied Auriol.","He has lost his daughter,” replied Auriol."
"He said he should return this day week.” “Tf he comes I will not see him,” cried Auriol, sharply ; “mind that.","He said he should return this day week.” “If he comes I will not see him,” cried Auriol sharply; “mind that."
"Attached to the chimney-piece was a horary, sculptured in stone, near which hung a large star-fish.","Attached to the chimney-piece was a horary, sculptured in stone, near which hung a large starfish."
"Vv. THE MEETING NEAR THE STATUE. Tae evening of the third day arrived, and Auriol entered Hyde Park by Stanhope-gate.","Chapter 5 THE MEETING NEAR THE STATUE THE evening of THE third day arrived, and Auriol entered Hyde Park by Stanhope Gate."
"Talbot, regarding him fixedly.","Talbot, regarding him fixedly."
He was seated on the ground—neither bench nor stool being allowed him—with his hand supporting his chin.,He was seated on the ground—neither bench nor stool being allowed him—with his hand supporting his chin.
"“If you love me, you are lost—utterly lost!” She was so startled, that she could make no reply, but burst into tears.","“If you love me, you are lost—utterly lost!” She was so startled, that she could make no reply, but burst into tears."
You've com'd about that ere Scotch terrier.,You’ve com’d about that ere Scotch terrier.
"Perfect grace accompanied all her movements, and one only wondered that feet so small as those she possessed should have the power of sustaining a form which, though lightsome, was yet rounded in its proportions.","Perfect grace accompanied all her movements, and one only wondered that feet so small as those she possessed should have the power of sustaining a form which, though lightsome, was yet rounded in its proportions."
"In the centre of the vault was a round altar, of black marble, covered with a plate of gold, on which Rougemont read the following inscription : Hoc universi compendium unius mihi sepulcrum fect. “ Here, then, old Cyprian lies,” he cried.","In the centre of the vault was a round altar, of black marble, covered with a plate of gold, on which Rougemont read the following inscription: “Hoc universi compendium unius mihi sepulcrum feci.” “Here, then, old Cyprian lies,” he cried."
"But the old places are gone—clean gone !” “ Accordin’ to your own showin’, my wenerable friend, you must ha’ lived uppards o’ two hundred and seventy year,” said Ginger, assuming a consequential manner.","But the old places are gone—clean gone!” “Accordin’ to your own showin’, my wenerable friend, you must ha’ lived uppards o’ two hundred and seventy year,” said Ginger, assuming a consequential manner."
"Darcy, is it you?","Darcy, is it you?"
"“Nay, I need not remind you of the tenure by which you maintain your power,” rejoined the stranger.","“Nay, I need not remind you of the tenure by which you maintain your power,” rejoined the stranger."
"Trigge had just withdrawn into an inner room to take some refection, when, on returning, he found Watts occupied in cutting the hair of a middle-aged, sour-looking gentleman, who was seated before the fire.","Trigge had just withdrawn into an inner room to take some refection, when, on returning, he found Watts occupied in cutting the hair of a middle-aged, sour-looking gentleman, who was seated before the fire."
"“ T will try mine,” said Paston.","“I will try mine,” said Paston."
"Beyond this point, the staircase branched off on the right, and a row of stout wooden banisters, ranged like the feet of so many cattle, was visible from beneath.","Beyond this point the staircase branched off on the right, and a row of stout wooden banisters, ranged like the feet of so many cattle, was visible from beneath."
"“ So you have been playing the leech, Flapdragon, eh?” cried Baldred.","“So you have been playing the leech, Flapdragon, eh?” cried Baldred."
"You know very well that you have ruined me, and that nothing more is to be got from me.","You know very well that you have ruined me, and that nothing more is to be got from me."
"‘“ Nay, then I must call my assistants, and bind you.” “Let me be—let me be!” implored Auriol, “and I will offend you no more.","“Nay, then I must call my assistants, and bind you.” “Let me be—let me be!” implored Auriol, “and I will offend you no more."
"I know that thou wert a brother of the Rosy Cross—one of the illuminati—and didst penctrate the mysteries of nature, and enter the region of light.","I know that thou wert a brother of the Rosy Cross—one of the illuminati—and didst penetrate the mysteries of nature, and enter the region of light."
“ You must also consent to have a bandage passed over your eyes when you get into the coach.” “ Anything more ?” asked the iron-merchant.,“You must also consent to have a bandage passed over your eyes when you get into the coach.” “Anything more?” asked the iron-merchant.
The groan to which he gave utterance was echoed by a roar of diabolical laughter.,The groan to which he gave utterance was echoed by a roar of diabolical laughter.
Everybody knows Mr.,Everybody knows Mr.
"Having recently served as double to a famous demon-dwarf at the Surrey Theatre, he had become possessed of a cast-off pair of tawny tights, an elastic shirt of the same material and complexion, to the arms of which little green bat-like wings were attached, while a blood-red tunic with vandyke points was girded round his waist.","Having recently served as double to a famous demon-dwarf at the Surrey Theatre, he had become possessed of a cast-off pair of tawny tights, an elastic shirt of the same material and complexion, to the arms of which little green bat-like wings were attached, while a blood-red tunic with vandyke points was girded round his waist."
