,OCR Text,Ground Truth,Lexical Correction
11,"The comumunication thus strangely made seemed highly displeasing to Rongemont, who knitted his browe, and delivered some instructions in an under tone to the monkey.","The communication thus strangely made seemed highly displeasing to Rougemont, who knitted his brows, and delivered some instructions in an undertone to the monkey.","The communications thus strangely made seemed highly displeasing to Rongemont, who knitted his brows, and delivered some instructions in an under tone to the monkey."
12,"Not that I pays much regard to wot you'o bin a readin' in his pspers,'' pursuel Ginger; `` tlo gemman's evilently half-cracked, if he ain't erackod altogether-ut e's jist the person to work npon.","“Not that I pays much regard to wot you’ve bin a readin’ in his papers,” purused Ginger; “the gemman’s evidently half-cracked, if he ain’t cracked altogether—but he’s jist the person to work upon.","Not that I pays much regard to wot you'o bin a readin' in his papers,'' pursued Ginger; `` the gemman's evidently half-cracked, if he ain't cracked altogether-ut e's jist the person to work npon."
13,"Who, and what are you 7'' ee Some men would cnll me the deill'' replied Rongemont, carelessly.",“Who and what are you?” “Some men would call me the devil!” replied Rougemont carelessly.,"Who, and what are you 7'' ee Some men would call me the weill'' replied Rongemont, carelessly."
14,"A hundred years after that, and their children's children will be gone to the grae.","A hundred years after that, and their children’s children will be gone to the grave.","A hundred years after that, and their children's children will be gone to the grave."
15,Tlis seems a werry mysterious sort o' person.,“This seems a werry mysterious sort o’ person.,Tlis seems a werry mysterious sort o' person.
16,"Tlere's no hurry.'' e No; e must decile at vonce,'' ssid the Tinker.","“There’s no hurry.” “No; ve must decide at vonce,” said the Tinker.","Tlere's no hurry.'' e No; e must decile at once,'' ssid the Tinker."
17,"e shall meet again ere ]ong.'' And withont a word more, he hurried awa.","Ve shall meet again ere long.” And without a word more, he hurried away.","e shall meet again ere ]ong.'' And withont a word more, he hurried away."
18,"Ay-ay,'' replied the Sandman.","“Ay—ay,” replied the Sandman.","Ay-ay,'' replied the Sandman."
19,Who is it1'' groaned the dog-fancier.,“Who is it?” groaned the dog-fancier.,Who is it1'' groaned the dog-fancier.
20,"And if so, it only provres the lamentable condition to which I am reduced-memory and reason gonel'' ' Ay, both gone,'' cried tho other, with an irrepressible chuckle.","And if so, it only proves the lamentable condition to which I am reduced—memory and reason gone!” “Ay, both gone,” cried the other, with an irrepressible chuckle.","And if so, it only proves the lamentable condition to which I am reduced-memory and reason gone'' ' Ay, both gone,'' cried tho other, with an irrepressible chuckle."
21,"e shall soon be out of the smoke.'"" :I can't stand it,'' eried Mr.","“We shall soon be out of the smoke.” “I can’t stand it,” cried Mr.","e shall soon be out of the smoke.'"" :I can't stand it,'' eried Mr."
22,"Pick up your apples, and you shall hae a dhrop of the craiter if you'll come along wid me,'' :cz= While this wss passing, a stout gentleman came from -- Why, brother-in-law, is that you 7'' But Loftus was too much engrossed to notice him, and osta e stene u r ue.","Pick up your apples, and you shall have a dhrop of the craiter if you’ll come along wid me.” While this was passing, a stout gentleman came from the farther side of the statue, and perceiving Loftus, cried—“Why, brother-in-law, is that you?” But Loftus was too much engrossed to notice him, and continued to expiate upon the beauty of the trophies.","Pick up your apples, and you shall hae a drop of the crater if you'll come along wid me,'' :cz= While this wss passing, a stout gentleman came from -- Why, brother-in-law, is that you 7'' But Loftus was too much engrossed to notice him, and hosta e ctene u r e."
23,"TSartin, replied Ginger, ``cos the law's so kind to ns.","“Sartin,” replied Ginger, “cos the law’s so kind to us.","TSartin, replied Ginger, ``cos the law's so kind to ns."
24,WWhat is behind that curtain?'' shudleringly demanded Ebba of her companion.,“What is behind that curtain?” shudderingly demanded Ebba of her companion.,WWhat is behind that curtain?'' shudderingly demanded Ebba of her companion.
25,Opposite tlese stood a curiously-carvred ebony chair.,Opposite these stood a curiously carved ebony chair.,Opposite these stood a curiously-carvred ebony chair.
26,But you have to thank your own obstinacy for your present distress.,But you have to thank your own obstinacy for your present distress.,But you have to thank your own obstinacy for your present distress.
27,"The reigning sovereign should be James, and yet I fancy it Is George the Fourth.","The reigning sovereign should be James, and yet I fancy it is George the Fourth.","The reigning sovereign should be James, and yet I fancy it Is George the Fourth."
28,Divil seize yon fora eareless wagabone,“Divil seize you for a careless wagabone!,Divil seize yon fora careless vagabond
29,"`' Show yourself, that I masy confront you.'' A mocking langh was the only response deigned to this injunetion.","“Show yourself, that I may confront you.” A mocking laugh was the only response deigned to this injunction.","`' Show yourself, that I may confront you.'' A mocking laugh was the only response deigned to this injunction."
30,"I have a presentiment that if our marriage is so long delayed, it will not take place at all,'' Yon are full of misgiings, Auriol,'' she replied.","I have a presentiment that if our marriage is so long delayed, it will not take place at all.” “You are full of misgivings, Auriol,” she replied.","I have a presentiment that if our marriage is so long delayed, it will not take place at all,'' Yon are full of misgivings, Auriol,'' she replied."
31,"It woull puzzle the Lord Chanccllor himself to say what his age might be,'' The little man taosk aff his hat, and making n profond how to the barber, nnfolded tho 7imes nespaper, which he carried uuler his arm, and held it p to Irigge.","It would puzzle the Lord Chancellor himself to say what his age might be.” The little man took off his hat, and making a profound bow to the barber, unfolded the Times newspaper, which he carried under his arm, and held it up to Trigge.","It would puzzle the Lord Chanccllor himself to say what his age might be,'' The little man took aff his hat, and making n profound how to the barber, unfolded tho 7imes newspaper, which he carried under his arm, and held it p to Irigge."
32,"The coarsest ribaldry assailed your cars, and noisome odours afllicted your sense of smell.","The coarsest ribaldry assailed your ears, and noisome odours afflicted your sense of smell.","The coarsest ribaldry assailed your cars, and noisome odours afflicted your sense of smell."
33,"Thorneyeroft, a hand, thrust out of the hole in the ceiling, held the helmet suspended oer his head, like the sword of Damocles.","Thorneycroft, a hand, thrust out of the hole in the ceiling, held the helmet suspended over his head, like the sword of Damocles.","Thorneyeroft, a hand, thrust out of the hole in the ceiling, held the helmet suspended oer his head, like the sword of Damocles."
34,"Have you erer, in the coorsa o' yonr long life, met the young man as drank the 'lixir 1'' he inguired of the dwarf.","“Have you ever, in the coorse o’ your long life, met the young man as drank the ‘lixir?” he inquired of the dwarf.","Have you ever, in the course o' yonr long life, met the young man as drank the 'lixir 1'' he inquired of the dwarf."
35,"Let us quit this place.'' -Come, then,'' eaid Auriol.","Let us quit this place.” “Come, then,” said Auriol.","Let us quit this place.'' -Come, then,'' said Auriol."
36,Astonislment and alarm sat on every countenance.,Astonishment and alarm sat on every countenance.,Astonislment and alarm sat on every countenance.
37,Ha l-who told me of Charles the BSecond7,Ha!—who told me of Charles the Second?,Ha l-who told me of Charles the BSecond7
38,"Bcarcely had he accomplished this, when the purers Tame up, and dashed themselves against the door; but finding it bolted, presently censed their efforts, and apparently withdrew.","Scarcely had he accomplished this, when the pursuers came up, and dashed themselves against the door; but finding it bolted, presently ceased their efforts, and apparently withdrew.","Bcarcely had he accomplished this, when the purer Tame up, and dashed themselves against the door; but finding it bolted, presently ceased their efforts, and apparently withdrew."
39,"To-morrow we will finish all preliminary arrangements, and the day after you shall be made happy-hal","To-morrow we will finish all preliminary arrangements, and the day after you shall be made happy—ha!","To-morrow we will finish all preliminary arrangements, and the day after you shall be made happy-hal"
40,"My eyes were cnst upwnrds, and I wss struck with the malignant aspect of my star.","My eyes were cast upwards, and I was struck with the malignant aspect of my star.","My eyes were inst upwards, and I wss struck with the malignant aspect of my star."
41,"Placing it with the pockcet-book, he locked the writing-desk, exclaiming, `` It is useless to straggle further-I must yield to fate1'' IThis done, he went into the adjoining room, and, casting his eyes abont, remarked the antique bottle and flagon.","Placing it with the pocket-book, he locked the writing-desk, exclaiming, “It is useless to struggle further—I must yield to fate!” This done, he went into the adjoining room, and, casting his eyes about, remarked the antique bottle and flagon.","Placing it with the pockcet-book, he locked the writing-desk, exclaiming, `` It is useless to straggle further-I must yield to fate1'' IThis done, he went into the adjoining room, and, casting his eyes abont, remarked the antique bottle and flagon."
42,"It wonld bo a charity to knoek him on the head, rather thn let him suffer thus.","It would be a charity to knock him on the head, rather than let him suffer thus.","It wonld bo a charity to knock him on the head, rather than let him suffer thus."
43,"Uttering cjaeulations of rage and despair, he was dragged forcibly backwards into the vasult.","Uttering ejaculations of rage and despair, he was dragged forcibly backwards into the vault.","Uttering ejaculations of rage and despair, he was dragged forcibly backwards into the vault."
44,Thorneycroft and his companions.,Thorneycroft and his companions.,Thorneycroft and his companions.
45,"Tlis chamber, which was large and cased with osk, was wholly unfuruishel, like the hall, and in an equally dilnpidated condition.","This chamber, which was large and cased with oak, was wholly unfurnished, like the hall, and in an equally dilapidated condition.","Tlis chamber, which was large and cased with tosk, was wholly unfurnished, like the hall, and in an equally dilapidated condition."
46,"He next supplied himself Ifromn the poeket-book with a certain sum, for which e fancied he might have occasion in the course of the day, and sallicd forth.","He next supplied himself from the pocket-book with a certain sum, for which he fancied he might have occasion in the course of the day, and sallied forth.","He next supplied himself Ifromn the poeket-book with a certain sum, for which e fancied he might have occasion in the course of the day, and sallied forth."
47,] It may never arise., It may never arise.,] It may never arise.
48," iiaiaii] e he believes in 'em hisself, and will be glad to buy 'eP ] from us.'' That's aview o' the case worthy of an Old Bailey lawyer,'' replied thoe Sandman.","If no one else believes in ’em, it’s clear he believes in ’em hisself, and will be glad to buy ’em from us.” “That’s a view o’ the case worthy of an Old Bailey lawyer,” replied the Sandman."," aiai] e he believes in 'em himself, and will be glad to buy 'eP ] from us.'' That's kind o' the case worthy of an Old Bailey lawyer,'' replied thoe Sandman."
49,I think I oould help you to eseape.,“I think I could help you to escape.,I think I could help you to escape.
50,"Trigge had just withdrawn into an inner room to take some refection, when, on returning, he found Watts oceupied in cutting the hair of a milllc-aged, sour-looking gentleman, ho was scated ofore tho firo.","Trigge had just withdrawn into an inner room to take some refection, when, on returning, he found Watts occupied in cutting the hair of a middle-aged, sour-looking gentleman, who was seated before the fire.","Trigge had just withdrawn into an inner room to take some refection, when, on returning, he found Watts occupied in cutting the hair of a milllc-aged, sour-looking gentleman, ho was seated fore tho fire."
51,"Whateer thoughts msy arise within] me, I wil not give utterance to them.","Whatever thoughts may arise within me, I will not give utterance to them.","Whateer thoughts may arise within] me, I wil not give utterance to them."
52,"To come back to the piunt from vich we started,'' eaid thce Tinker ; ``our gcmau's case is not so surprisin' as it at first appears.","“To come back to the pint from vich we started,” said the Tinker; “our gemman’s case is not so surprisin’ as it at first appears.","To come back to the point from when we started,'' said the Tinker ; ``our gcmau's case is not so surprisin' as it at first appears."
53,"Yon are not entirely recovered yet.'' I dare not stay longer,'' he said.","“You are not entirely recovered yet.” “I dare not stay longer,” he said.","Yon are not entirely recovered yet.'' I dare not stay longer,'' he said."
54, e] But her husband retarned no answer.,“Who is this strange person?” But her husband returned no answer., e] But her husband retarded no answer.
55,"Anriol took her hand, which sho unresistingly yielded.","Auriol took her hand, which she unresistingly yielded.","Anriol took her hand, which sho unresisting yielded."
56,"And he discharged s pistol, with a deliberate aim, at th breast of Rougemont.","And he discharged a pistol, with a deliberate aim, at the breast of Rougemont.","And he discharged s pistol, with a deliberate aim, at th breast of Rougemont."
57,You cannot escspe me.,“You cannot escape me.,You cannot escape me.
58,"I say, deputy,'' he observel, ' ve've bin havin' a bit o' a dispute vich you can settle for ns.'' WeIl, let's see,'' squeaked the dwnr.","“I say, deputy,” he observed, “ve’ve bin havin’ a bit o’ a dispute vich you can settle for us.” “Well, let’s see,” squeaked the dwarf.","I say, deputy,'' he observed, ' ve've bin havin' a bit o' a dispute that you can settle for ns.'' WeIl, let's see,'' squeaked the dwarf."
59,"eWill yon sao him before ho is cast, liing, into te tomb 1'' cried the oice.","“Will you save him before he is cast, living, into the tomb?” cried the voice.","will yon saw him before ho is cast, liming, into te tomb 1'' cried the voice."
60,"Think again.'' :It's perfeetly true, neverthoeless,'' replied the dwarf.","Think again.” “It’s perfectly true, nevertheless,” replied the dwarf.","Think again.'' :It's perfectly true, nevertheless,'' replied the dwarf."
61,"There he will be immured, unless you sign,'' criedl tho voice; '` and, as he is immortal, he will endure an eternity of torture.'' I cannot save him so, but I muy precede him,'' cried Ebba.","“There he will be immured, unless you sign,” cried the voice; “and, as he is immortal, he will endure an eternity of torture.” “I cannot save him so, but I may precede him,” cried Ebba.","There he will be immured, unless you sign,'' cried tho voice; '` and, as he is immortal, he will endure an eternity of torture.'' I cannot save him so, but I muy precede him,'' cried Ebba."
62,"A stroke of the pen will rescue you fromn utter ruin,'' said Rougemont, leaning over his shoulder.","“A stroke of the pen will rescue you from utter ruin,” said Rougemont, leaning over his shoulder.","A stroke of the pen will rescue you from utter ruin,'' said Rougemont, leaning over his shoulder."
63,"Vy, zounds 1 he added, as he tried the door, ' its locked I' e hat's locked 1'' cried Thorneyeroft, in dismay.","Vy, zounds!” he added, as he tried the door, “it’s locked!” “What’s locked?” cried Thorneycroft in dismay.","Vy, founds 1 he added, as he tried the door, ' its locked I' e hat's locked 1'' cried Thorneyeroft, in dismay."
64,"te The horse is magnificent-positively magnificent.'' I recollect when the spot was occnpied by a gibbet, and when, in lieu of a statue, an effigy of the martyred :.","“The horse is magnificent—positively magnificent.” “I recollect when the spot was occupied by a gibbet, and when, in lieu of a statue, an effigy of the martyred monarch was placed there,” replied Morse.","te The horse is magnificent-positively magnificent.'' I recollect when the spot was occupied by a gibbet, and when, in lieu of a statue, an effigy of the martyred :."
65,Oh1,“Oh!,Oh1
66,"Nor did I eer killa dog for is skin, as soo on 'em doos.'' And you're nlways sure o' gettin' a dog, if you vants it, I s'pose7'' inquired tl Tinker.","Nor did I ever kill a dog for his skin, as some on ’em does.” “And you’re always sure o’ gettin’ a dog, if you vants it, I s’pose?” inquired the Tinker.","Nor did I eer kill dog for is skin, as soon on 'em does.'' And you're always sure o' gettin' a dog, if you wants it, I s'pose7'' inquired tl Tinker."
67,"eIhen he'll be glad to bny thoso papers at any price,'' ]said Ginger.","“Then he’ll be glad to buy those papers at any price,” said Ginger.","then he'll be glad to buy thoso papers at any price,'' ]said Ginger."
68,"Apparently he wss now perfectly recoered, for his arm was without the support of the sling, and he walked with great swiftness.","Apparently he was now perfectly recovered, for his arm was without the support of the sling, and he walked with great swiftness.","Apparently he wss now perfectly recovered, for his arm was without the support of the sling, and he walked with great swiftness."
69,"My wife, your ancestress, was a most lovely woman, and so passion ARIOL. ately wae I enamonred of her, that I tried by every art to heighten and preserve her beauty.","My wife, your ancestress, was a most lovely woman, and so passionately was I enamoured of her, that I tried by every art to heighten and preserve her beauty.","My wife, your ancestress, was a most lovely woman, and so passion ARIOL. lately was I enamored of her, that I tried by every art to heighten and preserve her beauty."
70,"Is this yours, sie7'' repliel the littlo man, pointing to nn ndvertiscment in the newspapcr.","“Is this yours, sir?” replied the little man, pointing to an advertisement in the newspaper.","Is this yours, sie7'' replied the littlo man, pointing to an advertisement in the newspaper."
71,"On awaking, he found himself within as cell, the walls, the floor, und the ceiling of which were of solid stone masonry.","On awaking, he found himself within a cell, the walls, the floor, and the ceiling of which were of solid stone masonry.","On awaking, he found himself within as cell, the walls, the floor, und the ceiling of which were of solid stone masonry."
72,"The ceiling was decorated with fresco paintings, and supported by two stately scagliola pillars.","The ceiling was decorated with fresco paintings, and supported by two stately scagliola pillars.","The ceiling was decorated with fresco paintings, and supported by two stately scabiosa pillars."
73,But ho was dissppointed in his expectation.,But he was disappointed in his expectation.,But ho was disappointed in his expectation.
74,But it don't matter.,“But it don’t matter.,But it don't matter.
75,"SignI'' At this injunction, the figure mored slowly towards the table, and, to his unspeakable horror, Auriol beheld it take] up the pen and write upon the parchment.","Sign!” At this injunction, the figure moved slowly towards the table, and to his unspeakable horror, Auriol beheld it take up the pen and write upon the parchment.","SignI'' At this injunction, the figure moved slowly towards the table, and, to his unspeakable horror, Auriol beheld it take] up the pen and write upon the parchment."
76,"So fur as it could he disccrnol by the glimpses of the moon, which ecasionally shone forth from a raek of heay clonds, the apearancee of these personages was not mnucl in their faour.","So far as it could be discerned by the glimpses of the moon, which occasionally shone forth from a rack of heavy clouds, the appearance of these personages was not much in their favour.","So fur as it could he discerned by the glimpses of the moon, which occasionally shone forth from a saek of head blonds, the appearance of these personage was not much in their favour."
77,"Showas next placel in a carriage, which was drien with great swiftness, and thongh it was impossible to conjectnre in what direction she was coneed, it seemed to her terrified imagination as if she were hurried down s precipice, and she exrpected eery moment to bo dashed in pieces.","She was next placed in a carriage, which was driven with great swiftness, and though it was impossible to conjecture in what direction she was conveyed, it seemed to her terrified imagination as if she were hurried down a precipice, and she expected every moment to be dashed in pieces.","Showas next placed in a carriage, which was dried with great swiftness, and though it was impossible to conjecture in what direction she was conned, it seemed to her terrified imagination as if she were hurried down s precipice, and she expected eery moment to bo dashed in pieces."
78,Who is it?' eried 'rigge.,Who is it?” cried Trigge.,Who is it?' eried 'rigge.
79,Near it hung a celestial sphere.,Near it hung a celestial sphere.,Near it hung a celestial sphere.
80,"WThilo hoe was chattering to it, the sngncious bird sereamed forth : : Tretty lear 1-pretty dear ' Yh I","While he was chattering to it, the sagacious bird screamed forth: “Pretty dear!—pretty dear!” “Ah!","WThilo hoe was chattering to it, the sagacious bird screamed forth : : Tretty lear 1-pretty dear ' Yh I"
81,"Oh yes, T believo ou, deputy,'' obserrod the Tinker; ' and so does tho Sandman.'' well, then,'' replied tho dwarf, ITll tell yonu low it ARIOL. comes to pass.","“Oh yes, I believe you, deputy,” observed the Tinker, “and so does the Sandman.” “Well, then,” replied the dwarf, “I’ll tell you how it comes to pass.","Oh yes, T relievo ou, deputy,'' observed the Tinker; ' and so does tho Sandman.'' well, then,'' replied tho dwarf, ITll tell you low it ARIOL. comes to pass."
82,"I confess it,'' he sanid; `` and my apprehensions hae risen to such n point, that I feel disposed to urge you to a private marriage, dnring your father's absenee.'' e Oh, no, Auriol; much as I lore yon, I conld never consent to seuch a step,'' she eried.","“I confess it,” he said; “and my apprehensions have risen to such a point, that I feel disposed to urge you to a private marriage, during your father’s absence.” “Oh no, Auriol; much as I love you, I could never consent to such a step,” she cried.","I confess it,'' he said; `` and my apprehensions hae risen to such n point, that I feel disposed to urge you to a private marriage, during your father's absence.'' e Oh, no, Auriol; much as I lore yon, I conld never consent to such a step,'' she eried."
83,"eWhat is to be done 1'' I shall know in a few hours,'' replied Ginger.","“What is to be done?” “I shall know in a few hours,” replied Ginger.","what is to be done 1'' I shall know in a few hours,'' replied Ginger."
84,"Do't be cryin' ont in that way, Peggy,'' cried Mr.","“Don’t be cryin’ out in that way, Peggy,” cried Mr.","Do't be cryin' ont in that way, Peggy,'' cried Mr."
85,"At his feet reposed an Isle of Ske terrier, and a partly-cropped French poodle, of snoy whiteness, with a red worsted riband ronnd his throat.","At his feet reposed an Isle of Skye terrier, and a partly cropped French poodle, of snowy whiteness, with a red worsted riband round his throat.","At his feet reposed an Isle of Ske terrier, and a partly-cropped French poodle, of snowy whiteness, with a red worsted riband around his throat."
86,"ee Io be sure I am,'' replied Loftus-`` to be sure.","“To be sure I am,” replied Loftus—“to be sure.","ee Io be sure I am,'' replied Loftus-`` to be sure."
87,e Edith TalbotI'' exclaimed Auriol; she your vietim l,“Edith Talbot!” exclaimed Auriol; “she your victim!,e Edith TalbotI'' exclaimed Auriol; she your victim l
88,"t Nay, tlen, since yon are so ungracious, I shall go and preparo breakfast,'' she replied.","“Nay, then, since you are so ungracious, I shall go and prepare breakfast,” she replied.","t Nay, then, since yon are so ungracious, I shall go and prepare breakfast,'' she replied."
89,"I hae not, sir,'' replied Auriol, turning pale.","“I have not, sir,” replied Auriol, turning pale.","I hae not, sir,'' replied Auriol, turning pale."
90,"And they walked along towards Oxford-street, while] Mr.","And they walked along towards Oxford Street, while Mr.","And they walked along towards Oxford-street, while] Mr."
91,But TI1 sell my life dearly.,But I’ll sell my life dearly.,But TI1 sell my life dearly.
92,"Only they von't do it on quite sich casy terms as mine.'' Tle Tinker and tho Sandman coughcd sligltly, to intimate their cntire concurrence in MIr. Ginger's remarkc","Only they von’t do it on quite sich easy terms as mine.” The Tinker and the Sandman coughed slightly, to intimate their entire concurrence in Mr. Ginger’s remark.","Only they von't do it on quite sich same terms as mine.'' Tle Tinker and tho Sandman coughed slightly, to intimate their entire concurrence in MIr. Ginger's remarks"
93,"No on else eonld ha' taken a faney to him.'' I only saw a hand and a black cloak,'' said the Sand","No von else could ha’ taken a fancy to him.” “I only saw a hand and a black cloak,” said the Sandman.","No on else would ha' taken a faney to him.'' I only saw a hand and a black cloak,'' said the Sand"
94,Yon must be constantly on the look-ont.,“You must be constantly on the look-out.,Yon must be constantly on the look-ont.
95,"Oh, Aurioll'' cried Ebba, ' I fear for your soul.","“Oh, Auriol!” cried Ebba, “I fear for your soul.","Oh, Aurioll'' cried Ebba, ' I fear for your soul."
96,"e've set ourseles free at last, and hae] made some nice diskiveries into the bargin.'' 4 Yes, ve'e fonnd it all ont,'' added the Tinker.","“Ve’ve set ourselves free at last, and have made some nice diskiveries into the bargin.” “Yes, ve’ve found it all out,” added the Tinker.","e've set yourself free at last, and hae] made some nice discoveries into the bargain.'' 4 Yes, ve'e fonnd it all ont,'' added the Tinker."
97,"Dtterly disregarding the dripping state of his habiliments, Auriol proceeded quickly to the place of rendezvous.","Utterly disregarding the dripping state of his habiliments, Auriol proceeded quickly to the place of rendezvous.","Dtterly disregarding the dripping state of his habiliment, Auriol proceeded quickly to the place of rendezvous."
98,"oh dear t' 18 ARIOL. Why, it does seem very strange, I mnst say,'' remarked the dwarf, coming to s halt.","oh dear!” “Why, it does seem very strange, I must say,” remarked the dwarf, coming to a halt.","oh dear t' 18 ARIOL. Why, it does seem very strange, I mnst say,'' remarked the dwarf, coming to s halt."
99,Dut no matterl,But no matter!,Dut no matters
100,"Where is the carriage l-what has become of Edith 1 She is in the power of the Fiend, and I hase sold her to him,'' replied Auriol, gloomily.","Where is the carriage?—what has become of Edith?” “She is in the power of the Fiend, and I have sold her to him,” replied Auriol gloomily.","Where is the carriage l-what has become of Edith 1 She is in the power of the Fiend, and I have sold her to him,'' replied Auriol, gloomily."
101,"Yon're s labonrin' nnder as mistake-a complete mistakoe. If it is a trap, ve're catched in it as vell as yourself' To be sure ve is,'' added the Sandman.","“You’re a-labourin’ under a mistake—a complete mistake. If it is a trap, ve’re catched in it as vell as yourself.” “To be sure ve is,” added the Sandman.","Yon're s labonrin' under as mistake-a complete mistake. If it is a trap, ve're patched in it as vell as yourself' To be sure ve is,'' added the Sandman."
102,"o yon ase better, your keeper tells me--mnuch better.'' Are yon indeed liing'' cried Auriol, rshing wildly towards him, and attempting to take his hand.","So you are better, your keeper tells me—much better.” “Are you indeed living?” cried Auriol, rushing wildly towards him, and attempting to take his hand.","o yon are better, your keeper tells me--mnuch better.'' Are yon indeed living'' cried Auriol, rushing wildly towards him, and attempting to take his hand."
103,"The serant then left them; and as soon as he was gone Anriol exclaimed-` Is it to mock me that yon have brought me hither 2 To moek you-no,'' replied Rougemont.","The servant then left them; and as soon as he was gone Auriol exclaimed, “Is it to mock me that you have brought me hither?” “To mock you—no,” replied Rougemont.","The servant then left them; and as soon as he was gone Anriol exclaimed-` Is it to mock me that yon have brought me hither 2 To mock you-no,'' replied Rougemont."
104,Ibeliee that black gentleman to be--'' What 1--who 7'' demanded Thorneycroft.,“I believe that black gentleman to be——” “What!—who?” demanded Thorneycroft.,Ibeliee that black gentleman to be--'' What 1--who 7'' demanded Thorneycroft.
105,t Ebba1,“Ebba!,t Ebba1
106,IThis was Old Parr.,This was Old Parr.,IThis was Old Parr.
107,"The chairs seemed nailed to the gronnd, so that all efforts to move them proved futile.","The chairs seemed nailed to the ground, so that all efforts to move them proved futile.","The chairs seemed nailed to the ground, so that all efforts to move them proved futile."
108,"The animal nodded its heasd in token of obedience, jumped off the table, and bonded back to the cabinet, the doors of which elosed as before.","The animal nodded its head in token of obedience, jumped off the table, and bounded back to the cabinet, the doors of which closed as before.","The animal nodded its head in token of obedience, jumped off the table, and bonded back to the cabinet, the doors of which closed as before."
109,No expense had been spared by Auriol to give splendour to his fete.,No expense had been spared by Auriol to give splendour to his fete.,No expense had been spared by Auriol to give splendour to his fete.
110,"S'pose we wos to make a entry of everythin' we dies,",S’pose we wos to make a entry of everythin’ we does.,"S'pose we wos to make a entry of everythin' we dies,"
111,Place the phial to my lips.,Place the phial to my lips.,Place the phial to my lips.
112,""" Ain't there no sort o' clue7' e Nono votiver, as I can perceie,'' said the Tinker.","“Ain’t there no sort o’ clue?” “None votiver, as I can perceive,” said the Tinker.",""" Ain't there no sort o' clue7' e Nono votive, as I can perceive,'' said the Tinker."
113,"The dinner passed off most pleasantly, and so did the evening; for the old gentleman was in high spirits, and his hilarity was communicated to tha yong conple.","The dinner passed off most pleasantly, and so did the evening; for the old gentleman was in high spirits, and his hilarity was communicated to the young couple.","The dinner passed off most pleasantly, and so did the evening; for the old gentleman was in high spirits, and his hilarity was communicated to tha long couple."
114,Mr.,Mr.,Mr.
115,"I must hae s hundred ponds,'' said the Tinkere that's my lowest'' 2: And mine, too,'' said the Sandman.","“I must have a hundred pounds,” said the Tinker—“that’s my lowest.” “And mine, too,” said the Sandman.","I must hae s hundred ponds,'' said the Tinkere that's my lowest'' 2: And mine, too,'' said the Sandman."
116,ha1'' screamed the dwarf.,ha!” screamed the dwarf.,ha1'' screamed the dwarf.
117,"Fearful of again losing the secret, I nerved mysolf to the task, and placing fuel on the fire, dismissed my attendunt with brief injunctions relatie to you. I then set to work.","“Fearful of again losing the secret, I nerved myself to the task, and placing fuel on the fire, dismissed my attendant with brief injunctions relative to you. I then set to work.","Fearful of again losing the secret, I nerved mysolf to the task, and placing fuel on the fire, dismissed my attendant with brief injunctions relating to you. I then set to work."
118,IIa1,Ha!,IIa1
119,"Eighty gineas, as Tm a lirin' man, and made no bones about it neither.","“Eighty guineas, as I’m a livin’ man, and made no bones about it neither.","Eighty years, as Tm a lirin' man, and made no bones about it neither."
