Ground Truth,OCR Text,CER
He asked for her father.,He asked for her lather.,0.041666666666666664
"He said, “I struck the old man.","Be said, ""1 I struck the old man.",0.12121212121212122
"He screamed, and his wife came upstairs and we were obliged to run away.","Ho screamed, and his wife came upstairs and we were obliged to run away.",0.013888888888888888
"I daresay your father will blame me for all this, but my brother was outside and did all he could to stop the servant.” Witness asked if the servant was stopped.","I daresay your father *will blame me for all this, but my brother was outside end did all he could to stop the servant,"" Witness asked if the servant waS stopped.",0.030864197530864196
Prisoner replied in the negative.,"Prisoner replied in the negative,",0.030303030303030304
She asked if her father had got away.,She asked if her father had got away.,0.0
"Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloakroom.","Prisoner replied, "" No,"" and told her she had better pack up her luggage andl get away from the house at once, and leaye her luggage in the cloaki- roanI.",0.07142857142857142
"He said, “You know where Weiner lives.","le said,"" You know where Weiner lives,",0.10256410256410256
"You must go down to him and tell him to assist you Witness packed up her luggage and took it to Waterloo Station, and afterwards went to Adolphs Weiner’s house.","You nmut go down to him and tell him to assist you. \WitneFs packed up her luggage and took it to Wettrino Station, and afterwards wont to AdoOlphe WAeiner's house,",0.09090909090909091
She packed the luggage and sent it to Waterloo Station the same day.,She packed the luggage and scont 't to Waiterloo Station the saime day.,0.07042253521126761
"She then went to 6, Dyer’s Buildings and saw Adolphe Weinger.","She then wer t to C, Dyer's Buildings, and saw Adolphe Weiner.",0.09523809523809523
Directly he saw her he said “For God’s sake go away!,"Directly he saw her ho said, ""For God's sake go awa: ;<y I",0.1724137931034483
"I will meet you in Castle-street.” She went there, where he shortly joined her, and took her to a wine shop in Chancery lane.","I will meet you iri CLstle-etreet,"" She went ther!, wlhore he shortly joined her, and took her to a r.ina shop hi Chaneery-laus.",0.13953488372093023
"Witness said, “You have got my father into this trouble, and I shall expect you to get him out of it.” He denied at first that he knew anything about it.","Witness raid, "" You have got my father into this trouble, and I sh^all ex- pect you to get him out of it."" He denied at first that he knew anything aboat it.",0.050955414012738856
She told him that her father had told her about the affair from the beginning.,"She told him that her father had told her about the aifair fromn the beginning,",0.0379746835443038
He said that all he did was to get her father a situation.,"Hee said that all he did was to get her father a situation,",0.03389830508474576
"She said she know that was false, and that he spent her father to Mr. Tabak, first he had said he would not assist her at all, and then he gave her 5s., and said he would give her that every week until she got employment.","She said she henew that was false, and that he sent her father to MIr. Tabak. First he said he would not assist her at all, and Sthen he gave hfr 5s3., and said he would give h)er that every xv.ek until she got employment.",0.07929515418502203
"He said whatever she did she must not come near Dyer’s Buildings, because he was watched.","I-Ie -aid whatever she did sho rnust 1!0t come near Dyers- Bnildigi, because le, wa, watched.",0.18947368421052632
"The she went to Jacoby’s house, but he was not at home. She saw him, however, on the following Friday at his place in the Edgware-road.","Then zlihe went to Jacoby's house, but he was not at hozae. She Sdw Hisll, hoeveoer, on the following Fri'av at hmis place in the Edgware road.",0.1388888888888889
He said he did not know they were going to strike him.,He baid he (ii not know they were going to strike him.,0.05555555555555555
Witness told him he must take the money for her father’s maintenance in the House of Detention.,Witness toid h1mr lie mnst takre t'he money for her fathber's m sin- teusence in the House of Detention.,0.16346153846153846
"He promised to do so, and met witness the next night in Aylesbury-street, Clerkenwell.","HEo promn.isedl to do -o, and met bwitn ss the urox'; night in Av.e: i- bnvsty:r eeet, C e l; euweli.",0.33980582524271846
"She gave him 10s, for her father.",She gave h;.r l0 3s. fer he; fa-her.,0.2777777777777778
"On the following Monday she was to meet the elder Weiner, who promised to give her £2 12s.","On the following Monday she waS to mnet. hse elcer Wesiner, who promaised to give her f2 12;.",0.10638297872340426
for the rent then due by her father.,for th. rent then due by her fether.,0.05555555555555555
"Weiner did not turn up, but subsequently she saw Jacoby, who gave her £3 to pay the rent.","Weiner did not turn up, bat subs-.cquently -he saw Jacisby, who ,,ave hez �X2' to pay the rent.",0.14736842105263157
He told her no’s to go to Weiner’s place at all.,Ho told her no0 to go to i NATehier's place at all.,0.20754716981132076
"He promised to meet her at the Marble Arch the following Wednesday, but by the advice of Palmer and his wife she did not go.","He promiged to ml;eet h..r at the ll urlle Arch the following Woedesd ay, but by the II[ls'ice of PAeher and his wife she did not gc",0.1791044776119403
"On March 25th, after seeing Palmer, she went to the house of his mother-in-law.","On Marclh ui5th, after 8ecmiJPalrner, she weat to the hounon of his mother-in-law.",0.17857142857142858
He came in and sent for his wife.,He came in and scnt for bis wife.,0.06060606060606061
"They took witness to their house, and sent for her luggage from Waterloo.","They took witness to their house, aod. sent for her luggage from Waterloo.",0.02702702702702703
She remained in the house for nine weeks.,She remained in the house for nine weeks.,0.0
"Witness knew the whole of the prisoners, who were in the habit of coming to the house of witness’s father.","Witness kolemw the whole of the prisoners, who were in the hohit of coming to the house of witness's fathor.",0.06481481481481481
Three weeks after Christmas Jacoby called at their house with a bottle of chloroform.,Three weesle aftr Christ- inas Jacoby oalleu at their Is11us Vith a bsottle of chlorotorme,0.20430107526881722
 They tried it on the kitten.,", Toney tried it on the hitten,",0.16129032258064516
On a subsequent occasion the elder Weiner took a rabbit to the house and witness was ordered out of the room.,"On o. sub- se(luent c asiva time -lder Waeiner took a), rabbit to the houQse aud wiitness was orderod out of the room.",0.16806722689075632
"When she returned the windows were open, and there was a strong smell of chloroform im the room.","When she returned the windows were open, ernd there vyae a strong smell of chloroform il thu XrDom.",0.09090909090909091
She believed they had tried it on the rabbit.,She bLeIeved they had tried it on ths ralsdt.,0.15217391304347827
"The accused, who protested their innocence, were remanded.","T!ie accused, v; ho proctstea t-heir innocence. were reminded.",0.1746031746031746
