Unnamed: 0,OCR Text,Ground Truth,Lexical Correction,Model Correction,old_CER,new_CER,CER_reduction
10,"Rougemont addressed a few words in an under tone to them, and they instantly bowed respectfully to Auriol, while the foremost of them led the way up a magnificent staircase.","Rougemont addressed a few words in an undertone to them, and they instantly bowed respectfully to Auriol, while the foremost of them led the way up a magnificent staircase.","Rougemont addressed a few words in an under tone to them, and they instantly bowed respectfully to Auriol, while the foremost of them led the way up a magnificent staircase.","Rougemont addressed a few words in an undertone to them, and they instantly bowed respectfully to Auriol, while the foremost of them led the way up a magnificent staircase.",0.005813953488372093,0.0,100.0
11,"Hurrying home, he wrote a few lines to Mr.","Hurrying home, he wrote a few lines to Mr.","Hurrying home, he wrote a few lines to Mr.","Hurrying home, he wrote a few lines to Mr.",0.0,0.0,
12,"“ You may larf, but it’s true,” replied the Tinker.","“You may larf, but it’s true,” replied the Tinker.","“ You may lari, but it’s true,” replied the Tinker.","“You may run, but it’s true,” replied the Tinker.",0.04,0.08,-100.0
13,"ce, he has fainted already!” Thus urged, the dwarf laid down the halberd, and betivcen the two, Auriol was speedily conveyed up a wide oaken staircase to the laboratory.","See, he has fainted already!” Thus urged, the dwarf laid down the halberd, and between the two, Auriol was speedily conveyed up a wide oaken staircase to the laboratory.","ce, he has fainted already!” Thus urged, the dwarf laid down the halberd, and between the two, Auriol was speedily conveyed up a wide oaken staircase to the laboratory.","ce, he has fainted already!” Thus urged, the dwarf laid down the halberd, and between the two, Auriol was speedily conveyed up a wide oaken staircase to the laboratory.",0.011834319526627219,0.011834319526627219,0.0
14,"But, remember, on the seventh night from this I shall require Edith Talbot from you!” “ Where are you, fiend?” demanded <Auriol, gazing around, furiously.","But remember, on the seventh night from this I shall require Edith Talbot from you!” “Where are you, fiend?” demanded Auriol, gazing around furiously.","But, remember, on the seventh night from this I shall require Edith Talbot from you!” “ Where are you, fiend?” demanded <Auriol, gazing around, furiously.","But, remember, on the seventh night from this I shall require Edith Talbot from you!” “Where are you, fiend?” demanded Auriol, gazing around furiously.",0.02666666666666667,0.006666666666666667,75.0
15,"From the ceiling depended a huge scaly sea-monster, with outspread fins, open jaws, garnished with tremendous teeth, and great goggling eyes.","From the ceiling depended a huge scaly sea-monster, with outspread fins, open jaws garnished with tremendous teeth, and great goggling eyes.","From the ceiling depended a huge scaly sea-monster, with outspread fins, open jaws, garnished with tremendous teeth, and great goggling eyes.","From the ceiling depended a huge scaly sea-monster, with outspread fins, open jaws, garnished with tremendous teeth, and great goggling eyes.",0.007142857142857143,0.007142857142857143,0.0
16,"Thorneycroft uttered a loud cry, and, springing to his feet, would have rushed towards her, but he was held back by the two masked attendants, who seized each arm, and detained him by main force.","Thorneycroft uttered a loud cry, and, springing to his feet, would have rushed towards her, but he was held back by the two masked attendants, who seized each arm, and detained him by main force.","Thorneycroft uttered a loud cry, and, springing to his feet, would have rushed towards her, but he was held back by the two masked attendants, who seized each arm, and detained him by main force.","Thorneycroft uttered a loud cry, and, springing to his feet, would have rushed towards her, but he was held back by the two masked attendants, who seized each arm, and detained him by main force.",0.0,0.0,
17,"Thus fixed, they struggled vainly to get free.","Thus fixed, they struggled vainly to get free.","Thus fixed, they struggled vainly to get free.","Thus fixed, they struggled vainly to get free.",0.0,0.0,
18,"It was lighted at intervals by lamps, which emitted a feeble radiance.","It was lighted at intervals by lamps, which emitted a feeble radiance.","It was lighted at intervals by lamps, which emitted a feeble radiance.","It was lighted at intervals by lamps, which emitted a feeble radiance.",0.0,0.0,
19,What a bloodthirsty ruffian you must be!,What a bloodthirsty ruffian you must be!,What a bloodthirsty ruffian you must be!,What a bloodthirsty ruffian you must be!,0.0,0.0,
20,"He then opened the note lying upon the table, and found its contents accorded with what had just been told him.","He then opened the note lying upon the table, and found its contents accorded with what had just been told him.","He then opened the note lying upon the table, and found its contents accorded with what had just been told him.","He then opened the note lying upon the table, and found its contents accorded with what had just been told him.",0.0,0.0,
21,"Next day he reads a report i’ the Zimes noospaper that a man has been taken up for dog-stealin’, and that a lot o’ dogs is shut up in the green-yard behind the police-office in Bow-street.","Next day he reads a report i’ the Times noospaper that a man has been taken up for dog-stealin’, and that a lot o’ dogs is shut up in the green-yard behind the police-office in Bow Street.","Next day he reads a report i’ the Zimes newspaper that a man has been taken up for dog-stealin’, and that a lot o’ dogs is shut up in the green-yard behind the police-office in Bow-street.","Next day he reads a report i’ the Times newspaper that a man has been taken up for dog-stealin’, and that a lot o’ dogs is shut up in the green-yard behind the police-office in Bow Street.",0.026595744680851064,0.010638297872340425,60.00000000000001
22,"‘I've promised to preserve him, and I'll keep my word.” “ Fool!” cried the other.","“I’ve promised to preserve him, and I’ll keep my word.” “Fool!” cried the other.","‘I've promised to preserve him, and I'll keep my word.” “ Fool!” cried the other.","“I’ve promised to preserve him, and I’ll keep my word.” “Fool!” cried the other.",0.05,0.0,100.0
23,"My wife, your ancestress, was a most lovely woman, and so passionately was I enamoured of her, that 1 tried by every art to heighten and preserve her beauty.","My wife, your ancestress, was a most lovely woman, and so passionately was I enamoured of her, that I tried by every art to heighten and preserve her beauty.","My wife, your ancestress, was a most lovely woman, and so passionately was I enamoured of her, that 1 tried by every art to heighten and preserve her beauty.","My wife, your ancestress, was a most lovely woman, and so passionately was I enamoured of her, that I tried by every art to heighten and preserve her beauty.",0.006369426751592357,0.0,100.0
24,"Simpkins, coolly, ‘then your dog’ll be bled to death, as the nobleman’s wos, and thrown down a breathless carkis afore your door.’” “ You don’t mean to say that such a horrid circumstance as that really took place?” cried Thorneycroft, who was much interested in the relation.","Simpkins coolly, ‘then your dog’ll be bled to death, as the nobleman’s wos, and thrown down a breathless carkis afore your door.’” “You don’t mean to say that such a horrid circumstance as that really took place?” cried Thorneycroft, who was much interested in the relation.","Simpkins, coolly, ‘then your dog’ll be bled to death, as the nobleman’s wos, and thrown down a breathless darkie afore your door.’” “ You don’t mean to say that such a horrid circumstance as that really took place?” cried Thorneycroft, who was much interested in the relation.","Simpkins coolly, “then your dog’ll be bled to death, as the nobleman’s wos, and thrown down a breathless darkie afore your door.” “You don’t mean to say that such a horrid circumstance as that really took place?” cried Thorneycroft, who was much interested in the relation.",0.014598540145985401,0.014598540145985401,0.0
25,"Ve sells em to the stewards, stokers, and sailors—cheap—and no questins asked.","Ve sells ’em to the stewards, stokers, and sailors—cheap—and no questins asked.","Ve sells em to the stewards, stokers, and sailors—cheap—and no questions asked.","Ve sells ’em to the stewards, stokers, and sailers—cheap—and no questions asked.",0.02531645569620253,0.02531645569620253,0.0
26,But no matter!,But no matter!,But no matter!,But no matter!,0.0,0.0,
27,"“ Ebba,” said Auriol at length, “I am about to leave your father’s house to-day.” “ Why so soon?” she exclaimed, looking up into his face.","“Ebba,” said Auriol at length, “I am about to leave your father’s house to-day.” “Why so soon?” she exclaimed, looking up into his face.","“ Ebba,” said Auriol at length, “I am about to leave your father’s house to-day.” “ Why so soon?” she exclaimed, looking up into his face.","“Ebba,” said Auriol at length, “I am about to leave your father’s house to-day.” “Why so soon?” she exclaimed, looking up into his face.",0.014705882352941176,0.0,100.0
28,"Perhaps she scarcely desired a solitary stroll; but however this . might be, she was too much engrossed by the reverie to notice a tall man, wrapped in a long black cloak, who regarded her with the most fixed attention, as he passed on the opposite side of the road.","Perhaps she scarcely desired a solitary stroll; but however this might be, she was too much engrossed by the reverie to notice a tall man, wrapped in a long black cloak, who regarded her with the most fixed attention, as he passed on the opposite side of the road.","Perhaps she scarcely desired a solitary stroll; but however this . might be, she was too much engrossed by the reverie to notice a tall man, wrapped in a long black cloak, who regarded her with the most fixed attention, as he passed on the opposite side of the road.","Perhaps she scarcely desired a solitary stroll; but however this might be, she was too much engrossed by the reverie to notice a tall man, wrapped in a long black cloak, who regarded her with the most fixed attention, as he passed on the opposite side of the road.",0.007575757575757576,0.0,100.0
29,“I warned her that to love me would be fatal to her.,“I warned her that to love me would be fatal to her.,“I warned her that to love me would be fatal to her.,“I warned her that to love me would be fatal to her.,0.0,0.0,
30,"Leaving his four-footed attendants with the landlord, with whom he was acquainted, Ginger caused the party to be shown into a private room, and, on entering it, Auriol flung himself into a chair, while the dogfancier stationed himself near the door.","Leaving his four-footed attendants with the landlord, with whom he was acquainted, Ginger caused the party to be shown into a private room, and, on entering it, Auriol flung himself into a chair, while the dog-fancier stationed himself near the door.","Leaving his four-footed attendants with the landlord, with whom he was acquainted, Ginger caused the party to be shown into a private room, and, on entering it, Auriol flung himself into a chair, while the fancier stationed himself near the door.","Leaving his four-footed attendants with the landlord, with whom he was acquainted, Ginger caused the party to be shown into a private room, and, on entering it, Auriol flung himself into a chair, while the fancier stationed himself near the door.",0.016,0.016,0.0
31,"“T fear it’s all over with him,” murmured the gatekeeper; “T shall have a dead body to take to Doctor Lamb.","“I fear it’s all over with him,” murmured the gatekeeper; “I shall have a dead body to take to Doctor Lamb.","“T fear it’s all over with him,” murmured the gatekeeper; “T shall have a dead body to take to Doctor Lamb.","“I fear it’s all over with him,” murmured the gatekeeper; “I shall have a dead body to take to Doctor Lamb.",0.018691588785046728,0.0,100.0
32,Fate has brought me into this house.,Fate has brought me into this house.,Fate has brought me into this house.,Fate has brought me into this house.,0.0,0.0,
33,"Whatever thoughts may arise within me, I will not give utterance to them.","Whatever thoughts may arise within me, I will not give utterance to them.","Whatever thoughts may arise within me, I will not give utterance to them.","Whatever thoughts may arise within me, I will not give utterance to them.",0.0,0.0,
34,“ High wages !—high wages !” screamed the magpie:,“High wages!—high wages!” screamed the magpie.,“ High wages !—high wages !” screamed the magpie:,“High wages!—high ways!” screamed the magpie.,0.08695652173913043,0.043478260869565216,50.0
35,“T have heard Ebba speak of a tall man in a black cloak having some mysterious connexion with Auriol.,“I have heard Ebba speak of a tall man in a black cloak having some mysterious connection with Auriol.,“T have heard Ebba speak of a tall man in a black cloak having some mysterious connexion with Auriol.,“I have heard Ebba speak of a tall man in a black cloak having some mysterious connexion with Auriol.,0.029411764705882353,0.0196078431372549,33.33333333333333
36,"‘ “ You've seen some picters o’ Old Lunnun, and they've haanted you in your dreams, till you've begun to fancy you lived in those times,” said Ginger.","“You’ve seen some picters o’ Old Lunnon, and they’ve haanted you in your dreams, till you’ve begun to fancy you lived in those times,” said Ginger.","‘ “ You've seen some icterus o’ Old Lunnun, and they've haunted you in your dreams, till you've begun to fancy you lived in those times,” said Ginger.","“You’ve seen some icterus o’ Old Lunnun, and they’ve haunted you in your dreams, till you’ve begun to fancy you lived in those times,” said Ginger.",0.06802721088435375,0.027210884353741496,60.0
37,"Only they von’t do it on quite sich easy terms as mine.” The Tinker and the Sandman coughed slightly, to intimate their entire concurrence in Mr.","Only they von’t do it on quite sich easy terms as mine.” The Tinker and the Sandman coughed slightly, to intimate their entire concurrence in Mr.","Only they von’t do it on quite sich easy terms as mine.” The Tinker and the Sandman coughed slightly, to intimate their entire concurrence in Mr.","Only they von’t do it on quite sich easy terms as mine.” The Tinker and the Sandman coughed slightly, to intimate their entire concurrence in Mr.",0.0,0.0,
38,"A fringe of black whisker adorns his cheek and chin, and his black bristly hair is brushed back, so as to exhibit the prodigious expanse of his forehead.","A fringe of black whisker adorns his cheek and chin, and his black bristly hair is brushed back, so as to exhibit the prodigious expanse of his forehead.","A fringe of black whisker adorns his cheek and chin, and his black bristly hair is brushed back, so as to exhibit the prodigious expanse of his forehead.","A fringe of black whisker adorns his cheek and chin, and his black bristly hair is brushed back, so as to exhibit the prodigious expanse of his forehead.",0.0,0.0,
39,"Hoods, like the cowls of monks, were drawn over the heads of these grim and motionless figures; mufflers enveloped their chins, and they wore masks, from the holes of which gleamed eyes of unearthly brightness.","Hoods, like the cowls of monks, were drawn over the heads of these grim and motionless figures; mufflers enveloped their chins, and they wore masks, from the holes of which gleamed eyes of unearthly brightness.","Hoods, like the cowls of monks, were drawn over the heads of these grim and motionless figures; mufflers enveloped their chins, and they wore masks, from the holes of which gleamed eyes of unearthly brightness.","Hoods, like the cowls of monks, were drawn over the heads of these grim and motionless figures; mufflers enveloped their chins, and they wore masks, from the holes of which gleamed eyes of unearthly brightness.",0.0,0.0,
40,"Thorneycroft heard the Tinker and the Sandman take their places near him, but not remarking the voice of Reeks, concluded that he must have got outside.","Thorneycroft heard the Tinker and the Sandman take their places near him, but not remarking the voice of Reeks, concluded that he must have got outside.","Thorneycroft heard the Tinker and the Sandman take their places near him, but not remarking the voice of Reeks, concluded that he must have got outside.","Thorneycroft heard the Tinker and the Sandman take their places near him, but not remarking the voice of Reeks, concluded that he must have got outside.",0.0,0.0,
41,And they beheld the mysterious owner of the black cloak barring their passage out.,And they beheld the mysterious owner of the black cloak barring their passage out.,And they beheld the mysterious owner of the black cloak barring their passage out.,And they beheld the mysterious owner of the black cloak barring their passage out.,0.0,0.0,
42,“I came tu watch over your safety.,“I came to watch over your safety.,“I came tu watch over your safety.,“I came to watch over your safety.,0.029411764705882353,0.0,100.0
43,"My eyes were cast upwards, and I was struck with the malignant aspect of my star.","My eyes were cast upwards, and I was struck with the malignant aspect of my star.","My eyes were cast upwards, and I was struck with the malignant aspect of my star.","My eyes were cast upwards, and I was struck with the malignant aspect of my star.",0.0,0.0,
44,‘ Have you found my daughter?,“Have you found my daughter?,‘ Have you found my daughter?,Have you found my daughter?,0.07142857142857142,0.03571428571428571,50.0
45,"To the young lady, twenty.” “But serpose I buy her for the young lady?” said Aurio}.","To the young lady, twenty.” “But suppose I buy her for the young lady?” said Auriol.","To the young lady, twenty.” “But purpose I buy her for the young lady?” said Aurio}.","To the young lady, twenty.” “But purpose I buy her for the young lady?” said Auriol.",0.03571428571428571,0.023809523809523808,33.33333333333333
46,"His real name was Taylor, but he was known among his companions by the appellation of Ginger.","His real name was Taylor, but he was known among his companions by the appellation of Ginger.","His real name was Taylor, but he was known among his companions by the appellation of Ginger.","His real name was Taylor, but he was known among his companions by the appellation of Ginger.",0.0,0.0,
47,"“ Ay, but it’s a cur’ous story, and I vants my friends to hear it,” said the Tinker, in a coaxing tone.","“Av, but it’s a cur’ous story, and I vants my friends to hear it,” said the Tinker, in a coaxing tone.","“ Ay, but it’s a cur’ous story, and I want my friends to hear it,” said the Tinker, in a coaxing tone.","“Ay, but it’s a cur’ous story, and I want my friends to hear it,” said the Tinker, in a coaxing tone.",0.0392156862745098,0.029411764705882353,25.0
48,"Well, we digged a great pit, secretly, in the cellar, whither the statue had been conveyed, and buried it.","Well, we digged a great pit, secretly, in the cellar, whither the statue had been conveyed, and buried it.","Well, we wigged a great pit, secretly, in the cellar, where the statue had been conveyed, and buried it.","Well, we dug a great pit secretly, in the cellar, where the statue had been conveyed, and buried it.",0.04716981132075472,0.08490566037735849,-79.99999999999997
49,"Trigge is ordinarily seen, consists of a black velvet waistcoat, and tight black continuations.","Trigge is ordinarily seen, consists of a black velvet waistcoat, and tight black continuations.","Trigge is ordinarily seen, consists of a black velvet waistcoat, and tight black continuations.","Trigge is ordinarily seen, consists of a black velvet waistcoat, and tight black continuations.",0.0,0.0,
50,"‘“ He bought her with the money I gave you. I have sold her and myself to perdition !” “ Horror!” exclaimed the old man, falling backwards.","“He bought her with the money I gave you. I have sold her and myself to perdition!” “Horror!” exclaimed the old man, falling backwards.","‘“ He bought her with the money I gave you. I have sold her and myself to perdition !” “ Horror!” exclaimed the old man, falling backwards.","“He bought her with the money I gave you. I have sold her and myself to perdition!” “Horror!” exclaimed the old man, falling backwards.",0.02962962962962963,0.0,100.0
51,"Lingering on its banks, they gazed on the full tide, admired the glorious sunset, and breathed over and over again those tender nothings so eloquent in lovers’ ears.","Lingering on its banks, they gazed on the full tide, admired the glorious sunset, and breathed over and over again those tender nothings so eloquent in lovers’ ears.","Lingering on its banks, they gazed on the full tide, admired the glorious sunset, and breathed over and over again those tender nothings so eloquent in lovers’ ears.","Lingering on its banks, they gazed on the full tide, gazed on the glorious sunset, and breathed over and over again those tender nothings so eloquent in lovers’ ears.",0.0,0.04242424242424243,-inf
52,“ Any address ?” asked the Sandman.,“Any address?” asked the Sandman.,“ Any address ?” asked the Sandman.,“Any address?” asked the Sandman.,0.06060606060606061,0.0,100.0
53,"“ Well, I vote we drive away at once,” said Mr.","“Well, I vote we drive away at once,” said Mr.","“ Well, I vote we drive away at once,” said Mr.","“Well, I vote we drive away at once,” said Mr.",0.021739130434782608,0.0,100.0
54,"Good by, Old Parr,","Good-bye, Old Parr.","Good by, Old Parr,","Good-by, Old Parr.",0.15789473684210525,0.05263157894736842,66.66666666666666
55,"“ That’s unlucky agin,” said the Sandman.","“That’s unlucky agin,” said the Sandman.","“ That’s unlucky agin,” said the Sandman.","“That’s unlucky agin,” said the Sandman.",0.025,0.0,100.0
56,‘« But we can be married before you go?” cried Auriol.,“But we can be married before you go?” cried Auriol.,‘« But we can be married before you go?” cried Auriol.,“But we can be married before you go?” cried Auriol.,0.057692307692307696,0.0,100.0
57,"Thorneycroft ?” “Don't I!—to be sure I do,” cried the iron-merchant, coughing and sneezing.","Thorneycroft?” “Don’t I!—to be sure I do,” cried the iron-merchant, coughing and sneezing.","Thorneycroft ?” “Don't I!—to be sure I do,” cried the iron-merchant, coughing and sneezing.","Thorneycroft?” “Don’t I!—to be sure I do,” cried the iron-merchant, coughing and sneezing.",0.022222222222222223,0.0,100.0
58,"And throwing her hands aloft, she flung herself into the pit.","And throwing her hands aloft, she flung herself into the pit.","And throwing her hands aloft, she flung herself into the pit.","And throwing her hands aloft, she flung herself into the pit.",0.0,0.0,
59,"There's our old deputy here—him as ve calls Old Parr— vy, he declares he lived in Queen Bess’s time, recollects King Charles bein’ beheaded perfectly vell, and remembers the Great Fire o’ London, as if it only occurred yesterday.” “ Walker !” oxclaimed Ginger, putting his finger to his nose.","There’s our old deputy here—him as ve calls Old Parr—vy, he declares he lived in Queen Bess’s time, recollects King Charles bein’ beheaded perfectly vell, and remembers the Great Fire o’ London, as if it only occurred yesterday.” “Walker!” exclaimed Ginger, putting his finger to his nose.","There's our old deputy here—him as ve calls Old Parr— vy, he declares he lived in Queen Bess’s time, recollects King Charles bein’ beheaded perfectly vell, and remembers the Great Fire o’ London, as if it only occurred yesterday.” “ Walker !” exclaimed Ginger, putting his finger to his nose.","There’s our old deputy here—him as ve calls Old Parr—vy, he declares he lived in Queen Bess’s time, recollects King Charles bein’ beheaded perfectly vell, and remembers the Great Fire o’ London, as if it only occurred yesterday.” “Walker!” exclaimed Ginger, putting his finger to his nose.",0.01384083044982699,0.0,100.0
60,"“ Oh, Auriol !” cried Ebba, “I fear for your soul.","“Oh, Auriol!” cried Ebba, “I fear for your soul.","“ Oh, Auriol !” cried Ebba, “I fear for your soul.","“Oh, Auriol!” cried Ebba, “I fear for your soul.",0.041666666666666664,0.0,100.0
61,"The latter was a tall powerfully-built man, wrapped in a rough great-coat, and did not turn round on the iron-merchant’s entrance.","The latter was a tall, powerfully built man, wrapped in a rough greatcoat, and did not turn round on the iron-merchant’s entrance.","The latter was a tall powerfully-built man, wrapped in a rough great-coat, and did not turn round on the iron-merchant’s entrance.","The latter was a tall powerfully-built man, wrapped in a rough greatcoat, and did not turn round on the iron-merchant’s entrance.",0.023076923076923078,0.015384615384615385,33.33333333333333
62,"There’s some vimen as fond o’ dogs as o’ their own childer, and yen ve gets one o’ their precious pets, ve makes ’em ransom it as the brigands you see at the Adelphi or the Surrey sarves their prisoners, threatenin’ to send first an ear, and then a paw, or a tail, and so on.","There’s some vimen as fond o’ dogs as o’ their own childer, and ven ve gets one o’ their precious pets, ve makes ’em ransom it as the brigands you see at the Adelphi or the Surrey sarves their prisoners, threatenin’ to send first an ear, and then a paw, or a tail, and so on.","There’s some limen as fond o’ dogs as o’ their own children, and yen ve gets one o’ their precious pets, ve makes ’em ransom it as the brigands you see at the Adelphi or the Surrey starves their prisoners, threatenin’ to send first an ear, and then a paw, or a tail, and so on.","There’s some limen as fond o’ dogs as o’ their own children, and ven ve gets one o’ their precious pets, ve makes ’em ransom it as the brigands you see at the Adelphi or the Surrey starves their prisoners, threatenin’ to send first an ear, and then a paw, or a tail, and so on.",0.01818181818181818,0.014545454545454545,19.999999999999996
63,"Goto Langhamplace to-morrow, and, as the clock strikes two, you will behold him.’ Without waiting for any reply on my part, he disappeared.” “ Ah, you never told me this, you little rogue !” cried Mr.","Go to Langham Place to-morrow, and, as the clock strikes two, you will behold him.’ Without waiting for any reply on my part, he disappeared.” “Ah, you never told me this, you little rogue!” cried Mr.","Goto Langhamplace to-morrow, and, as the clock strikes two, you will behold him.’ Without waiting for any reply on my part, he disappeared.” “ Ah, you never told me this, you little rogue !” cried Mr.","Go to Langhamplace to-morrow, and, as the clock strikes two, you will behold him.” “Ah, you never told me this, you little rogue!” cried Mr.",0.025,0.305,-1119.9999999999998
64,"At length, the vehicle stopped, and she was lifted out of it, and carried along a winding passage; after which, the creaking of hinges announced that a door was opened.","At length the vehicle stopped, and she was lifted out of it, and carried along a winding passage; after which, the creaking of hinges announced that a door was opened.","At length, the vehicle stopped, and she was lifted out of it, and carried along a winding passage; after which, the creaking of hinges announced that a door was opened.","At length, the vehicle stopped, and she was lifted out of it, and carried along a winding passage; after which, the creaking of hinges announced that a door was opened.",0.005988023952095809,0.005988023952095809,0.0
65,"“ Ha!” exclaimed Auriol, starting.","“Ha!” exclaimed Auriol, starting.","“ Ha!” exclaimed Auriol, starting.","“Ha!” exclaimed Auriol, starting.",0.030303030303030304,0.0,100.0
66,"too true,” replied Thorneycroft, mournfully.","too true,” replied Thorneycroft mournfully.","too true,” replied Thorneycroft, mournfully.","too true,” replied Thorneycroft mournfully.",0.023255813953488372,0.0,100.0
67,"‘ Merciless wretch!” he added, to Rougemont, “ fiend—whatever you are, complete your work of ruin by my destruction.","“Merciless wretch!” he added, to Rougemont, “fiend—whatever you are, complete your work of ruin by my destruction.","‘ Merciless wretch!” he added, to Rougemont, “ fiend—whatever you are, complete your work of ruin by my destruction.","“Merciless wretch!” he added to Rougemont, “fiend—whatever you are, complete your work of ruin by my destruction.",0.02631578947368421,0.008771929824561403,66.66666666666666
68,“ But I will make your mind easy on that score.,“But I will make your mind easy on that score.,“ But I will make your mind easy on that score.,“But I will make your mind easy on that score.,0.021739130434782608,0.0,100.0
69,"“ Yes—yes,” cried Auriol, who fancied he saw a means of escape.","“Yes—yes,” cried Auriol, who fancied he saw a means of escape.","“ Yes—yes,” cried Auriol, who fancied he saw a means of escape.","“Yes—yes,” cried Auriol, who fancied he saw a means of escape.",0.016129032258064516,0.0,100.0
70,"Auriol, it need scarcely be said, was punctual to the hour, or, rather, he anticipated it.","Auriol, it need scarcely be said, was punctual to the hour, or, rather, he anticipated it.","Auriol, it need scarcely be said, was punctual to the hour, or, rather, he anticipated it.","Auriol, it need scarcely be said, was punctual to the hour, or, rather, he anticipated it.",0.0,0.0,
71,“This seems a werry mysterious sort o’ person.,“This seems a werry mysterious sort o’ person.,“This seems a werry mysterious sort o’ person.,“This seems a werry mysterious sort o’ person.,0.0,0.0,
72,"The job occupied us nearly a month; and during that time, my master collected together all the pieces of old brass he could procure.","The job occupied us nearly a month; and during that time, my master collected together all the pieces of old brass he could procure.","The job occupied us nearly a month; and during that time, my master collected together all the pieces of old brass he could procure.","The job occupied us nearly a month; and during that time, my master collected together all the pieces of old brass he could procure.",0.0,0.0,
73,"“ You must engage to obey my orders, without questioning, when we arrive at our destination,” rejoined Reeks.","“You must engage to obey my orders, without questioning, when we arrive at our destination,” rejoined Reeks.","“ You must engage to obey my orders, without questioning, when we arrive at our destination,” rejoined Reeks.","“You must engage to obey my orders, without questioning, when we arrive at our destination,” rejoined Reeks.",0.009259259259259259,0.0,100.0
74,"Unable to bear these accumulated horrors, Auriol became, for a short space, insensible.","Unable to bear these accumulated horrors, Auriol became, for a short space, insensible.","Unable to bear these accumulated horrors, Auriol became, for a short space, insensible.","Unable to bear these accumulated horrors, Auriol became, for a short space, insensible.",0.0,0.0,
75,“ We've come to that long ago.,“We’ve come to that long ago.,“ We've come to that long ago.,“We’ve come to that long ago.,0.06896551724137931,0.0,100.0
