OCR Text,Ground Truth
"eIf you won't beliee what I tcll you, it's useless to give an answer,'' said Old Parr, somewhat gruffly.","“If you won’t believe what I tell you, it’s useless to give an answer,” said Old Parr, somewhat gruffly."
"The lights within the lamp had expired; but the bright moonlight, astreaming throngh tho window, fell upon the rigid features of tha unfortunato alchemist, and on the cabalistic characters of the open volume besido him.","The lights within the lamp had expired; but the bright moonlight, streaming through the window, fell upon the rigid features of the unfortunate alchemist, and on the cabalistic characters of the open volume beside him."
"Who, and what are ye 1'' she cried, wild with terror.","“Who and what are ye?” she cried, wild with terror."
"The wenerable's gone, to be sure; and tho only thing he has left behind im, barrin' lis top-coat, is this here bit o' paper vich lropped out o' the pocket-books as he wos a-takin' flight, and vich I picked from the floor.","“The wenerable’s gone, to be sure; and the only thing he has left behind him, barrin’ his topcoat, is this here bit o’ paper vich dropped out o’ the pocket-book as he wos a-takin’ flight, and vich I picked from the floor."
"Edith murmnred an affirmative, and blushed deeply.","Edith murmured an affirmative, and blushed deeply."
"Pausing for a moment to contemplate the ruin, Ebba expressed a wish to enter it.","Pausing for a moment to contemplate the ruin, Ebba expressed a wish to enter it."
"Oh, vell perduce him in doo time,'' replied the Tinker, cunningly.","“Oh, ve’ll perduce him in doo time,” replied the Tinker cunningly."
"Tho prico is monstrous-preposterous,'' te It msy appear so to yon, sir,'' said Ginger, '"" becauso you're ignerant o' tho wnlly of sich a hanimal; bnt I can tell you, it's cheap--dirt cheap.","“The price is monstrous—preposterous.” “It may appear so to you, sir,” said Ginger, “because you’re ignorant o’ the wally of sich a hanimal; but I can tell you, it’s cheap—dirt cheap."
"Of men, few were isible-the majority being out on business, it is to be presumed; but where a solitary straggler was seen, is sinister looks and mean attire were in perfeet keeping with the spot.","Of men, few were visible—the majority being out on business, it is to be presumed; but where a solitary straggler was seen, his sinister looks and mean attire were in perfect keeping with the spot."
"]Suddenly, Rougemont stopped, and turning over seeral leaves of the book, which were covered with cabalistio characters, appeared in search of some magic formula.","Suddenly, Rougemont stopped, and turning over several leaves of the book, which were covered with cabalistic characters, appeared in search of some magic formula."
In the eyes alone could be discerned the peculiar nnl terrible glimmor which distinguished his own glances.,In the eyes alone could be discerned the peculiar and terrible glimmer which distinguished his own glances.
"Thorneyeroft,'' secreamed Old Parr.","Thorneycroft,” screamed Old Parr."
"Seen by the transient light of the moon, the various objects above enumerated produced a strange effect upon the beholler's imagination.","Seen by the transient light of the moon, the various objects above enumerated produced a strange effect upon the beholder’s imagination."
"The iron-merchant expected his bandage would now be removed, but he was mistaken, for Reeks, taking his arm, drew him along at a quick pace.","The iron-merchant expected his bandage would now be removed, but he was mistaken, for Reeks, taking his arm, drew him along at a quick pace."
"Degonel'' cried the doctor, so fioreoel that tho dwarf darted out of the room, clapping tha door after him.","“Begone!” cried the doctor, so fiercely that the dwarf darted out of the room, clapping the door after him."
It msy be o' some nso to us.,It may be o’ some use to us.
"I want no society-above all, not yours.","“I want no society—above all, not yours."
"4I thought you too knowin' a cove, Tinker, to be gulled by such an old-ife'a story as that.'' Let's have the old ftellow in and talk to him,'' replied the Tinker.","“I thought you too knowin’ a cove, Tinker, to be gulled by such an old vife’s story as that.” “Let’s have the old fellow in and talk to him,” replied the Tinker."
"Bring him along.'' And, followed by the attendants, who dragged Mr.","Bring him along.” And, followed by the attendants, who dragged Mr."
"A fringe of black whisker adorns is cheek and chin, and his black bristly hair is brushel baek, so as to exhibit the prodigious expansc of his forelead.","A fringe of black whisker adorns his cheek and chin, and his black bristly hair is brushed back, so as to exhibit the prodigious expanse of his forehead."
"Deliver up Auriol and this gentleman at onee, or---'' And he levelled tho pistols at him.","Deliver up Auriol and this gentleman at once, or——” And he levelled the pistols at him."
ha1,ha!
"Bnt let us go and examine the sculpture on the pedestal ]more closely.'' xith this, he crossed oer the rond; and, taking off his hat, thrnst his head through the iron railing surrounding the pedestal, while Morse, in order to point out the beanties of the sculptnre with greater convenience, mounted upon a stump beside him.","But let us go and examine the sculpture on the pedestal more closely.” With this he crossed over the road; and, taking off his hat, thrust his head through the iron railing surrounding the pedestal, while Morse, in order to point out the beauties of the sculpture with greater convenience, mounted upon a stump beside him."
"` Hal-my invocntion has been heard I And, snatching up thc lantern, he discorered, at tho bottom of a little recess, about two feet deep, a stone, with nsn iron ring in the centre of it.","“Ha!—my invocation has been heard!” And, snatching up the lantern, he discovered, at the bottom of a little recess, about two feet deep, a stone, with an iron ring in the centre of it."
"Bince the night of the compset, Auriol had neither seen Iougemont, nor heard from him, and ho negleeted no precaution to prevent his intrusion.","Since the night of the compact, Auriol had neither seen Rougemont, nor heard from him, and he neglected no precaution to prevent his intrusion."
Trigge as to his future distinetion.,Trigge as to his future distinction.
"Te feels onr vay with the sarvrents, and finds out from them the walley the master or missis sets on te dog, and soon after that the animals gone.","Ve feels our vay with the sarvents, and finds out from them the walley the master or missis sets on the dog, and soon after that the animal’s gone."
"Of course,'' replied the stranger.","“Of course,” replied the stranger."
"Talbot, regarding him fixedly.","Talbot, regarding him fixedly."
"Theso were speedily joined by a street-seeper, rather yong in the profession, a ticketporter, a butcher's apprcntice, an oll Israelitish clothes-man, a coalheaver, and a couple of charity-boys.","These were speedily joined by a street-sweeper, rather young in the profession, a ticket-porter, a butcher’s apprentice, an old Israelitish clothes-man, a coalheaver, and a couple of charity-boys."
"But now, sir, that e fairly nunderstands each otlcr, are ou agreeable to our terms?","“But now, sir, that ve fairly understands each other, are you agreeable to our terms?"
"tI hao cormitted no crime that can place me within the power of the Fiend,'' cried Ebbs, falling upon her knees.","“I have committed no crime that can place me within the power of the Fiend,” cried Ebba, falling upon her knees."
"4 I wonld not for the world ask a disagreeable question,'' said Ebba, again raising her eyes, ``but since you are about to quit us, I must confess I should like to know something of your history.'' AUIO. Forgive me if I decline to comply with your desire,'' replied Auriol.","“I would not for the world ask a disagreeable question,” said Ebba, again raising her eyes, “but since you are about to quit us, I must confess I should like to know something of your history.” “Forgive me if I decline to comply with your desire,” replied Auriol."
"Ve're not werry partic'lar ourselves, but ve don't commit murder wholesale.'' e Ve don't commit murder at all,'' said Ginger.","Ve’re not werry partic’lar ourselves, but ve don’t commit murder wholesale.” “Ve don’t commit murder at all,” said Ginger."
"My ancestor'a wondrous power was of infernnl origin-the result, in fact, of a compact with the Prince of Darkness.","My ancestor’s wondrous power was of infernal origin—the result, in fact, of a compact with the Prince of Darkness."
"Before he could reach the dwarf, the littlo fellow was iarried off.","Before he could reach the dwarf, the little fellow was carried off."
"n 2 3ADRIoO. Mmongst others, it was said that he possessed a familiar, because he chanced to employ a deformod, eraek-brained dwarf, who assisted him in his operations, and wlom he appopriately enongh denominated Flapdragon.","Amongst others, it was said that he possessed a familiar, because he chanced to employ a deformed, crack-brained dwarf, who assisted him in his operations, and whom he appropriately enough denominated Flapdragon."
"But for me, nothing can harm me.'' 2Don't bo too suro of that,'' cried a oice aboo them.","But for me, nothing can harm me.” “Don’t be too sure of that,” cried a voice above them."
"The elder individual, who did not appear to notice the confasion of either party, immediately extended his hand to the young man, and exclaimed: What:","The elder individual, who did not appear to notice the confusion of either party, immediately extended his hand to the young man, and exclaimed: “What!"
"It wns closed; and venting his disappointment in a scream, the dwrf sesrched for the handle, but could not find it.","It was closed; and venting his disappointment in a scream, the dwarf searched for the handle, but could not find it."
"He may do me a mischief.'' e I have no such intention, sir,'' ssid Anriol; indeed I have not.","He may do me a mischief.” “I have no such intention, sir,” said Auriol; “indeed I have not."
"Yon hae taken it upon an empty stomach-that is all,'' said Rougemout.","“You have taken it upon an empty stomach—that is all,” said Rougemont."
"Can it bo he that has gone off with her 1'' e Yon hao hit tho trath,'' replied Auriol.","Can it be he that has gone off with her?” “You have hit the truth,” replied Auriol."
"Simpkins, coolly, `then your dg'l1 be bledto death, as the nobleman's wos, and thrown down a breathless carkis afore yonr door.''"" You don't mean to say that such a horrid circumstanee as that really took plac2'' cried Thorneyeroft, who was mnch interested in the relation.","Simpkins coolly, ‘then your dog’ll be bled to death, as the nobleman’s wos, and thrown down a breathless carkis afore your door.’” “You don’t mean to say that such a horrid circumstance as that really took place?” cried Thorneycroft, who was much interested in the relation."
"take care, sir, as Judge Learmouth observes to a saucy witness,'' cried ITrigge--' ` take care, or 'll commit yon I e D-n Judge Learmouth f cried the gentleman, angrily.","take care, sir, as Judge Learmouth observes to a saucy witness,” cried Trigge—”‘take care, or I’ll commit you!’” “D—n Judge Learmouth!” cried the gentleman angrily."
"He seems a-valkin' in his sleep,'' mnttered the Sandman.","“He seems a-valkin’ in his sleep,” muttered the Sandman."
"Thorneycroft, the watchmen carried the ounded man across the road towards a small house, the door of which was held open by a female scrrant, with a andle in her hand.","Thorneycroft, the watchmen carried the wounded man across the road towards a small house, the door of which was held open by a female servant, with a candle in her hand."
"Beyond this point, the stnirease branchoed off on tho right, and a row of stount wooden banisters, ranged like the feet of so many cattle, was visible from beneath.","Beyond this point the staircase branched off on the right, and a row of stout wooden banisters, ranged like the feet of so many cattle, was visible from beneath."
"Look np, and youll soa him,'' replied the other.","“Look up, and you’ll see him,” replied the other."
"The aspect of the whole place was so dismal and suspicious, that it was generally aoided by passengers after nightfiall.","The aspect of the whole place was so dismal and suspicious, that it was generally avoided by passengers after nightfall."
"But come, let's go down stairs.","But come, let’s go down-stairs."
"I will see her no more,'' And instead of returning to the honse, he hurried away in the opposite direction of the stranger.","I will see her no more.” And instead of returning to the house, he hurried away in the opposite direction of the stranger."
"There also was Doctos Lntb, in his loose gown of sablo silk, with a squaro black casp upon his enerable head, and his snowy beard streaming to his girdle.","There also was Doctor Lamb, in his loose gown of sable silk, with a square black cap upon his venerable head, and his snowy beard streaming to his girdle."
"By him-no,'' said the dwarf; I hae not seen that gentleman for nearly three eentnries.'' Three centaries, my little patriareh 7'' said the man who had given him the brandy.","“By him—no,” said the dwarf; “I have not seen that gentleman for nearly three centuries.” “Three centuries, my little patriarch?” said the man who had given him the brandy."
I next lookel round to see whether the precious olixir was gone.,I next looked round to see whether the precious elixir was gone.
"He is ery tall and ery thin, and holds himself so upright that ha loses not an inch of his statnre.","He is very tall and very thin, and holds himself so upright that he loses not an inch of his stature."
"Iam in no mood to bear them,'' I am not jesting,'' rejoined Rougemont.","“I am in no mood to bear them.” “I am not jesting,” rejoined Rougemont."
"wot's that7'' cried the Tinker; ' I thought I heerd a noise,'' te So did I,'' rejoined tho Sandman; `'a strange sart o' rumblin' sound overheal.'' e There it goes again l'' criod Ginger; ` wot an awful din 1 e Now it'a underneath,'' said Mr.","wot’s that?” cried the Tinker; “I thought I heerd a noise.” “So did I,” rejoined the Sandman; “a strange sort o’ rumblin’ sound overhead.” “There it goes again!” cried Ginger; “wot an awful din!” “Now it’s underneath,” said Mr."
"I was terribly frightened, but something prevented me from crying out.","I was terribly frightened, but something prevented me from crying out."
"Thorneyeroft to the coaech, and ass soon as the latter got into it, tied a handkerehief tightly oer his eyes.","Thorneycroft to the coach, and as soon as the latter got into it, tied a handkerchief tightly over his eyes."
But you need not concern yourself more about them.,But you need not concern yourself more about them.
"MInsie nnd singing were henrd at eery coruer, and bnnds of comly damsels, escorted by their sweethearts, went Irom house to honse, bearing tage brown bowls dressed with ribands and rosemary, and filled with a drink called ``lamb's-wool,'' composed of sturdy ale, smeetenel with sugar, spiced with nutmeg, and haing toasts and burt erabs floating within it,-a dranght from which seldom brought its pretty bcarers less than a groat, and occasionally a more valuable eoin.","Music and singing were heard at every corner, and bands of comely damsels, escorted by their sweethearts, went from house to house, bearing huge brown bowls dressed with ribands and rosemary, and filled with a drink called “lamb’s-wool,” composed of sturdy ale, sweetened with sugar, spiced with nutmeg, and having toasts and burnt crabs floating within it—a draught from which seldom brought its pretty bearers less than a groat, and occasionally a more valuable coin."
Arrahl,“Arrah!
"They put us up to it themselvcs; theyll ssy, 4Ie jist left my Lord So-and-So's, and there 1 seed a conple o' the finest pointers I erer clapped eyeson.","They put us up to it themselves; they’ll say, ‘I’ve jist left my Lord So-and-So’s, and there I seed a couple o’ the finest pointers I ever clapped eyes on."
"Ginger, seeing they ere engaged, sauntered towards the card-table, attended by his fonr-footed compnnions.","Ginger, seeing they were engaged, sauntered towards the card-table, attended by his four-footed companions."
"A vague presentiment of AURIOL. ooming ill smote her, and she dreaded lest the mysterious heing before her migt be connected in some inexplicable","A vague presentiment of coming ill smote her, and she dreaded lest the mysterious being before her might be connected in some inexplicable way with her future destiny."
"' Let's hear wot] he's a-sayin','' Why havre you brought me here1'' cried the yong man, in a oice so hollow that it thrilled his anditors.","“Let’s hear wot he’s a-sayin’.” “Why have you brought me here?” cried the young man, in a voice so hollow that it thrilled his auditors."
The yonng man pressed his lips ferrently to the little hand extended to him.,The young man pressed his lips fervently to the little hand extended to him.
"ITd scorn to tuke ndwnntage o' the likes o' you.'' I hope you lidn't give too much, ten, friend,'' replil E.","I’d scorn to take adwantage o’ the likes o’ you.” “I hope you didn’t give too much, then, friend,” replied Ebba."
"ITo already gien yon an explanation,'' replied the dwarf.","“I’ve already given you an explanation,” replied the dwarf."
"`Halloa, Sandy, did you shut the door arter yon 7'' Not I,' replied the other; ``open it.'' Easily said,'' rejoined the Tinker, `` but not querite so easily done.","“Halloa, Sandy, did you shut the door arter you?” “Not I,” replied the other; “open it.” “Easily said,” rejoined the Tinker, “but not quevite so easily done."
"I wish to have a word with you.'' Ebba stopped, and the bloom suddenly forsook ler cheeks.","“I wish to have a word with you.” Ebba stopped, and the bloom suddenly forsook her cheeks."
"It was a positire relief to escape from this hotbed of crime to the world without, and breathe a purer atmosphere.","It was a positive relief to escape from this hotbed of crime to the world without, and breathe a purer atmosphere."
"But Rougemont's astonishmont at this marvel quickly gave way to other feelings, and he gazed around tle vault with greedy eyes.","But Rougemont’s astonishment at this marvel quickly gave way to other feelings, and he gazed around the vault with greedy eyes."
"4 You must keep eomposed, or I dare not take yon to my master,'' e Pardon me,'' replied Ariol; `I ment not to alsrm yo. Where is the person who brought me hither 2 What, your keeper 2'' said tha dwarf.","“You must keep composed, or I dare not take you to my master.” “Pardon me,” replied Auriol; “I meant not to alarm you. Where is the person who brought me hither?” “What, your keeper?” said the dwarf."
"Why, we thouglt we had lost you, sir1","Why, we thought we had lost you, sir!"
"Ie looked ronnd with astonishment and dread, but could see no one.","He looked round with astonishment and dread, but could see no one."
I have only just managed to shake off the stone'' At this speech there was a titter of incredulity among the bystanders.,I have only just managed to shake off the stone.” At this speech there was a titter of incredulity among the bystanders.
"Ihe same glimmer aleo ran like a silver bel T across the stream, and reealed the great, stern, fortresslIike pile of the Penitentiary-perhaps the most dismallooking structure in tho whole metropolis.","The same glimmer also ran like a silver belt across the stream, and revealed the great, stern, fortress-like pile of the Penitentiary—perhaps the most dismal-looking structure in the whole metropolis."
"You will sce her no more.'' And, stretching out his hand, the curtains slowly de-] scended, and shronded the figure from view.","You will see her no more.” And, stretching out his hand, the curtains slowly descended, and shrouded the figure from view."
"At length, howeer, he chanced upon one page, the import of which he comprehendel, and he remained for some tie absorbod in its contemplation, while an almost fiendish smile played upon his featnres.","At length, however, he chanced upon one page the import of which he comprehended, and he remained for some time absorbed in its contemplation, while an almost fiendish smile played upon his features."
"By this means we shall avoid being followed by the rascal.'' Bo saying, he got into the cosch.","By this means we shall avoid being followed by the rascal.” So saying, he got into the coach."
Allow me to present yon with it'' snid Auriol.,“Allow me to present you with it?” said Auriol.
"e Well, then, I close with you. Here's the money,'' said Auriol, taking out his purse","“Well, then, I close with you. Here’s the money,” said Auriol, taking out his purse."
I purpose to relieve your distress.'' 4 Will you give me back the money you have won from me1'' cried Auriol.,“I purpose to relieve your distress.” “Will you give me back the money you have won from me?” cried Auriol.
"Tho thoronghfares ADRIOL. were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread.","The thoroughfares were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread."
"Well, I obey.","Well, I obey."
"Ihe ale I drank at the ITo Fighting Cocks' has made me feel drawsy, Tinker,'' he remarked, stretching himsolf on the bulk; Il1 just take a snooze.","“The ale I drank at the ‘Two Fighting Cocks’ has made me feel drowsy, Tinker,” he remarked, stretching himself on the bulk; “I’ll just take a snooze."
"But what a precious donkey he must lbe to register his crimes i' that way.'' He didn't expect the poeket-book to fuall into our hands,'' said the Tinker.","But what a precious donkey he must be to register his crimes i’ that way.” “He didn’t expect the pocket-book to fall into our hands,” said the Tinker."
"Arond it, were as ram's horn, a pair of forceps, a roll of parchment, a pestle anl mortar, and a large plato of copper, graen with the mysterious smbols of the Isaicnl table.","Around it were a ram’s horn, a pair of forceps, a roll of parchment, a pestle and mortar, and a large plate of copper, graven with the mysterious symbols of the Isaical table."
"Ihne a brace of pistols in my poeket,'' replied Thorneycroft.","“I have a brace of pistols in my pocket,” replied Thorneycroft."
"The gourd-shaped cucnurbites wero transformed into great bloated tonds bursting with venom; tle longnecked bolt-heade became monstrous serpents; the wormlike pipes turned into adders; the alembics looked like plumed helmets; the characters on the Isaical table, and those on the parchments, scemel traced in fire, and to be over changing; the sa-monster bellowed and roarced, and, flapping his fins, tried to burst irom lis look; the skeletons wagged their jas, and raised their fleshless fingers in mockery, while blue lights burnt in their eyeless soekets; the bellows became a prodigious bat fanning the fire with its wings; and the old alchemist assumed the appearance of the arch-fiend presiding over a witcles' sabbath.","The gourd-shaped cucurbites were transformed into great bloated toads bursting with venom; the long-necked bolt-heads became monstrous serpents; the worm-like pipes turned into adders; the alembics looked like plumed helmets; the characters on the Isaical table, and those on the parchments, seemed traced in fire, and to be ever changing; the sea-monster bellowed and roared, and, flapping his fins, tried to burst from his hook; the skeletons wagged their jaws, and raised their fleshless fingers in mockery, while blue lights burnt in their eyeless sockets; the bellows became a prodigious bat fanning the fire with its wings; and the old alchemist assumed the appearance of the archfiend presiding over a witches’ sabbath."
"Ioods, like tha cowls of monks, were drawn oer the heads of these grim and motionless figures; mufflers enroloped their chins, and they wore masks, from the holes of which gleamed eyes of unearthly brightness.","Hoods, like the cowls of monks, were drawn over the heads of these grim and motionless figures; mufflers enveloped their chins, and they wore masks, from the holes of which gleamed eyes of unearthly brightness."
"One more questin, and Tve done,'' pnrsued tha Tinker.","“One more questin, and I’ve done,” pursued the Tinker."
