id,Ground Truth,OCR Text,CER
30,"Having accomplished his object, the mysterious plunderer thrust his spoil into a leathern bag with which he was provided, tied its mouth, and was about to take his departure by means of a rope-ladder attached to the battlements, when his retreat was suddenly cut off by the gatekeeper, armed with a halberd, and bearing a lantern, who issued from a door opening upon the leads.","Having accomplished his olject, the mysterious plunlerer thrust his spoil into a leathern bag with hich he was provided, tied its mouth, and was about to take his departur by means of a rope-ladder attached to the battlements, when his retreat was suldenly cut off by the gutekeeper, armed with a halberd, and bearing a lantern, ho issued from a door opening upon the lcads.",0.021220159151193633
31,"The baffled marauder looked round, and remarking the open window at which Doctor Lamb was stationed, hurled the sack and its contents through it.","The baffled marauder looked round, and remarking the open winlow at which bDoctor Lnmb was stationed, hurledl the sacek and its contents tlrough it.",0.04054054054054054
32,"He then tried to gain the ladder, but was intercepted by the gatekeeper, who dealt him a severe blow on the head with his halberd.","IIo then triodl to gain the ladder, but was intercepted by the gntckceper, who dealt him n svere blow on the head with his halberd.",0.07575757575757576
33,"The plunderer uttered a loud cry, and attempted to draw his sword; but before he could do so, he received a thrust in the side from his opponent.","Tho plunderer uttered a loud cry, and attempted to draw his sword; but before he could do so, hoe received a thrust in the side from his opponent.",0.0136986301369863
34,"He then fell, and the gatekeeper would have repeated the blow, if the doctor had not called to him to desist.","Ho thon fell, and the gatekeeper wonld hare repeated the blow, if tho doctor had not called to him to desist.",0.045871559633027525
35,"“Do not kill him, good Baldred,” he cried.","Do not kill him, good Baldred,'' he eried.",0.09302325581395349
36,“The attempt may not be so criminal as it appears.,Th attempt may not be so criminal as it appears.,0.04
37,"Doubtless, the mutilated remains which the poor wretch has attempted to carry off are those of his kindred, and horror at their exposure must have led him to commit the offence.” “It may be, doctor,” replied Baldred; “and if so I shall be sorry I have hurt him.","Doubtless, the mntilatel remains which tho poor wretch has attempted to cnrry off, are those of his kindred, and horror at their exposure must have led him to commit tho offence.'' It may be, doetor,'' replied Baldred; `` and if so I shall bo sorry I hare hurt him.",0.06390977443609022
38,"But I am responsible for the safe custody of these traitorous relics, and it is as much as my own head is worth to permit their removal.” “I know it,” replied Doctor Lamb; “and you are fully justified in what you have done.","Bnut I am responsible for tho snfe custody of tlese traitorous relics, and it is as much as my own hend is worth to permit their remoal.'' I know it,'' replied Doctor Lamb; ``and you are fully justified in what you have done.",0.05726872246696035
39,"It may throw some light upon the matter, to know whose miserable remains have been disturbed.” “They were the heads of two rank papists,” replied Baldred, “who were decapitated on Tower Hill, on Saint Nicholas’s Day, three weeks ago, for conspiring against the queen.” “But their names?” demanded the doctor.","It may throw some light npon the matter, to know whose miserable remains ha been disturbel.'' They were tho heads of two rank papists,'' replied Bualdred, who were deeapitatel on ower Hill, on Saint Nicholas's day, three weeks ago, for conspiring against tha qucen.'' e But their names?'' demanded the doctor.",0.07961783439490445
40,"“How were they called?” “They were father and son,” replied Baldred—“Sir Simon Darcy and Master Reginald Darcy.","How were they called 7'' They wero father and son,'' replied Baldred ;-: Sir Simon Darey and Master Reginald Darey.",0.13675213675213677
41,"Perchance they were known to your worship?” “Too well—too well!” replied Doctor Lamb, in a voice of emotion that startled his hearer.","Perchanea tey were known to your worship 7'' e Too well-too well 1'' repliel Doctor Lamb, in a voice of emotion, that startled his hcarcr.",0.12857142857142856
42,“They were near kinsmen of mine own.,They were near kinsmen of mineown.,0.05555555555555555
43,"What is he like who has made this strange attempt?” “Of a verity, a fair youth,” replied Baldred, holding down the lantern.","Wht is he lilo wlo has mado tlis strange attempt '' Of a rerity, a fair youth,'' rcplie1 Daldrcd, lolding down the lantern.",0.144
44,“Heaven grant I have not wounded him to the death!,Ieaen grant I lao not wounded im to the death1,0.16
45,"No, his heart still beats.","No, his heart still bcats.",0.038461538461538464
46,Ha!,IIa1,0.75
47,"here are his tablets,” he added, taking a small book from his doublet; “these may give the information you seek.","hera ar his tablets,'' ho adled, taking a small book from his loublet; `' these may gie tho information you seek.",0.10434782608695652
48,"You were right in your conjecture, doctor.","Yon wero right in your conjccture, doctor.",0.07142857142857142
49,"The name herein inscribed is the same as that borne by the others—Auriol Darcy.” “I see it all,” cried Lamb.","Tho namo herein inscribed is the same as that torne by tho others-Auriol Darey.'' I sce it all,'' cried Lamb.",0.10909090909090909
50,“It was a pious and praiseworthy deed.,It was a pious and praiseworthy deed.,0.02631578947368421
51,"Bring the unfortunate youth to my dwelling, Baldred, and you shall be well rewarded.","DBring the unfortunate youth to my dwelling, Daldred, and you shall be well rcwardel.",0.047058823529411764
52,"Use despatch, I pray you.” As the gatekeeper essayed to comply, the wounded man groaned deeply, as if in great pain.","Use despatch, I pray you.'' As the gatekceper essayed to coply, the wonnded man groanel deeply, as if in great pain.",0.05128205128205128
53,"“Fling me the weapon with which you smote him,” cried Doctor Lamb, in accents of commiseration, “and I will anoint it with the powder of sympathy.","Fling me the wcapon with which you smoto lim,'' ericd Doctor Lamb, in accents of commiseration, `'`and I ill anoint it ith the powder of sympathy.",0.087248322147651
54,"His anguish will be speedily abated.” “I know your worship can accomplish wonders,” cried Baldred, throwing the halberd into the balcony.","IIis anguish ill be spcelily abated.'' eI kow your worship can accomplish onlers,'' oried aldred, tlrowing the halberd into the baleony.",0.12142857142857143
55,"“I will do my part as gently as I can.” And as the alchemist took up the weapon, and disappeared through the window, the gatekeeper lifted the wounded man by the shoulders, and conveyed him down a narrow, winding staircase to a lower chamber.","I ill do my part as gently as I can.'' And as tle alclemnist taok up the weapon, and disappeared thirough the window, the gatekceper liftel tho wounded man by te shoulders, and conveyed him down a narrow winding staircase to a lower chambcr.",0.061224489795918366
56,"Though he proceeded carefully, the sufferer was put to excruciating pain; and when Baldred placed him on a wooden bench, and held a lamp towards him, he perceived that his features were darkened and distorted.","Though ho proccedd carefully, the sufferer was put to excraciating pain; nnl when Daldred placed him en a wooden bench, and held a lsmp towards him, he perceied that his features wera darkened and distorted.",0.05263157894736842
57,"“I fear it’s all over with him,” murmured the gatekeeper; “I shall have a dead body to take to Doctor Lamb.","I fenr it's all over with lim,'' mnrmured the gatekeeper; eI hall hae a dead body to take to Doctor Lamb.",0.09259259259259259
58,"It would be a charity to knock him on the head, rather than let him suffer thus.","It wonld bo a charity to knoek him on the head, rather thn let him suffer thus.",0.05
59,"The doctor passes for a cunning man, but if he can cure this poor youth without seeing him, by the help of his sympathetic ointment, I shall begin to believe, what some folks avouch, that he has relations with the devil.” While Baldred was ruminating in this manner, a sudden and extraordinary change took place in the sufferer.","Tho doctor passes for a cunning ma, but if he cnn cure this poor youth without sceing him, by tho help of his sympathetic ointment, I shall begin to believe, what some folks aouch, that he has relations with the levil.' Whilo Baldred was rnminating in this manner, a sndden and cxtraorlinary change took place in tho suflerer.",0.04573170731707317
60,"As if by magic, the contraction of the muscles subsided; the features assumed a wholesome hue, and the respiration was no longer laborious.","As if by mngic, the contraction of tho muscles subsided; the features assumed n wholesome hue, and the rcspiration was no longer laborious.",0.02877697841726619
61,Baldred stared as if a miracle had been wrought.,Daldred stared as if a miracle had been wronght.,0.041666666666666664
62,"Now that the countenance of the youth had regained its original expression, the gatekeeper could not help being struck by its extreme beauty.","Now that the countenance of tho yonth had regained its original expression, the gatekeeper could not help being struek hy its extreme beanty.",0.03546099290780142
63,"The face was a perfect oval, with regular and delicate features.","The fuce was a pcrfect oal, with regular and delicate featurces.",0.06153846153846154
64,"A short silken moustache covered the upper lip, which was short and proud, and a pointed beard terminated the chin.","A short silken moustache covered the uppcr lip, which was short and prul, and a pointedl bearl terminated the chin.",0.04310344827586207
65,"The hair was black, glossy, and cut short, so as to disclose a highly intellectual expanse of brow.","The hair was blacl, glossy, and cut short, so as to lisclose a highly intellectnal cxpanse of brow.",0.04040404040404041
66,"The youth’s figure was slight, but admirably proportioned.","Tho youtl's figure was slight, but atmirably proportioned.",0.06896551724137931
67,"His attire consisted of a black satin doublet, slashed with white, hose of black silk, and a short velvet mantle.","His attire consisted of a blaek satin doublet, slashed with white, hose of black silk, and a slort velet mantle.",0.02654867256637168
68,"His eyes were still closed, and it was difficult to say what effect they might give to the face when they lighted it up; but notwithstanding its beauty, it was impossible not to admit that a strange, sinister, and almost demoniacal expression pervaded the countenance.","His eyes were still closed, and it was difficult to say what effect they might gie to the face when they lighted it np; but AU10L. notwithstanding its beauty, it was impossible not to admit that a strange, sinister, and almost demoniacal expression peraded the conntenance.",0.04
69,"All at once, and with as much suddenness as his cure had been effected, the young man started, uttering a piercing cry, and placed his hand to his side.","All at once, and with nas much suddenness as his cure had bcen effected, the young man started, uttering a pierciug ery, and placed his hand to his sido.",0.032679738562091505
70,"“Caitiff!” he cried, fixing his blazing eyes on the gatekeeper, “why do you torture me thus?","Citif1' he cried, fixing his blazing eyes on the gatekeeper, `` why do you torture me thus?",0.0851063829787234
71,"Finish me at once—Oh!” And overcome by anguish, he sank back again.","Finish me at onco -Oh' And overeome by anguish, he sank back again.",0.08823529411764706
72,"“I have not touched you, sir,” replied Baldred.","I hasve not touched yon, sir,'' replied Baldred.",0.10204081632653061
73,“I brought you here to succour you. You will be easier anon.,e1 brought you here to succour you. You will be easier anon.,0.03333333333333333
74,"Doctor Lamb must have wiped the halberd,” he added to himself.","Doctor Lmb must have wiped the hallerd,'' he added to limself.",0.07936507936507936
75,Another sudden change.,Another sudden change.,0.0
76,"The pain fled from the sufferer’s countenance, and he became easy as before.","Tho pain led from the sufferer's countenance, and he became easy ae before.",0.05263157894736842
77,"“What have you done to me?” he asked, with a look of gratitude; “the torture of my wound has suddenly ceased, and I feel as if a balm had been dropped into it.","What hao you done to me1'' ho asked, with a look of gratitudo; ` tlo torture of my wound has suddenly ceased, and I feel ass if a bnlm had been dropped into it.",0.08641975308641975
78,"Let me remain in this state if you have any pity—or despatch me, for my late agony was almost insupportable.” “You are cared for by one who has greater skill than any chirurgeon in London,” replied Baldred.","Let me remain in this state if you have any pity-or despatch me, for my late ngony was almost insupportable,'' You are cnred for by one who hns greater skill than any chirurgeon in London,'' replied Buldred.",0.052884615384615384
79,"“If I can manage to transport you to his lodgings, he will speedily heal your wounds.” “Do not delay, then,” replied Auriol faintly; “for though I am free from pain, I feel that my life is ebbing fast away.” “Press this handkerchief to your side, and lean on me,” said Baldred.","If I cnn manage to transport you to his lodgings, he will speelily heal your wounds.'' e Do not delay, then,'' repliel Ariol, fsintly; fo though I am free from pain, I feel that my life is ebbing fast away.'' e Press this hnndkerchief to your side, nnd lean on mo,' said Buldred.",0.08480565371024736
80,"“Doctor Lamb’s dwelling is but a step from the gateway—in fact, the first house on the bridge.","Doctor Lamb's dwelling is but a step from the gateway-in fact, the first house on the bridge.",0.031914893617021274
81,"By the way, the doctor declares he is your kinsman.” “It is the first I ever heard of him,” replied Auriol faintly; “but take me to him quickly, or it will be too late.” In another moment they were at the doctor’s door.","By tho wuy, the doctor declares he is your kinsman,'' It is the first I ever heard of lim,' replied Auriol, fuintly; ""but take me to him quickly, or it will bo too late'' In another moment they were at the doetor's door.",0.07239819004524888
82,"Baldred tapped against it, and the summons was instantly answered by a diminutive personage, clad in a jerkin of coarse grey serge, and having a leathern apron tied round his waist.","Baldred tapped against it, and tho summons was instantly aswered by a diminutive personage, clad in a jerkin of coarse grey serge, and having a leathern apron ticd round his waist.",0.016574585635359115
83,This was Flapdragon.,This was Flapdragon.,0.0
84,"Blear-eyed, smoke-begrimed, lantern-jawed, the poor dwarf seemed as if his whole life had been spent over the furnace.","Blear-eyed, smoke- begrimel, lantern-javed, the poor dwarf seemed as if his whole life had been spent over the furnace.",0.025210084033613446
85,"And so, in fact, it had been.","And so, in fact, it had been.",0.0
86,He had become little better than a pair of human bellows.,He had become little better than a pair of human bellows.,0.0
87,In his hand he held the halberd with which Auriol had been wounded.,In his hand he hcld the halberd with which Auriol had been wounded.,0.014925373134328358
88,"“So you have been playing the leech, Flapdragon, eh?” cried Baldred.","So you hae been plasying the lcech, Flapdragon, eh7'' cried Baldred.",0.1
89,"“Ay, marry have I,” replied the dwarf, with a wild grin, and displaying a wolfish set of teeth.","Ay, marry laro I,'' replied the dwarl, with a wild grin, nd displaying na wolfish set of teeth.",0.09278350515463918
90,“My master ordered me to smear the halberd with the sympathetic ointment.,' My master ordered me to smear the halberd with the sympathetic oiutment.,0.04054054054054054
91,"I obeyed him: rubbed the steel point, first on one side, then on the other; next wiped it; and then smeared it again.” “Whereby you put the patient to exquisite pain,” replied Baldred; “but help me to transport him to the laboratory.” “I know not if the doctor will care to be disturbed,” said Flapdragon.","I obeyed him; rubbed the steel point, first on one side, then on the other; next wiped it; and then smearedl it again.'' Whereby you put the patient to exquisite pain,'' replied Baldred; ` but help me to transport him to the laboratory.'' eI know not if thoe doctor will care to be disturbod,'' said Flapdragon.",0.05128205128205128
92,"“He is busily engaged on a grand operation.” “I will take the risk on myself,” said Baldred.","Ho is busily engaged on a grand operation.'' I will tako the risk on myself,'' said Baldred.",0.0851063829787234
93,“The youth will die if he remains here.,Tha youth ill die if le remains here.,0.10256410256410256
94,"See, he has fainted already!” Thus urged, the dwarf laid down the halberd, and between the two, Auriol was speedily conveyed up a wide oaken staircase to the laboratory.","Sce, he las fainted alrealy I'' Thus urged, the dwarf laid down tho halberd, and botween the to, Aunriol was speedily conveyed up a wide oaken staircase to the laboratory.",0.06395348837209303
95,"Doctor Lamb was plying the bellows at the furnace, on which a large alembic was placed, and he was so engrossed by his task that he scarcely noticed the entrance of the others.","Doctor Lamb was plying the bellows at tha furnace, on wlich a large alembic was placel, and he was so engrossel by his task, that le scnrccly noticed the entrance of the others.",0.04519774011299435
96,"“Place the youth on the ground, and rear his head against the chair,” he cried, hastily, to the dwarf.","laeoe the youth on the ground, and rear his head aginst the chair,'' he eried, hastily, to thoe dwarf.",0.08571428571428572
97,“Bathe his brows with the decoction in that crucible.,Batha his brows with the decoction in that crucible.,0.03773584905660377
98,I will attend to him anon.,I will attend to him anon.,0.0
99,"Come to me on the morrow, Baldred, and I will repay thee for thy trouble.","Come to me on the morrow, Ballred, and I ill repay thee for thy trouble.",0.0273972602739726
100,"I am busy now.” “These relics, doctor,” cried the gatekeeper, glancing at the bag, which was lying on the ground, and from which a bald head protruded—“I ought to take them back with me.” “Heed them not—they will be safe in my keeping,” cried Doctor Lamb impatiently; “to-morrow—to-morrow.” Casting a furtive glance round the laboratory, and shrugging his shoulders, Baldred departed; and Flapdragon having bathed the sufferer’s temples with the decoction, in obedience to his master’s injunctions, turned to inquire what he should do next.","I am busy now.'' Theso relics, doctor,'' criedi the gatekeeer, glancing at the bag, which was lying on the ground, and from wiich a bald head protruded-I ought to take them back with me.'' IIeed them not-they will be snfe in my kceping,'' cried Doctor Lamb, impaticntly; `` to-morrow-to-morrow.'' Casting a furtire glance round the laboratory, anl shrugging his slonllers, Baldrel departed; and FInpdragon laing bathed tho sufferer's temples with the decoction, in obelience to his mastcr's injunctions, turned to inquirs wht he should do next.",0.08196721311475409
101,"“Begone!” cried the doctor, so fiercely that the dwarf darted out of the room, clapping the door after him.","Degonel'' cried the doctor, so fioreoel that tho dwarf darted out of the room, clapping tha door after him.",0.10091743119266056
102,"Doctor Lamb then applied himself to his task with renewed ardour, and in a few seconds became wholly insensible of the presence of a stranger.","Doctor Lamb then applied himsolf to his task with reneved ardour, and in a few seconds became wlolly inscnsible of the presence of a stranger.",0.028169014084507043
103,"Revived by the stimulant, Auriol presently opened his eyes, and gazing round the room, thought he must be dreaming, so strange and fantastical did all appear.","n. AD. Revied by the stimulant, Anriol presently opened his eyes, and gazing round the room, tlought he must be dreaming, so strange and fantastical did all appear.",0.06060606060606061
104,"The floor was covered with the implements used by the adept—bolt-heads, crucibles, cucurbites, and retorts, scattered about without any attempt at arrangement.","The floor was coered with the implements nsed by the adeptbolt-heads, crucibles, cucnrbites, and retorts, scattered abont without any attempt at arrangement.",0.031446540880503145
105,"In one corner was a large terrestrial sphere: near it was an astrolabe, and near that a heap of disused glass vessels.",In one corner was a large terrestrial sphere; near it was an astrolabe; and nenar that a heap of disused glass essels.,0.03361344537815126
106,"On the other side lay a black, mysterious-looking book, fastened with brazen clasps.","On the other sile, lay s black, mysterions-looking book, fastened with brazen clasps.",0.047058823529411764
107,"Around it were a ram’s horn, a pair of forceps, a roll of parchment, a pestle and mortar, and a large plate of copper, graven with the mysterious symbols of the Isaical table.","Arond it, were as ram's horn, a pair of forceps, a roll of parchment, a pestle anl mortar, and a large plato of copper, graen with the mysterious smbols of the Isaicnl table.",0.05084745762711865
108,"Near this was the leathern bag containing the two decapitated heads, one of which had burst forth.","Nenr this was the leathern bag containing the two decapitated heals, one of which hal burst forth.",0.030612244897959183
109,"On a table at the farther end of the room, stood a large open volume, with parchment leaves, covered with cabalistical characters, referring to the names of spirits.","On a table, at the farther end of tle room, stood n large open volume, with parchment leaves, covered with cabalistical characters, refcrring to the names of spirits.",0.024096385542168676
110,"Near it were two parchment scrolls, written in letters, respectively denominated by the Chaldaic sages, “the Malachim,” and “the Passing of the River.” One of these scrolls was kept in its place by a skull.","Ncnar it were two parchment scrolls, wvritten in letters, respectively denominated by the Challaie sages, '` the Malachim,'' and ` the Passing of the River.'' One of these scrolls was kept in its plaee by a skull.",0.07042253521126761
111,"An ancient and grotesque-looking brass lamp, with two snake-headed burners, lighted the room.","An ancient and grotesquc-looking brass lamp, with two snake-healed burners, lighted th room.",0.03225806451612903
112,"From the ceiling depended a huge scaly sea-monster, with outspread fins, open jaws garnished with tremendous teeth, and great goggling eyes.","From the eciling depended a huge scaly sea-monster, with outspreal fins, open jaws, garnishel with tremendous teeth, and great goggling eyes.",0.035211267605633804
113,Near it hung a celestial sphere.,Near it hung a celestial sphere.,0.0
114,"The chimney-piece, which was curiously carved, and projected far into the room, was laden with various implements of hermetic science.","The chimney-piece, which was curiously cared, and projected far inlo the room, mas laden with various implements of Hermetie science.",0.03731343283582089
115,"Above it were hung dried bats and flitter-mice, interspersed with the skulls of birds and apes.","Aboe it were hung dried bats and flitter-mice, interspersed with the sklls of birds AUHIOL. and apes.",0.0970873786407767
116,"Attached to the chimney-piece was a horary, sculptured in stone, near which hung a large starfish.","Attached to the chimney-piece was a horary, sculptured in stone, near which hung a large stsr-fish.",0.020202020202020204
117,"The fireplace was occupied by the furnace, on which, as has been stated, was placed an alembic, communicating by means of a long serpentine pipe with a receiver.","Tua fireplace was oceupied by thoe furnace, on which, as has been stated, was placed an alembic, communicating by means of a long serpentine pipe with a receier.",0.030864197530864196
118,"Within the room were two skeletons, one of which, placed behind a curtain in the deep embrasure of the window, where its polished bones glistened in the white moonlight, had a horrible effect.","Within the room were two skeletons, one of which, placed behind a curtain in the deep embrasure of the window, where its polished bones glistened in the whito moonlight, had a horriblo effect.",0.010416666666666666
119,"The other enjoyed more comfortable quarters near the chimney, its fleshless feet dangling down in the smoke arising from the furnace.","The other enjoyed more comfortalle quarters near the chimney, its leshless feet dangling down in the smoka arising from the furnace.",0.022556390977443608
120,"Doctor Lamb, meanwhile, steadily pursued his task, though he ever and anon paused, to fling certain roots and drugs upon the charcoal.","Doctor Lamb, meanwhile, steadily pursned his task, though he ever and anon paused, to fling certain roots and drugs upon the clarcoal.",0.014925373134328358
121,"As he did this, various-coloured flames broke forth—now blue, now green, now blood-red.","As he did this, various-coloured flames broke forth-now blue, now green, now blood-red.",0.011494252873563218
122,"Tinged by these fires, the different objects in the chamber seemed to take other forms, and to become instinct with animation.","Tiuged by these fires, the diflerent objects in the chamber seemed to take othoer forms, and to become instinct with animation.",0.023622047244094488
