Unnamed: 0,Ground Truth,OCR Text,Lexical Correction,Old Model Correction,New Model Correction
17,She asked if her father had got away.,She asked if her father had got away.,She asked if her father had got away.,She asked if her father had got away.,She asked if her father had got away.
18,"Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloakroom.","Prisoner replied, "" No,"" and told her she had better pack up her luggage andl get away from the house at once, and leaye her luggage in the cloaki- roanI.","Prisoner replied, "" No,"" and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloaki- roans.","Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloak-room.","Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloaks."
19,"He said, “You know where Weiner lives.","le said,"" You know where Weiner lives,","le said,"" You know where Weiner lives,","le said, “You know where Weiner lives?","le said, “You know where Weiner lives?"
20,"You must go down to him and tell him to assist you Witness packed up her luggage and took it to Waterloo Station, and afterwards went to Adolphs Weiner’s house.","You nmut go down to him and tell him to assist you. \WitneFs packed up her luggage and took it to Wettrino Station, and afterwards wont to AdoOlphe WAeiner's house,","You must go down to him and tell him to assist you. \WitneFs packed up her luggage and took it to Wettrino Station, and afterwards wont to AdoOlphe WAeiner's house,","You may go down to him and tell him to assist you.” With this she packed up her luggage and took it to Wettrino Station, and afterwards went to Adolphus Whitehouse’s house.","You must go down to him and tell him to assist you.” With this she packed up her luggage and took it to Wettrino Station, and afterwards went to Adolphus Whitehouse’s house."
21,She packed the luggage and sent it to Waterloo Station the same day.,She packed the luggage and scont 't to Waiterloo Station the saime day.,She packed the luggage and wasn 't to Waiterloo Station the same day.,She packed the luggage and scont ’t to Waiterloo Station the next day.,She packed the luggage and wasn’t to Waiterloo Station the same day.
22,"She then went to 6, Dyer’s Buildings and saw Adolphe Weinger.","She then wer t to C, Dyer's Buildings, and saw Adolphe Weiner.","She then wer t to C, Dyer's Buildings, and saw Adolphe Weiner.","She then went to C, Dyer’s Buildings, and saw Adolphe Weiner.","She then went to C, Dyer’s Buildings, and saw Adolphe Weiner."
23,Directly he saw her he said “For God’s sake go away!,"Directly he saw her ho said, ""For God's sake go awa: ;<y I","Directly he saw her ho said, ""For God's sake go away: ;<y I","Directly he saw her he said, “For God’s sake go awa!——!","Directly he saw her he said, “For God’s sake go away!”"
24,"I will meet you in Castle-street.” She went there, where he shortly joined her, and took her to a wine shop in Chancery lane.","I will meet you iri CLstle-etreet,"" She went ther!, wlhore he shortly joined her, and took her to a r.ina shop hi Chaneery-laus.","I will meet you ire CLstle-etreet,"" She went ther!, whores he shortly joined her, and took her to a rkina shop hi Chaneery-laus.","I will meet you in the street.” She went down, and he shortly joined her, and took her to a shop near Chancery Lane.","I will meet you at the corner of Broadway.” She went there, and he shortly joined her, and took her to a rakina shop at Chancery Lane."
25,"Witness said, “You have got my father into this trouble, and I shall expect you to get him out of it.” He denied at first that he knew anything about it.","Witness raid, "" You have got my father into this trouble, and I sh^all ex- pect you to get him out of it."" He denied at first that he knew anything aboat it.","Witness raid, "" You have got my father into this trouble, and I shall ex- expect you to get him out of it."" He denied at first that he knew anything about it.","Witness raid, “You have got my father into this trouble, and I shall expose you to get him out of it.” He denied at first that he knew anything about it.","Witness raid, “You have got my father into this trouble, and I shall expect you to get him out of it.” He denied at first that he knew anything about it."
26,She told him that her father had told her about the affair from the beginning.,"She told him that her father had told her about the aifair fromn the beginning,","She told him that her father had told her about the affair from the beginning,",She told him that her father had told her about the air from the beginning.,She told him that her father had told her about the affair from the beginning.
27,He said that all he did was to get her father a situation.,"Hee said that all he did was to get her father a situation,","Hee said that all he did was to get her father a situation,",He said that all he did was to get her father a situation.,He said that all he did was to get her father a situation.
28,"She said she know that was false, and that he spent her father to Mr. Tabak, first he had said he would not assist her at all, and then he gave her 5s., and said he would give her that every week until she got employment.","She said she henew that was false, and that he sent her father to MIr. Tabak. First he said he would not assist her at all, and Sthen he gave hfr 5s3., and said he would give h)er that every xv.ek until she got employment.","She said she renew that was false, and that he sent her father to MIr. Tabak. First he said he would not assist her at all, and Sthen he gave her 5s3., and said he would give her that every xvlek until she got employment.","She said she knew that was false, and that he sent her father to Mr. Tabak. First he said he would not assist her at all, and then he gave her five shillings, and said she would give him that every week until she got employment.","She said she knew that was false, and that he sent her father to Mr. Tabak. First he said he would not assist her at all, and then he gave her five shillings, and said she would give her that every week until she got employment."
29,"He said whatever she did she must not come near Dyer’s Buildings, because he was watched.","I-Ie -aid whatever she did sho rnust 1!0t come near Dyers- Bnildigi, because le, wa, watched.","I-Ie -aid whatever she did sho rust 1!0t come near Dyers- Bnildigi, because le, wa, watched.","I—Ie—aid whatever she did should be avoided!” But she could not come near Darcy, because he was watched.","I—Ie —aid whatever she did sho rust!” But she could not come near Darcy, because he was watched."
30,"The she went to Jacoby’s house, but he was not at home. She saw him, however, on the following Friday at his place in the Edgware-road.","Then zlihe went to Jacoby's house, but he was not at hozae. She Sdw Hisll, hoeveoer, on the following Fri'av at hmis place in the Edgware road.","Then she went to Jacoby's house, but he was not at home. She Sdw Hisll, hoeveoer, on the following Fri'av at his place in the Edgware road.","Then she went to Jacoby’s house, but he was not at home. She went to his house, however, on the following Friday, at her place in the Edgware Road.","Then she went to Jacoby’s house, but he was not at home. She visited William, however, on the following Friday, at his place in the Edgware Road."
31,He said he did not know they were going to strike him.,He baid he (ii not know they were going to strike him.,He said he (ii not know they were going to strike him.,He had he (ii not know they were going to strike him.,He said he did not know they were going to strike him.
32,Witness told him he must take the money for her father’s maintenance in the House of Detention.,Witness toid h1mr lie mnst takre t'he money for her fathber's m sin- teusence in the House of Detention.,Witness told h1mr lie most take t'he money for her fathber's m sin- tenpence in the House of Detention.,Witness to her own lie must take the money for her father’s sinec in the House of Detention.,Witness told him that she would take the money for her father’s m sin—tenpence in the House of Detention.
33,"He promised to do so, and met witness the next night in Aylesbury-street, Clerkenwell.","HEo promn.isedl to do -o, and met bwitn ss the urox'; night in Av.e: i- bnvsty:r eeet, C e l; euweli.","HEo promswised to do -o, and met with ss the prox'; night in Av.: i- busty:r beet, C e l; seseli.","He went out to do something, and met up with the others, and spent the rest of the night in Av.","He therefore promised to do so, and met with the latter that night in Av.: “Busty:r beet, C e l; seseli."
34,"She gave him 10s, for her father.",She gave h;.r l0 3s. fer he; fa-her.,She gave h;.r l0 3s. fer he; fa-her.,She gave him her hand; and he kissed her.,She gave him her hand; and he kissed her.
35,"On the following Monday she was to meet the elder Weiner, who promised to give her £2 12s.","On the following Monday she waS to mnet. hse elcer Wesiner, who promaised to give her f2 12;.","On the following Monday she waS to meet. sse ulcer Wesiner, who promised to give her f2 12;.","On the following Monday she was summoned to Mr. Wesiner, who promised to give her a present.","On the following Monday she was to meet Mr. Sewell, who promised to give her some relief."
36,for the rent then due by her father.,for th. rent then due by her fether.,for th. rent then due by her father.,for the rent then due by her father.,for the rent then due by her father.
37,"Weiner did not turn up, but subsequently she saw Jacoby, who gave her £3 to pay the rent.","Weiner did not turn up, bat subs-.cquently -he saw Jacisby, who ,,ave hez �X2' to pay the rent.","Weiner did not turn up, bat subs-.cquently -he saw Jacisby, who ,,ave he �X2' to pay the rent.","Weiner did not turn up, but suddenly—quite suddenly—he saw Jacisby, who had come ‘X2’ to pay the rent.","Weiner did not turn up, but suddenly—quently—he saw Jacisby, who had he ‘X2’ to pay the rent."
38,He told her no’s to go to Weiner’s place at all.,Ho told her no0 to go to i NATehier's place at all.,Ho told her no0 to go to i NATehier's place at all.,He told her no need to go to Mr. Thorneycroft’s place at all.,He told her no need to go to Mr. Thorneycroft’s place at all.
39,"He promised to meet her at the Marble Arch the following Wednesday, but by the advice of Palmer and his wife she did not go.","He promiged to ml;eet h..r at the ll urlle Arch the following Woedesd ay, but by the II[ls'ice of PAeher and his wife she did not gc","He promised to mlbeet h... at the ll tulle Arch the following Woedesd ay, but by the II[ls'ice of PAeher and his wife she did not gc","He proposed to meet her at the Great Arch the following week, but by the intervention of Mr. Peel and his wife she did not appear.","He promised to meet her at the Tulle Arch the following day, but by the intercession of Pegher and his wife she did not appear."
40,"On March 25th, after seeing Palmer, she went to the house of his mother-in-law.","On Marclh ui5th, after 8ecmiJPalrner, she weat to the hounon of his mother-in-law.","On Marclh ui5th, after 8ecmiJPalrner, she went to the gounod of his mother-in-law.","On March 5th, after eight months with Palmer, she came to the house of his mother-in-law.","On March 5th, after 8pm, she went to the house of his mother-in-law."
41,He came in and sent for his wife.,He came in and scnt for bis wife.,He came in and scnt for bis wife.,He came in and looked for his wife.,He came in and looked for his wife.
42,"They took witness to their house, and sent for her luggage from Waterloo.","They took witness to their house, aod. sent for her luggage from Waterloo.","They took witness to their house, sod. sent for her luggage from Waterloo.","They took witness to their house, and Mr. sent for her luggage from Waterloo.","They took witness to their house, and sent for her luggage from Waterloo."
43,She remained in the house for nine weeks.,She remained in the house for nine weeks.,She remained in the house for nine weeks.,She remained in the house for nine weeks.,She remained in the house for nine weeks.
44,"Witness knew the whole of the prisoners, who were in the habit of coming to the house of witness’s father.","Witness kolemw the whole of the prisoners, who were in the hohit of coming to the house of witness's fathor.","Witness solemn the whole of the prisoners, who were in the habit of coming to the house of witness's father.","Witness counted the whole of the prisoners, who were in the hope of coming to the house of witness’s father.","Witness solemn the whole of the prisoners, who were in the habit of coming to the house of witness’s father."
45,Three weeks after Christmas Jacoby called at their house with a bottle of chloroform.,Three weesle aftr Christ- inas Jacoby oalleu at their Is11us Vith a bsottle of chlorotorme,Three wesley after Christ- kings Jacoby called at their Is11us Vith a bottle of chloroforms,Three centuries after Christ—as Jacoby observed at their feast—vith a bustle of chlorotorms.,"Three centuries after Christ— kings Jacoby and Elizabeth, called at their house with a bottle of chloroforms."
46, They tried it on the kitten.,", Toney tried it on the hitten,",", Toney tried it on the kitten,","“Toney tried it on the hen,",Toney tried it on the kitten.
47,On a subsequent occasion the elder Weiner took a rabbit to the house and witness was ordered out of the room.,"On o. sub- se(luent c asiva time -lder Waeiner took a), rabbit to the houQse aud wiitness was orderod out of the room.","On o. sub- sefluent c siva time -lder Waeiner took a), rabbit to the house aud witness was ordered out of the room.","On o.S.’ day—fleet time—lder Waeiner took a rabbit to the house, where he was ordered out of the room.",On o. siva time Elder Waeiner took a rabbit to the house and the witness was ordered out of the room.
48,"When she returned the windows were open, and there was a strong smell of chloroform im the room.","When she returned the windows were open, ernd there vyae a strong smell of chloroform il thu XrDom.","When she returned the windows were open, and there was a strong smell of chloroform il thus XrDom.","When she returned the windows were open, and there was a strong smell of chloroform about the house.","When she returned the windows were open, and there was a strong smell of chloroform throughout the house."
49,She believed they had tried it on the rabbit.,She bLeIeved they had tried it on ths ralsdt.,She believed they had tried it on the aalst.,She beheld they had tried it on the raldt.,She believed they had tried it on the angel.
50,"The accused, who protested their innocence, were remanded.","T!ie accused, v; ho proctstea t-heir innocence. were reminded.","Tlie accused, v; ho proctored t-heir innocence. were reminded.","The accused, however, proved his innocence. were reminded.","The accused, however, proved his innocence. were reminded."
