Ground Truth,OCR Text,CER,Model Correction,old_CER,new_CER,CER_reduction
"Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloakroom.","Prisoner replied, "" No,"" and told her she had better pack up her luggage andl get away from the house at once, and leaye her luggage in the cloaki- roanI.",0.0714285714285714,"Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloak-room.",0.07432432432432433,0.006756756756756757,90.9090909090909
"He said, “You know where Weiner lives.","le said,"" You know where Weiner lives,",0.1025641025641025,"le said, “You know where Weiner lives?",0.10526315789473684,0.05263157894736842,50.0
"You must go down to him and tell him to assist you Witness packed up her luggage and took it to Waterloo Station, and afterwards went to Adolphs Weiner’s house.","You nmut go down to him and tell him to assist you. \WitneFs packed up her luggage and took it to Wettrino Station, and afterwards wont to AdoOlphe WAeiner's house,",0.0909090909090909,"You may go down to him and tell him to assist you.” With this she packed up her luggage and took it to Wettrino Station, and afterwards went to Adolphus Whitehouse’s house.",0.09375,0.15625,-66.66666666666666
She packed the luggage and sent it to Waterloo Station the same day.,She packed the luggage and scont 't to Waiterloo Station the saime day.,0.0704225352112676,She packed the luggage and scont ’t to Waiterloo Station the next day.,0.07352941176470588,0.11764705882352941,-60.0
"She then went to 6, Dyer’s Buildings and saw Adolphe Weinger.","She then wer t to C, Dyer's Buildings, and saw Adolphe Weiner.",0.0952380952380952,"She then went to C, Dyer’s Buildings, and saw Adolphe Weiner.",0.09836065573770492,0.04918032786885246,50.0
Directly he saw her he said “For God’s sake go away!,"Directly he saw her ho said, ""For God's sake go awa: ;<y I",0.1724137931034483,"Directly he saw her he said, “For God’s sake go awa!——!",0.19230769230769232,0.07692307692307693,60.0
"I will meet you in Castle-street.” She went there, where he shortly joined her, and took her to a wine shop in Chancery lane.","I will meet you iri CLstle-etreet,"" She went ther!, wlhore he shortly joined her, and took her to a r.ina shop hi Chaneery-laus.",0.1395348837209302,"I will meet you in the street.” She went down, and he shortly joined her, and took her to a shop near Chancery Lane.",0.144,0.2,-38.88888888888891
"Witness said, “You have got my father into this trouble, and I shall expect you to get him out of it.” He denied at first that he knew anything about it.","Witness raid, "" You have got my father into this trouble, and I sh^all ex- pect you to get him out of it."" He denied at first that he knew anything aboat it.",0.0509554140127388,"Witness raid, “You have got my father into this trouble, and I shall expose you to get him out of it.” He denied at first that he knew anything about it.",0.05228758169934641,0.026143790849673203,50.0
She told him that her father had told her about the affair from the beginning.,"She told him that her father had told her about the aifair fromn the beginning,",0.0379746835443038,She told him that her father had told her about the air from the beginning.,0.038461538461538464,0.038461538461538464,0.0
He said that all he did was to get her father a situation.,"Hee said that all he did was to get her father a situation,",0.0338983050847457,He said that all he did was to get her father a situation.,0.034482758620689655,0.0,100.0
"She said she know that was false, and that he spent her father to Mr. Tabak, first he had said he would not assist her at all, and then he gave her 5s., and said he would give her that every week until she got employment.","She said she henew that was false, and that he sent her father to MIr. Tabak. First he said he would not assist her at all, and Sthen he gave hfr 5s3., and said he would give h)er that every xv.ek until she got employment.",0.079295154185022,"She said she knew that was false, and that he sent her father to Mr. Tabak. First he said he would not assist her at all, and then he gave her five shillings, and said she would give him that every week until she got employment.",0.08144796380090498,0.1085972850678733,-33.33333333333333
"He said whatever she did she must not come near Dyer’s Buildings, because he was watched.","I-Ie -aid whatever she did sho rnust 1!0t come near Dyers- Bnildigi, because le, wa, watched.",0.1894736842105263,"I—Ie—aid whatever she did should be avoided!” But she could not come near Darcy, because he was watched.",0.20224719101123595,0.5168539325842697,-155.55555555555557
"The she went to Jacoby’s house, but he was not at home. She saw him, however, on the following Friday at his place in the Edgware-road.","Then zlihe went to Jacoby's house, but he was not at hozae. She Sdw Hisll, hoeveoer, on the following Fri'av at hmis place in the Edgware road.",0.1388888888888889,"Then she went to Jacoby’s house, but he was not at home. She went to his house, however, on the following Friday, at her place in the Edgware Road.",0.14814814814814814,0.14814814814814814,0.0
He said he did not know they were going to strike him.,He baid he (ii not know they were going to strike him.,0.0555555555555555,He had he (ii not know they were going to strike him.,0.05555555555555555,0.07407407407407407,-33.33333333333333
Witness told him he must take the money for her father’s maintenance in the House of Detention.,Witness toid h1mr lie mnst takre t'he money for her fathber's m sin- teusence in the House of Detention.,0.1634615384615384,Witness to her own lie must take the money for her father’s sinec in the House of Detention.,0.17894736842105263,0.16842105263157894,5.882352941176474
"He promised to do so, and met witness the next night in Aylesbury-street, Clerkenwell.","HEo promn.isedl to do -o, and met bwitn ss the urox'; night in Av.e: i- bnvsty:r eeet, C e l; euweli.",0.3398058252427184,"He went out to do something, and met up with the others, and spent the rest of the night in Av.",0.3953488372093023,0.7093023255813954,-79.41176470588238
"She gave him 10s, for her father.",She gave h;.r l0 3s. fer he; fa-her.,0.2777777777777778,She gave him her hand; and he kissed her.,0.30303030303030304,0.6060606060606061,-100.0
"On the following Monday she was to meet the elder Weiner, who promised to give her £2 12s.","On the following Monday she waS to mnet. hse elcer Wesiner, who promaised to give her f2 12;.",0.1063829787234042,"On the following Monday she was summoned to Mr. Wesiner, who promised to give her a present.",0.1111111111111111,0.24444444444444444,-120.0
for the rent then due by her father.,for th. rent then due by her fether.,0.0555555555555555,for the rent then due by her father.,0.05555555555555555,0.0,100.0
"Weiner did not turn up, but subsequently she saw Jacoby, who gave her £3 to pay the rent.","Weiner did not turn up, bat subs-.cquently -he saw Jacisby, who ,,ave hez �X2' to pay the rent.",0.1473684210526315,"Weiner did not turn up, but suddenly—quite suddenly—he saw Jacisby, who had come ‘X2’ to pay the rent.",0.15730337078651685,0.33707865168539325,-114.28571428571428
He told her no’s to go to Weiner’s place at all.,Ho told her no0 to go to i NATehier's place at all.,0.2075471698113207,He told her no need to go to Mr. Thorneycroft’s place at all.,0.22916666666666666,0.375,-63.63636363636365
"He promised to meet her at the Marble Arch the following Wednesday, but by the advice of Palmer and his wife she did not go.","He promiged to ml;eet h..r at the ll urlle Arch the following Woedesd ay, but by the II[ls'ice of PAeher and his wife she did not gc",0.1791044776119403,"He proposed to meet her at the Great Arch the following week, but by the intervention of Mr. Peel and his wife she did not appear.",0.1935483870967742,0.29838709677419356,-54.16666666666667
"On March 25th, after seeing Palmer, she went to the house of his mother-in-law.","On Marclh ui5th, after 8ecmiJPalrner, she weat to the hounon of his mother-in-law.",0.1785714285714285,"On March 5th, after eight months with Palmer, she came to the house of his mother-in-law.",0.189873417721519,0.25316455696202533,-33.33333333333333
He came in and sent for his wife.,He came in and scnt for bis wife.,0.0606060606060606,He came in and looked for his wife.,0.06060606060606061,0.18181818181818182,-200.0
"They took witness to their house, and sent for her luggage from Waterloo.","They took witness to their house, aod. sent for her luggage from Waterloo.",0.027027027027027,"They took witness to their house, and Mr. sent for her luggage from Waterloo.",0.0273972602739726,0.0547945205479452,-100.0
She remained in the house for nine weeks.,She remained in the house for nine weeks.,0.0,She remained in the house for nine weeks.,0.0,0.0,
"Witness knew the whole of the prisoners, who were in the habit of coming to the house of witness’s father.","Witness kolemw the whole of the prisoners, who were in the hohit of coming to the house of witness's fathor.",0.0648148148148148,"Witness counted the whole of the prisoners, who were in the hope of coming to the house of witness’s father.",0.0660377358490566,0.08490566037735849,-28.571428571428566
Three weeks after Christmas Jacoby called at their house with a bottle of chloroform.,Three weesle aftr Christ- inas Jacoby oalleu at their Is11us Vith a bsottle of chlorotorme,0.2043010752688172,Three centuries after Christ—as Jacoby observed at their feast—vith a bustle of chlorotorms.,0.2235294117647059,0.2823529411764706,-26.315789473684205
 They tried it on the kitten.,", Toney tried it on the hitten,",0.1612903225806451,"“Toney tried it on the hen,",0.1724137931034483,0.27586206896551724,-59.999999999999986
On a subsequent occasion the elder Weiner took a rabbit to the house and witness was ordered out of the room.,"On o. sub- se(luent c asiva time -lder Waeiner took a), rabbit to the houQse aud wiitness was orderod out of the room.",0.1680672268907563,"On o.S.’ day—fleet time—lder Waeiner took a rabbit to the house, where he was ordered out of the room.",0.1834862385321101,0.3302752293577982,-80.0
"When she returned the windows were open, and there was a strong smell of chloroform im the room.","When she returned the windows were open, ernd there vyae a strong smell of chloroform il thu XrDom.",0.0909090909090909,"When she returned the windows were open, and there was a strong smell of chloroform about the house.",0.09375,0.09375,0.0
She believed they had tried it on the rabbit.,She bLeIeved they had tried it on ths ralsdt.,0.1521739130434782,She beheld they had tried it on the raldt.,0.15555555555555556,0.15555555555555556,0.0
"The accused, who protested their innocence, were remanded.","T!ie accused, v; ho proctstea t-heir innocence. were reminded.",0.1746031746031746,"The accused, however, proved his innocence. were reminded.",0.1896551724137931,0.27586206896551724,-45.45454545454546
