Contexte gauche,Chaîne,Contexte droit
"mes,'' s@id Ginger. ",“,"Very l@kely,'' repli"
", somewhat gruffly. ",“,"Oh yes, T believo @o"
does tho Sandman.'' ,“,"well, then,'' replie"
" replied tho dwarf, ",“,ITll tell yonu low i
@@@@@@@@@@@@@@@n@@@ ,“,"That's hard,'' rejoi"
poke to the others. ,“,I@To already gi@en y
 replied the dwarf. ,“,"Ay, but it's s cur'o"
in a coaxsing tone. ,“,"Well then, to obligo"
rejoined the dwart. ,“,You must know I was 
-not halehemists.'' ,“,Doetor Lamb's object
drunk the elixir.'' ,“,Ah :-ah lI'' exclaim
cqual significance. ,“,As soon as he was go
" pursued the dwarf, ",“,I flew to the labora
o strange places.'' ,“,Exactly the case wit
ker to the Sandman. ,“,"Have you erer, in th"
AND AND THE OLOAK.@ ,“,Do yon happen to rek
' asked tho Tinker. ,“,"Perhaps I might,'' r"
returned the dwarf; ,“,but I can't say.'' e
n extreme surprise. ,“,I heard Doctor Lamb 
nce at his friends. ,“,How do yon come to k
'' cried tho dwarf@ ,“,"One more questin, an"
o come across hi 7' ,“,"No doubt of it,'' re"
ore mo in dreams.'' ,“,Shall ve let him int
ions in a low tone. ,“,"Ay-ay,'' replied the"
his heai dubiously. ,“,Tlere's no hurry.'' 
'' ssid the Tinker. ,“,Jist exsamine them p
"vanishoed entirely, ",“,My eyesl here's a pr
than le expected.'' ,“,"D@oil or not, I'll h"
 every countenance. ,“,WVhat tho desil can 
 as look of dismay. ,“,"Ay, that's tho quest"
n a faney to him.'' ,“,I only saw a hand an
' cried the waiter; ,“,and I'm quito suro I
heir wilest extent. ,“,It's as strango affa
"landlord, gravrely. ",“,It's certain that no
ly for the night.'' ,“,"Vell, all's over @it"
" too, I'm afeerd.'' ",“,Don't sny die jist y
'' rejoined Ginger. ,“,The wenerable's gone
eft arm in a sling. ,“,"Yon look agitated,''"
 Ebba's nneasiness. ,“,What has happened ' 
What has happened ' ,“,"Not much,'' she rcpl"
"on near the gate,'' ",“,Indeed?'' cried Auri
ing him cautiously. ,“,HaI' c@ied Auriol. :
Ias he been here 1' ,“,Then you know the pe
 2'' demanded Ebba. ,“,He is a messenger of
nkful he is gone.'' ,“,Are yon qaite sure o
"ast,'' she replied. ",“,My futher must be do
own by this time.'' ,“,Stay:'' cried Auriol
s through tle door. ,“,I wish to have a wor
 for a few moments. ,“,"Ebba,'' said Anriol "
g up into his face. ,“,Yon are not entirely
ly recovered yet.'' ,“,I dare not stay long
" longer,'' he said. ",“,Dare not '' eried Eb
ers upon the anvil. ,“,If you must r@ally g
ll see yon again7'' ,“,"MIost assuredly,'' r"
",'' replied Auriol. ",“,I owe your worthy fa
be able to repay.'' ,“,My father is more th
"eek,'' snid Auriol. ",“,If I remasined longe
ed to his helpmate: ,“,"I say, Ned, @Tm a-th"
"t at yonder door,'' ",“,"So there be, John,''"
",'' replied Auriol. ",“,You would not belier
ing were wandering. ,“,"You think me mad,'' "
ightest sympathy.'' ,“,You have some motive
the torrified girl. ,“,My moti@e is to warn
esistingly yielded. ,“,A terrible fatality 
", in a solemn tone. ",“,Wwonld you had never
a voiee of nnguish. ,“,"Is it, then, too lat"
 his clenched hand. ,“,Reea@l yonr words-Eb
d mel'' cried Ebba. ,“,It is the person I s
 ejaculated Auriol. ,“,I must speak to him.
", commanding @oice. ",“,You have not kept yo
ointment with me.'' ,“,"I could not,'' repli"
unicated with me.'' ,“,It was my intention 
" so,'' said Anriol. ",“,Our mecting cannot b
 with s grim smile. ,“,Peace 1'' thundered 
oined the stranger. ,“,Bat I will not tronb
s beneath his feet. ,“,I would plange into 
"ose,'' @e murmured. ",“,But it wonld avail n
"and he cried aloud, ",“,"Why, it is my poor m"
a group around him. ,“,It must be Flapdrago
' exclaimed Anriol. ,“,Ah 1 who calls me?''
'' cried the dwarf. ,“,I1' rejoined Auriol.
1' rejoined Auriol. ,“,Do you not recollect
not recollect me2'' ,“,To be surel'' exclai
the dwarf's throat. ,“,"I have,'' replied th"
ing hold of Auriol. ,“,"By him-no,'' said th"
",'' said the dwarf; ",“,I ha@e not seen that
 three eentnries.'' ,“,"Three centaries, my "
ven him the brandy. ,“,That's a long time. 
 the first speaker. ,“,Gi@e him a drop more
drop more brandy.'' ,“,"Not a bit of it,'' r"
 by tho same tie.'' ,“,How came you in the 
 replied the dwarf. ,“,"But, as yon are awar"
'' inqnired Anriol. ,“,I don't know the vil
"rejoined the dwarf, ",“,bnt he's a very tall
 When was it done@@ ,“,"Some nights ago, I s"
" replied the dwarf, ",“,for ITve been a terr
ong the bystanders. ,“,"Yon may langh, but i"
"the dvarf, angrily. ",“,Wo mnst speak of thi
 dwarf in hi@@@@@s@ ,“,"wi@@ingly, sir,'' re"
was fully rerealed. ,“,Our meeting must be 
ul@6l the compact@7 ,“,Whnt do you require 
2'' replied Auriol. ,“,Possession of the gi
",'' sail th@ other; ",“,the iron-merchant's 
''rejoined Auriol ; ,“,I will ne@er consent
ll ne@er consent.'' ,“,Fool I'' eriel the o
ng glance upon him. ,“,Bring her to me ere 
"man, and exclaimed: ",“,"What: Mr. Darcy, is "
east down @er eyes. ,“,It wss my intention 
"was una@oidnable,'' ",“,To be sure; and I al
 MIr. Thorneycroft. ,“,Bnt you neglected to
owlelge the gift.'' ,“,I could not give an 
"e replied, timidly. ",“,"I am so,'' replied A"
ubled yon again ?'' ,“,What mysterious pers
", opening his eyes. ",“,"Ne@er mind, father,'"
"er,'' replied Ebba. ",“,I saw him last night
he added @o Auriol. ,“,I was sitting in the
", he disappeared.'' ",“,"Ah, you ne@er told m"
 MIr. Thorneycroft. ,“,You persuaded me to 
he added to Auriol. ,“,"No, I did not,'' rep"
"he other, gloomily. ",“,Indeed 1'' exclaimed
ith a pnzzled look. ,“,"Oh, then I suppose h"
 paces behind them. ,“,This is very kind of
" it,'' ho rejoined. ",“,I hoped you had forg
had forgotten me.'' ,“,I am sure you did no
@gh Anriol's frame. ,“,What ails you'' she 
anxiously inquired. ,“,I would ha@e shunned
s together again.'' ,“,"I am glad of it,'' s"
 recent accident.'' ,“,"Be not deceived, Ebb"
"ba,'' cried Auriol. ",“,I am under@a terribl
indow last night.'' ,“,What of him?'' deman
ll of apprehension. ,“,He it is who control
",'' replied Auriol. ",“,But what has he to d
h me1'' asked Ebba. ,“,"Much, much,'' he rep"
erceptible shudder. ,“,"You terrify me, Auri"
 It was Mr. Ginger. ,“,what a pretty littlo
the Seeond spaniel. ,“,Allow me to present 
" spaniel, and said, ",“,Do jist look at the 
como its purchaser. ,“,Fairy seems to have 
ave her a bargin.'' ,“,What do you call a b
"ired Ebba, smiling. ",“,I wish I conld affor
the likes o' you.'' ,“,I hope you lidn't gi
"nd,'' repli@l E@@@. ",“,I lidn't gi@e @ayf h
"hsyf,@ said Ginger; ",“,and if so be you don
' hc'll tell you.'' ,“,But you hasen't answ
"ion,'' sni@ Auriol. ",“,What do you ask for 
u ask for the log'' ,“,Do yon waut it for y
",'' replied Ginger; ",“,it'll make a mater'a
dy 7'' said A@riol. ,“,"Oh, then, in coorse,"
t'' replied Ginger. ,“,I hope yon don't mea
 MIr@ Thorneycroft. ,“,Tho prico is monstro
"nk he gi@e for it7"" ",“,"I don't kno@, and I "
"rnoyeroft, gruffly. ",“,"Eiglty guineas,'' sn"
"eas,'' snid Ginger. ",“,"Eighty g@ineas, as @"
mpared wi' Fairy.'' ,“,Stuff-stuff@@ oriel 
l Mr. Tlorneycroft; ,“,I ain't to b@@@a@@@@
@@@@@@@@ @@ai@ia@5G ,“,"It's no gammon,'' sa"
 at twenty pound.'' ,“,She's a lovely littl
for-Auriol Darcy.'' ,“,"It seems lilce him,'"
le more this @ay.'' ,“,"It's him, I tell you"
' said tho Tinkecr. ,“,V@ mnst gi@e the sig
"ion, here remarked; ",“,What's that yon are 
" ssying, fellow 2'' ",“,"I @os a-sasyin', sir"
king out his purse@ ,“,"On no account, Aurio"
"ried Ebbs, quickly. ",“,It's too much'' `A g
'' muttered Ginger. ,“,Can this be the gemm
 behind the pillar. ,“,They're on the look-
" look-out, I see.'' ",“,Give tho lady the do
"id Auriol, sharply. ",“,"Beg pardon, sir,'' s"
"d Mr. Thorneyaroft, ",“,The rascnl only want
ns br@eches@pocket. ,“,How @hall I thank yo
"ied, in a low tone. ",“,"That is impossible,'"
"le,'' she answered. ",“,"Well, I @ote we dri@"
"he @ehicle stopped, ",“,"Now get in, Ebbas. B"
ng man by his side. ,“,"Beg pasrdin, sir,'' "
", touching his hat, ",“,bat ain't your name 
Mr. Anriol Darcy '' ,“,"It is,'' replied Aur"
arding him fixedly. ,“,Why do you ask 7'' e
w nothing of you.'' ,“,You'll know me bette
"o you, and alone.'' ",“,If yon don't go abou
"is voice, he added, ",“,You@ll be glad to pu
 to my knowledge.'' ,“,"won't you get in, Mr"
towards the Tinker. ,“,I must speask to thi
ha@e you to say 7'' ,“,"Step this vay, sir,'"
replied the Tinker. ,“,There's two friends 
@@@@@@@@@@t@@@@@@@@ ,“,"Now, what do you wan"
"k has been found,'' ",“,AII' exclaimed Aurio
"ho Vauxhall-road,'' ",“,Your pocket-book has
"fore her, in 1800@, ",“,Hangin's too good fo
 sartin to sving.'' ,“,I hope that pretty c
tim1'' said Ginger. ,“,Peaeet'' thundered A
' thundered Auriol. ,“,What do you requirc 
 do you requirc 2'' ,“,A hundred pound each
"' said tho Sandman, ",“,for scrcecuia' sich 
"all,'' said Ginger. ",“,"3ou may faney,'' pnr"
"he said, at length. ",“,"It is no idle tale,'"
"thc Tinker, boldly. ",“,V EG can bring a @it
a li@in' sitness.'' ,“,What witness?'' crie
ss?'' cried Auriol. ,“,Don't yon re@kileet 
'' demanded Auriol. ,“,"Oh, ve@ll perduce hi"
" Tinker, cunningly. ",“,But tell me where th
is1'' cried Auriol. ,“,Ha@e you seen him si
no traces of him.'' ,“,HIe@ll tarn up somew
ejoined the Tinker. ,“,"But now, sir, that @"
mislest you more.'' ,“,The pocket-book m@st
@@ssured o' that.'' ,“,"I must hare it, or y"
"me,'' cried Auriol. ",“,Here's a bit o' pape
al compact with@@-e ,“,"Give me that paper,'"
r was closed again. ,“,HallonI What's that2
s that2'' he cried. ,“,The paper'as gone l'
e paper'as gone l'' ,“,Tho hand again I' cr
"eeping forth, said: ",“,There's no one there
o wi' the matter.'' ,“,Poh1 poh1 don't be s
ll overpower you.'' ,“,"Don't proroko lim,''"
he Tinker's slcore. ,“,"For my part, I sha'n"
e quittcd the room. ,“,I@ll go and see wot'
uperstitio@s fears. ,“,"Here, take tlis purs"
ro?'' cried Auriol. ,“,"Of course,'' replied"
"nger, peremptorily. ",“,"Re@ember, your ten y"
"z::,@@@@@@@@@@@@@@@ ",“,Because I wiil not s
",'' replied Auriol. ",“,You cannot help your
"rangcr, sccrnfully. ",“,I co@mand you to bri
 bring her to me.'' ,“,I persist in my refu
future distinetion. ,“,"Ah, sir,'' ha will s"
ear 1-pretty dear ' ,“,Yh I what@s that@ Wh
 it?' eried 'rigge. ,“,Prcetty dcar.-pretty
hend of black hair. ,“,Irottr dear l-pretty
@eeamel tle magpie. ,“,I see nothing pretty
creamed tho magpic. ,“,"Is this yours, sie7'"
t in the newspapcr. ,“,"Yes, ycs, tlat's my "
eplied MIr. Trigge. ,“,But what of it@e @ef
nd singel his hair. ,“,"Take care, sir 1'' c"
"gentleman, angrily. ",“,"If I were a judge, @"
 careless fcllow.'' ,“,Sarre him right 1'' 
 sarve him right t' ,“,"Beg pardon, sir,'' c"
"sir,'' cried Watts. ",“,I@ll rectify you in@
 you in@a minute.'' ,“,"Wcll, my little fric"
y bo yonr objeet 7' ,“,You want an assistan
d 7' asked ITrigge. ,“,"On my own,'' replied"
ied the little man. ,“,What are your qualif
 qualifications 2'' ,“,I faney I understand
ied the little man. ,“,I was a perruquier m
"d Trigge, langhing. ",“,That must have been 
ied the little man. ,“,It was in Queen Anne
ueen Anne's time.'' ,“,Perhaps you recollec
 cried Mr. ITrigge. ,“,"Perfectly,'' replied"
ied the little man. ,“,French periwig@ were
"ittle man, quietly. ",“,"Oh, he must be out o"
ls would observe.'' ,“,I hope I may suit yo
aid the little man. ,“,I don't think you wi
tle as if I were-'' ,“,Lord Chancellor 1-Lo
or I' screamed Mag. ,“,"Precisely, Mag,'' sa"
 Lord Chaneellor.'' ,“,"Well, @'m sorry for "
; `' pretty dear 1' ,“,What a wonderful bir
se-Gregory Morse.'' ,“,An Old Bailey answer
", shaking his head. ",“,"Flapdragon, alias Ol"
Morse -hlnhg----.'' ,“,Pretty dear 1'' scre
yeing him nurrowly. ,“,"Sadly,'' replied Mor"
"y,'' replied Morse. ",“,"Well, then, follow m"
nt in lo@ers' ears. ,“,Oh1 how different yo
"id Ebba, playfull@. ",“,Promise me not to in
e gloomy fancies.'' ,“,I@will not indulge i
"Ebba,'' he replied. ",“,But my spirits are n
ess this e@ening.'' ,“,I never felt so happ
er first quarter.'' ,“,The moon in her firs
 a tone of anguish. ,“,All then is o@er.'' 
All then is o@er.'' ,“,What means this sudd
tened by his looks. ,“,"Oh, Ebba,'' he repli"
"inked to,' he said. ",“,Tlis is the night wh
 be accomplished.'' ,“,Your moody fancies d
ing lis arm kindly. ,“,"Ebba,'' he cried, ` "
all hold you fast'' ,“,You know not what yo
dol'' cried Auriol. ,“,"Release me1 oh, rele"
"1 oh, release me I' ",“,In a few moments the
"ed,'' she rejoined. ",“,Let us walk towards 
owards the abbey.'' ,“,It is in @ain to str
immer on the scene. ,“,What a strange place
 some apprehension. ,“,It looks like a spot
t trap leads to 2'' ,“,Into the vault benea
",'' replied Auriol. ",“,But why did we come 
s difficult to say. ,“,Did you hear that so
nd '' criod Auriol. ,“,It was nothing but t
"eet,'' she replied. ",“,You alarm yourself w
"ut reason, Auriol.' ",“,"No, not withont reas"
 it is the truth.'' ,“,Beware 1'' cried a d
epths of the vault. ,“,"Some one spoke,'' cr"
rought you to me.'' ,“,It is f@lseI' cried 
th a moeking laugh. ,“,"Oh, Aurioll'' cried "
vely magnificent.'' ,“,I recollect when the
the Proteetorate.'' ,“,You cannot get those
"id Loftus, smiling. ",“,I wish I c@uld persu
"uries and a half,'' ",“,Would you could ha@o
heI other's remark. ,“,It was much mutilate
"ct was beautiful,'' ",“,It must have been ch
 Cromwell's time.'' ,“,I can tell yon how t
"o statue was sold,' ",“,AhI indeed 1'' excla
full particulars.'' ,“,"You shall henr them,"
" back his outlay,'' ",“,Ha1 ha I ha l'' lang
l'' langhed Loftus. ,“,"W@ll, in due season "
"rather think not,'' ",“,"No matter,'' cried L"
a stump beside him. ,“,Yon are aware that t
f these trophies I' ,“,The execution of the
"ble,'' cried Morse. ",“,Noerer saw anything 
le of charity-boys. ,“,My eyes.'' eried the
"n 'uns, ITm done.'' ",“,Old Spectacles think
d-by'' 108 AUIODL.@ ,“,"Plesh ma 'art,'' eri"
nto as millstone.'' ,“,Only think of living
 general cnriosity. ,“,"Look closer at it, o"
' eried the porter. ,“,"The nearer you get, "
osest inspection.'' ,“,"I say, Ned,'' obser@"
 replied tho other; ,“,but just give us as 
"ft, and @Tll try.'' ",“,Wot are you arter th
nied by a bull-dog. ,“,I@@o a good mind to 
" Here, boy, @ere1'' ",“,That @ud bo famous f
callion bchind him. ,“,Arrahl let 'em alone
"ore; did you, Snm ' ",“,"Never,'' replied the"
replied the porter. ,“,"Och, murther in Iris"
hnd run his barrow. ,“,Divil seize yon for@
idn't obsarre ye.'' ,“,Antiquaries be hange
"lewoman, furiously. ",“,You've destroyed my 
d bad luck to yel'' ,“,"WeIl, never heed, Mo"
natured bricklayer; ,“,I@ll make it up t'ye
@@@@@ @@r @@@@@ue@. ,“,What are you t@lking
he stout gentleman. ,“,"Griuling Gibbons,'' "
hout tarning round. ,“,Horace Walpole said 
"tone,'' 110 AIIOL.@ ",“,This may be all very
"m by the shonulder, ",“,but don't you see th
mobbed presently.'' ,“,"Why, how the deril d"
st recognisiag him. ,“,"Come along, and TI@@"
'' demanded Loft@s. ,“,You alarm me. Out wi
kept in suspense.'' ,“,"She has left me,'' r"
"ycroft, mournfully. ",“,And the thing was so
isgraced herself.'' ,“,"No, she is too high "
"it,'' eriod Loftas. ",“,Rest easy on that sc
as she run away 7'' ,“,With s young man nam
lied Thor neycroft. ,“,He was brought to my
"him,'' said Loftus. ",“,"But I ha@e,'' interp"
' interposed Morse. ,“,I@@o known him these
no hundred yenrs.'' ,“,Eh day 1 who@s this7
eried Thorneyeroft. ,“,A crack-brsined litt
"ey,'' ecried Morse. ",“,I asm perfectly asqu
asked Thorneyeroft. ,“,"I am sorry I cannot,"
 the black cloak.'' ,“,What's that yo@ say 
"rneycroft, quickly. ",“,I have heard Ebba sp
er disappearance.'' ,“,I shouldn't wonder i
"d,'' replied Morse. ",“,I@belie@e that black
gentleman to be--'' ,“,What 1--who 7'' dema
"orso, mysteriously. ",“,Pshawl poh l'' cried
h l'' cried Loftus. ,“,I told you the poor 
"roft, I believe t'' ",“,My name is Thorneyer
" faney, is Ginger 2 ",“,"Exactly, sir,'' repl"
s of your darter.'' ,“,OI EbUa?'' exclaimed
ne of deep emotion. ,“,I hope your news is 
 werry bad hands.'' ,“,"That she is, if she@"
",'' obsersed Morse. ",“,"Vy, Old Parr, that a"
im in astonishment. ,“,"Vy, 'ow you are tran"
"fied, to be sure t' ",“,But what of my dnugh
criod Thorneycroft; ,“,where is she2 Take m
be well rewarde@.'' ,“,I@ll do my best to t
adful bad hasnds.'' ,“,Do yon allude to Mr.
 to my knowledge.'' ,“,Yon alarm me greatly
t is to be done 1'' ,“,I shall know in a fe
",'' replied Ginger. ",“,I ain't got the exae
 said Thorneyeroft. ,“,Ho couldn't help you
",'' replied Ginger. ",“,I@ll take care to ha
". Ginger's remarkc, ",“,As 1I said to you th
rin' yonr darter.'' ,“,"Y@s, i@@s your only "
"ortionato re@ard,'' ",“,If you enable me to 
 the iron-merchant. ,“,I must ha@e s hundre
' said the Sandman. ,“,I shnll take nnffin'
t out tho better.'' ,“,Are you nrmed 7'' as
d 7'' askod Ginger. ,“,I@h@ne a brace of pi
plied Thorneycroft. ,“,"All right, then-ve'v"
"hes,'' said Ginger. ",“,"So let's be off@, As"
ece of black crape. ,“,Who is tlis l'' he d
ith some misgi@ing. ,“,"A friend,'' replied "
