Contexte gauche,Chaîne,Transcription,Contexte droit
mendicants were coll,e,o,"cted, roasting fragm"
"s were collected, ro",a,n,sting fragments of m
uck upon iron prongs,",",;, or quaffing deep dr
"n iron prongs, or qu",a,n,ffing deep draughts 
deep draughts of met,h,l,eglin and ale@ out o
le@athern cups. Crow,d,l,s were collected in 
ng the wonders in th,e,a," heavens, and drawin"
", and drawing auguri",e,c,"s from them, chiefly"
ing auguries from th,e,c,"m, chiefly sinister,"
"r, for most of the b",e,c,holders thought the 
s portended the spee,d,l,y death of the queen
"the queen, and the a",d,l,vent of a new monarc
narch from the north,—,-,a safe and easy inte
from the north—a saf,e,o, and easy interpreta
sidering the advance,d,t, age and declining h
"ious Elizabe@th, tog",e,c,ther with the known 
"f her successor, Jam",e,c,s of @Scotland. Notw
tanding the early ha,b,l,"its of the times, fe"
ons had retired to r,e,c,"st, an universal wis"
 prevailing among th,e,c, citizens to see the
and welcome the cent,u,n,ry accompanying it. 
welcome the century ,a,n,ccompanying it. Ligh
 holly-sprigs and la,u,n,rel-leaves stuck thi
rigs and laurel-leav,e,c,s stuck thickly in t
eir diamond panes; w,h,l,"ile, whenever a@ doo"
", whenever a@ door w",a,u,"s opened, a ruddy gl"
"a@ door was opened, ",a,n, ruddy gleam burst a
burst across the str,e,c,"et, and a glance ins"
st across the street,",",;, and a glance inside
er gathered round th,e,o," glowing hearth, occ"
"he glowing hearth, o",c,e,cupied in mirthful s
"owing hearth, occupi",e,c,d in mirthful sports
d in mirthful sports,—,-,"fox-i’-th’-hole, bli"
irthful sports—fox-i,’,',"-th’-hole, blind-man"
ul sports—fox-i’-th’,-,',"hole, blind-man’s bu"
"-i’-th’-hole, blind-",m,n,"an’s buff, or shoe-t"
"-th’-hole, blind-man",’,',"s buff, or shoe-the-"
"h’-hole, blind-man’s", ,-,"buff, or shoe-the-ma"
mare—or seated at th,e,o, ample board groanin
 the ample board gro,a,u,ning with Christmas 
g with Christmas che,e,c,r. Mu@sic and singin
h Christmas cheer. M,u,I,@sic and singing wer
ristmas cheer. Mu@si,c,e, and singing were he
stmas cheer. Mu@sic ,a,n,nd singing were hear
 and singing were he,a,n,"rd at every corner, "
e heard at every cor,n,u,"er, and bands of com"
" every corner, and b",a,n,nds of comely damsel
"r sweethearts, went ",f,I,"rom house to house, "
ent from house to ho,u,n,"se, bearing huge bro"
with a drink called ,“,`,"@lamb’s-wool,”@ comp"
 drink called “@lamb,’,',"s-wool,”@ composed o"
"alled “@lamb’s-wool,",”,',@ composed of sturdy
"sed of sturdy ale, s",w,m,"eetened with sugar, "
"sturdy ale, sweetene",d,l," with sugar, spiced "
ng toasts and burnt ,c,e,rabs floating within
s floating within it,—,",",@a draught from whic
ing within it—@a dra,u,n,ght from which seldo
brought its pretty b,e,c,arers less than a gr
lly a more valuable ,c,e,oin. Such was the vi
aluable coin. Such w,a,n,s the vigil of th@e 
 vigil of th@e year ,s,S,ixteen hundred. On t
f th@e year sixteen ,h,H,undred. On this nigh
d venerable appearan,c,e,e was seen to emerge
nerable appearance w,a,n,s seen to emerge upo
ituated at the south,e,c,rn extremity of Lond
 Bridge. The old man,’,',s beard and hair wer
dge. The old man’s b,e,c,ard and hair were as
overhanging brows th,a,m,t shaded his still p
g brows that shaded ,h,l,is still piercing ey
numerable wrinkles. ,H,I,"@is countenance, des"
" countenance, despit",e,o, its death-like p@al
"ance, despite its de",a,n,"th-like p@aleness, h"
"ce, despite its deat",h,l,"-like p@aleness, had"
espite its death-lik,e,a," p@aleness, had a no"
noble and majestic c,a,n,"st; and his figure, "
le and majestic cast,;,","," and his figure, tho"
nd majestic cast; an,d,i," his figure, though "
", an@d bent by the w",e,o,"ight of years, must "
 by the weight of ye,a,n,"rs, must have been o"
"ht of years, must ha",v,s,e been once lofty an
once lofty and comma,n,u,ding. His dress cons
 dress consisted of ,a,n, doublet and hose of
h he wore a loose go,w,v,n of black silk. H@i
 a loose gown of bla,c,e,k silk. H@is head wa
vered by a square bl,a,u,"ck cap, from beneath"
"ap, from beneath whi",c,e,h his silver locks s
eneath which his sil,v,s,er locks strayed ove
over his shoulders. ,K,I,nown by the name of 
"octor Lamb, and addi",c,e,ted to alchemical an
addicted to alchemic,a,n,l and philosophical 
d to employ a deform,e,o,"d, crack-brained dwa"
" employ a deformed, ",c,e,"rack-brained dwarf, "
"ploy a deformed, cra",c,e,"k-brained dwarf, who"
"is operations, and w",h,l,om he appropriately 
he appropriately eno,u,n,gh denominated Flapd
pdragon. Doctor Lamb,’,',s gaze was fixed int
b’s gaze was fixed i,n,u,tently upon the heav
"y upon the heavens, ",a,n,nd he seamed to be n
"e heavens, and he se",a,e,med to be noting the
he seamed to be noti,n,u,g the position of th
me particular star. ,A,M,fter remaining in th
e it proceeded. Imme,d,l,iately before him st
Southwark Gateway—a ,s,e,quare stone building
ateway—a square ston,e,s," building, with a ro"
" building, with a ro",u,n,"nd, embattled turret"
"ith a round, embattl",e,o,d turret at e@ach co
 doctor perceived th,a,n,t two of these poles
act of stripping the,m,n, of their grisly bur
g accomplished his o,b,l,"ject, the mysterious"
 the mysterious plun,d,l,erer thrust his spoi
n his retreat was su,d,l,denly cut off by the
nly cut off by the g,a,u,"tekeeper, armed with"
r opening upon the l,e,c,ads. The baffled mar
marking the open win,d,l,ow at which @Doctor 
w at which @Doctor L,a,n,"mb was stationed, hu"
k and its contents t,h,l,rough it. He@ then t
ugh it. He@ then tri,e,o,d@ to gain the ladde
intercepted by the g,a,n,"tekeeper, who dealt "
tercepted by the gat,e,c,"keeper, who dealt hi"
rcepted by the gatek,e,c,"eper, who dealt him "
"eper, who dealt him ",a,n, severe blow on the 
lberd. @@@@@@@@@@@Th,e,o, plunderer uttered a
from his opponent. H,e,o," then fell, and the "
 his opponent. He th,e,o,"n fell, and the gate"
nd the gatekeeper wo,u,n,ld have repeated the
 gatekeeper would ha,v,r,"e repeated the blow,"
"ated the blow, if th",e,o, doctor had not call
"l him, good Baldred,",”,',@ he cried. “The att
" good Baldred,”@ he ",c,e,ried. “The attempt m
"rs. Doubtless, the m",u,n,tilated remains whic
"btless, the mutilate",d,l, remains which the p
ted remains which th,e,o, poor wretch has att
h has attempted to c,a,n,rry off@ are those o
led him to commit th,e,o, offence.”@ “It may 
 commit the offence.,”,',"@ “It may be, doctor"
"ce.”@ “It may be, do",c,e,"tor,”@ replied Baldr"
" “It may be, doctor,",”,',@ replied Baldred; “
”@ replied Baldred; ,“,`,@@and if so I shall 
@and if so I shall b,e,o, sorry I have hurt h
 shall be sorry I ha,v,r,e hurt him. B@ut I a
m responsible for th,e,o, safe custody of the
esponsible for the s,a,n,fe custody of these 
he safe custody of t,h,l,ese traitorous relic
as much as my own he,a,n,d is worth to permit
ermit their removal.,”,',"@ “I know it,”@ repl"
"moval.”@ “I know it,",”,',@ replied Doctor Lam
eplied Doctor Lamb; ,“,`,@and you are fully j
ay throw some light ,u,n,"pon the matter, to k"
s have been disturbe,d,l,.”@ “They were the h
have been disturbed.,”,',@ “They were the hea
bed.”@ “They were th,e,o, heads of two rank p
"of two rank papists,",”,',"@ replied B@aldred, "
"aldred, “who were de",c,e,apitated on Tower Hi
“who were decapitate,d,l," on Tower Hill, on S"
"l, on Saint Nicholas",’,',"s Day, three weeks a"
on Saint Nicholas’s ,D,d,"ay, three weeks ago,"
onspiring against th,e,a, queen.”@ “@But thei
iring against the qu,e,c,en.”@ “@But their na
g against the queen.,”,',@ “@But their names?
gainst the queen.”@ ,“,e,@But their names?”@ 
@ “@But their names?,”,',@ demanded the docto
called@?”@ “They wer,e,o," father and son,”@ r"
"were father and son,",”,',@ replied Baldred@—“
ed@—“@@Sir Simon Dar,c,e,y and Master Reginal
 Master Reginald Dar,c,e,y. Perchance@ they w
to your worship@?”@ ,“,e,@Too well—too well@!
rship@?”@ “@Too well,—,-,too well@!”@ replied
—too well@!”@ replie,d,l," Doctor Lamb, in a v"
 that startled his h,e,c,arer. “They were nea
at startled his hear,e,c,r. “They were near@@
n. What is he like w,h,l,o has made this stra
 he like who has mad,e,o, this strange attemp
 like who has made t,h,l,is strange attempt@?
ge attempt@?” “Of a ,v,r,"erity, a fair youth,"
"erity, a fair youth,",”,',"@ replied Baldred, h"
"y, a fair youth,”@ r",e,c,"plied Baldred, holdi"
"fair youth,”@ replie",d,1," Baldred, holding do"
"ir youth,”@ replied ",B,D,"aldred, holding down"
"uth,”@ replied Baldr",e,c,"d, holding down the "
"”@ replied Baldred, ",h,l,olding down the lant
 down the lantern. “,H,I,eaven grant I have n
rn. “Heaven grant I ,h,l,ave not wounded him 
 “Heaven grant I hav,e,o, not wounded him to 
ded him to the death,!,1," No, his heart still"
"o, his heart still b",e,c,ats. H@a! here are h
 heart still beats. ,H,I,@a! here are his tab
art still beats. H@a,!,1, here are his tablet
till beats. H@a! her,e,a," are his tablets,”@ "
"ere are his tablets,",”,',"@ he added, taking a"
"are his tablets,”@ h",e,o," added, taking a sma"
"his tablets,”@ he ad",d,l,"ed, taking a small b"
small book from his ,d,l,oublet; “@@these may
k from his doublet; ,“,`,@@these may give the
“@@these may give th,e,o, information you see
rmation you seek. Yo,u,n, were right in your 
on you seek. You wer,e,o, right in your conje
e right in your conj,e,c,"cture, doctor. The n"
"njecture, doctor. Th",e,o, name herein inscrib
"ure, doctor. The nam",e,o, herein inscribed is
is the same as that ,b,t,orne by the others—A
 as that borne by th,e,o, others—Auriol Darcy
 borne by the others,—,-,Auriol Darcy.”@ “I s
he others—Auriol Dar,c,e,"y.”@ “I see it all,”"
others—Auriol Darcy.,”,',"@ “I see it all,”@ c"
Auriol Darcy.”@ “I s,e,c,"e it all,”@ cried La"
"cy.”@ “I see it all,",”,',@ cried Lamb. “It wa
"uth to my dwelling, ",B,D,"aldred, and you shal"
 you shall be well r,e,c,warded. Use despatch
hall be well rewarde,d,l,". Use despatch, I pr"
"espatch, I pray you.",”,',@ As the gatekeeper 
 you.”@ As the gatek,e,c,eper essayed to comp
"ed to comply, the wo",u,n,nded man groaned dee
e wounded man groane,d,l," deeply, as if in gr"
ain. “Fling me the w,e,c,apon with which you 
 with which you smot,e,o," him,”@ cried Doctor"
ith which you smote ,h,l,"im,”@ cried Doctor L"
"which you smote him,",”,',"@ cried Doctor Lamb,"
"ch you smote him,”@ ",c,e,"ried Doctor Lamb, in"
"you smote him,”@ cri",e,c,"d Doctor Lamb, in ac"
"s of commiseration, ",“,`,@@and I will anoint 
powder of sympathy. ,H,I,@is anguish will be 
s anguish will be sp,e,c,edily abated.”@ “I k
anguish will be spee,d,l,ily abated.”@ “I kno
 be speedily abated.,”,',@ “I know your worsh
 speedily abated.”@ ,“,e,I know your worship 
p can accomplish won,d,l,"ers,”@ cried Baldred"
" accomplish wonders,",”,',"@ cried Baldred, thr"
"complish wonders,”@ ",c,o,"ried Baldred, throwi"
",”@ cried Baldred, t",h,l,rowing the halberd i
halberd into the bal,c,e,ony. “I will do my p
 as gently as I can.,”,',@ And as the alchem@
as I can.”@ And as t,h,l,e alchem@ist took up
an.”@ And as the alc,h,l,em@ist took up the w
 as the alchem@ist t,o,a,"ok up the weapon, an"
"he window, the gatek",e,c,eper lifted the woun
the gatekeeper lifte,d,l, the wounded man by 
gatekeeper lifted th,e,o, wounded man by the 
ase to a lower chamb,e,c,r. Though he proceed
er chamber. Though h,e,o, proceeded carefully
mber. Though he proc,e,c,"eded carefully, the "
erer was put to excr,u,a,ciating pain; and wh
 excruciating pain; ,a,n,nd when Baldred plac
xcruciating pain; an,d,l, when Baldred placed
ting pain; and when ,B,D,aldred placed him on
 Baldred placed him ,o,e,"n a wooden bench, an"
d held @@@@@@@@@@a l,a,s,"mp towards him, he p"
hat his features wer,e,a, darkened and distor
and distorted. “I fe,a,n,r it’s all over with
istorted. “I fear it,’,',"s all over with him,"
 it’s all over with ,h,l,"im,”@ murmured the g"
"s all over with him,",”,',@ murmured the gatek
"l over with him,”@ m",u,n,rmured the gatekeepe
red the gatekeeper; ,“,e,I shall have a dead 
o Doctor Lamb. It wo,u,n,ld be a charity to k
tor Lamb. It would b,e,o, a charity to knock 
 be a charity to kno,c,e,"k him on the head, r"
 him suffer thus. Th,e,o, doctor passes for a
"ing man, but if he c",a,n,n cure this poor you
poor youth without s,e,c,"eing him, by the hel"
"ut seeing him, by th",e,o, help of his sympath
 relations with the ,d,l,evil.” While Baldred
ions with the devil.,”,', While Baldred was r
ith the devil.” Whil,e,o, Baldred was ruminat
 While Baldred was r,u,n,minating in this man
" in this manner, a s",u,n,dden and extraordina
"anner, a sudden and ",e,c,xtraordinary change 
a sudden and extraor,d,l,inary change took pl
nge took place in th,e,o, sufferer. As if by 
ook place in the suf,f,l,erer. As if by magic
sufferer. As if by m,a,n,"gic, the contraction"
he contraction of th,e,o, muscles subsided; t
he features assumed ,a,n," wholesome hue, and "
"esome hue, and the r",e,c,spiration was no lon
o longer laborious. ,B,D,aldred stared as if 
miracle had been wro,u,n,ght. Now that the co
he countenance of th,e,o, youth had regained 
ountenance of the yo,u,n,th had regained its 
 not help being stru,c,e,k by its extreme bea
t help being struck ,b,h,y its extreme beauty
k by its extreme bea,u,n,ty. The face was a p
xtreme beauty. The f,a,u,ce was a perfect ova
ty. The face was a p,e,c,"rfect oval, with reg"
ache covered the upp,e,c,"r lip, which was sho"
h was short and prou,d,l,", and a pointed@ bea"
 and a pointed@ bear,d,l, terminated the chin
n. The hair was blac,k,l,", glossy, and cut sh"
"cut short, so as to ",d,l,isclose a highly int
e a highly intellect,u,n,al expanse of brow. 
highly intellectual ,e,c,xpanse of brow. The 
 expanse of brow. Th,e,o, youth’s figure was 
"re was slight, but a",d,t,mirably proportioned
e consisted of a bla,c,e,"k satin doublet, sla"
" black silk, and a s",h,l,ort velvet mantle. H
hen they lighted it ,u,n,p; but@@@@@@@ notwit
sion pervaded the co,u,n,ntenance. All at onc
ss as his cure had b,e,c,"en effected, the you"
"d, uttering a pierci",n,u,"g cry, and placed hi"
uttering a piercing ,c,e,"ry, and placed his h"
 his hand to his sid,e,o,. “Caitiff!” he crie
" on the gatekeeper, ",“,`,@@why do you torture
us? Finish me at onc,e,o,@—Oh!” And overcome 
? Finish me at once@,—,-,Oh!” And overcome by
nish me at once@—Oh!,”,', And overcome by ang
 once@—Oh!” And over,c,e,"ome by anguish, he s"
ha@ve not touched yo,u,n,", sir,”@ replied Bal"
"ot touched you, sir,",”,',@ replied Baldred. “
t have wiped the hal,b,l,"erd,”@ he added to h"
"e wiped the halberd,",”,',@ he added to himsel
"berd,”@ he added to ",h,l,imself. Another sudd
er sudden change. Th,e,o, pain fled from the 
ed from the sufferer,’,',"s countenance, and h"
and he became easy a,s,e, before. “What have 
as before. “What hav,e,o, you done to me?”@ h
 you done to me?”@ h,e,o," asked, with a look "
h a look of gratitud,e,o,; “@the torture of m
 look of gratitude; ,“,`,@the torture of my w
nd I feel as@ if a b,a,n,lm had been dropped 
if you have any pity,—,-,"or despatch me, for "
"tch me, for my late ",a,n,gony was almost insu
rtable.”@ “You are c,a,n,red for by one who h
red for by one who h,a,n,s greater skill than
"hirurgeon in London,",”,',@ replied Baldred. “
" London,”@ replied B",a,u,ldred. “If I can man
ied Baldred. “If I c,a,n,n manage to transpor
"dgings, he will spee",d,l,ily heal your wounds
ly heal your wounds.,”,',"@ “@Do not delay, th"
heal your wounds.”@ ,“,e,"@Do not delay, then,"
"@Do not delay, then,",”,',@ replied Auriol@ fa
"elay, then,”@ replie",d,l, Auriol@ faintly; “f
”@ replied Auriol@ f,a,s,intly; “for though I
is ebbing fast away.,”,',@ “@Press this handk
ebbing fast away.”@ ,“,e,@Press this handkerc
ay.”@ “@Press this h,a,n,ndkerchief to your s
"chief to your side, ",a,n,"nd lean on me,”@@@@@"
" side, and lean on m",e,o,",”@@@@@@@@@@@ said B"
"ide, and lean on me,",”,',@@@@@@@@@@@ said Bal
",”@@@@@@@@@@@ said B",a,u,ldred. “Doctor Lamb’
aldred. “Doctor Lamb,’,',s dwelling is but a 
tep from the gateway,—,-,"in fact, the first h"
on the bridge. By th,e,o," way, the doctor dec"
the bridge. By the w,a,u,"y, the doctor declar"
rst I ever heard of ,h,l,"im,” replied Auriol@"
"I ever heard of him,",”,', replied Auriol@ fai
",” replied Auriol@ f",a,u,intly; “but take me 
ed Auriol@ faintly; ,“,"""",but take me to him q
"uickly, or it will b",e,o, too late.” In anoth
 they were at the do,c,e,tor’s door. Baldred 
y were at the doctor,’,',s door. Baldred tapp
"d against it, and th",e,o, summons was instant
 a leathern apron ti,e,c,d round his waist. T
"eyed, smoke-@begrime",d,l,", lantern-jawed, the"
"begrimed, lantern-ja",w,v,"ed, the poor dwarf s"
ws. In his hand he h,e,c,ld the halberd with 
 been pla@ying the l,e,c,"ech, Flapdragon, eh?"
"Baldred. “Ay, marry ",h,l,"ave I,”@ replied the"
". “Ay, marry have I,",”,',"@ replied the dwarf,"
",”@ replied the dwar",f,l,", with a wild grin, "
lfish set of teeth. ,“,',@My master ordered m
h the sympathetic oi,n,u,tment. I obeyed him:
ntment. I obeyed him,:,;, rubbed the steel po
n smeared@ it again.,”,',@ “Whereby you put t
"t to exquisite pain,",”,',@ replied Baldred; “
”@ replied Baldred; ,“,`,@but help me to tran
m to the laboratory.,”,',@ “I know not if th@
o the laboratory.”@ ,“,e,I know not if th@e d
l care to be disturb,e,o,"d,”@ said Flapdragon"
"are to be disturbed,",”,',@ said Flapdragon. “
 said Flapdragon. “H,e,o, is busily engaged o
n a grand operation.,”,',@ “I will take the r
ation.”@ “I will tak,e,o," the risk on myself,"
" the risk on myself,",”,',@ said Baldred. “The
”@ said Baldred. “Th,e,a,@@@@@@@@@@ youth wil
@ youth will die if ,h,l,"e remains here. See,"
f he remains here. S,e,c,"e, he has fainted al"
"mains here. See, he ",h,l,as fainted already@!
he has fainted alrea,d,l,"y@!”@ Thus urged, th"
e dwarf laid down th,e,o," halberd, and betwee"
"n the halberd, and b",e,o,"tween the two, Au@ri"
ng the bellows at th,e,a," furnace, on which a"
"at the furnace, on w",h,l,ich a large alembic 
ge alembic was place,d,l,", and he was so engr"
d he was so engrosse,d,l, by his task@ that h
d by his task@ that ,h,l,e scarcely noticed t
his task@ that he sc,a,n,rcely noticed the en
 task@ that he scarc,e,c,ly noticed the entra
 of the others. “Pla,c,e,@e the youth on the 
"d against the chair,",”,',"@ he cried, hastily,"
"nst the chair,”@ he ",c,e,"ried, hastily, to th"
to th@e dwarf. “Bath,e,a, his brows with the 
"e on the morrow, Bal",d,l,"red, and I will repa"
uble. I am busy now.,”,',"@ “These relics, doc"
am busy now.”@ “Thes,e,o," relics, doctor,”@ c"
"hese relics, doctor,",”,',@ cried@ the gatekee
"e ground, and from w",h,i,ich a bald head prot
bald head protruded—,“,-,I ought to take them
e them back with me.,”,',@ “Heed them not—the
me.”@ “Heed them not,—,-,they will be safe in
m not—they will be s,a,n,"fe in my keeping,”@ "
will be safe in my k,e,c,"eping,”@ cried Docto"
" safe in my keeping,",”,',@ cried Doctor Lamb@
 Doctor Lamb@ impati,e,c,ntly; “@@to-morrow—t
 Lamb@ impatiently; ,“,`,@@to-morrow—to-morro
iently; “@@to-morrow,—,-,to-morrow.”@ Casting
to-morrow—to-morrow.,”,',@ Casting a furtive 
w.”@ Casting a furti,v,r,e glance round the l
"d the laboratory, an",d,l, shrugging his shoul
 and shrugging his s,h,l,"oulders, Baldred dep"
nd shrugging his sho,u,n,"lders, Baldred depar"
 shrugging his shoul,d,l,"ers, Baldred departe"
"is shoulders, Baldre",d,l, departed; and Flapd
ted; and Flapdragon ,h,l,aving bathed the suf
gon having bathed th,e,o, sufferer’s temples 
 bathed the sufferer,’,',s temples with the d
"he decoction, in obe",d,l,ience to his master’
bedience to his mast,e,c,"r’s injunctions, tur"
dience to his master,’,',"s injunctions, turne"
"ns, turned to inquir",e,s, what he should do n
he should do next. “,B,D,egone!”@ cried the d
"ed the doctor, so fi",e,o,rc@ely that the dwar
" the doctor, so fier",c,e,@ely that the dwarf 
so fierc@ely that th,e,o, dwarf darted out of
"he room, clapping th",e,a, door after him. Doc
mb then applied hims,e,o,lf to his task with 
o his task with rene,w,v,"ed ardour, and in a "
few seconds became w,h,l,olly insensible of t
ds became wholly ins,e,c,nsible of the presen
" by the stimulant, A",u,n,riol presently opene
"ng round the room, t",h,l,ought he must be dre
with the implements ,u,n,sed by the adept—bol
"eads, crucibles, cuc",u,n,"rbites, and retorts,"
"torts, scattered abo",u,n,t without any attemp
e terrestrial sphere,:,;, near it was an astr
 it was an astrolabe,",",;, and ne@ar that a he
els. On the other si,d,l,"e@ lay a black, myst"
the other side@ lay ,a,s," black, mysterious-l"
"ay a black, mysterio",u,n,"s-looking book, fast"
ound it@ were a@ ram,’,',"s horn, a pair of fo"
"rchment, a pestle an",d,l," mortar, and a large"
"ar, and a large plat",e,o," of copper, graven w"
symbols of the Isaic,a,n,l table. Near this w
he Isaical table. Ne,a,n,r this was the leath
 two decapitated hea,d,l,"s, one of which had "
"ads, one of which ha",d,l, burst forth. On a t
the farther end of t,h,l,"e room, stood a larg"
" of the room, stood ",a,n," large open volume, "
"ical characters, ref",e,c,rring to the names o
 names of spirits. N,e,c,@ar it were two parc
ominated by the Chal,d,l,"aic sages, “@@the Ma"
nated by the Chaldai,c,e," sages, “@@the Malac"
"the Chaldaic sages, ",“,',"@@the Malachim,”@ an"
"es, “@@the Malachim,",”,',@ and “@the Passing 
"the Malachim,”@ and ",“,`,@the Passing of the 
assing of the River.,”,',@ One of these scrol
 was kept in its pla,c,e,e by a skull. An anc
ancient and grotesqu,e,c,"-looking brass lamp,"
", with two snake-hea",d,l,"ed burners, lighted "
"nster, with outsprea",d,l," fins, open jaws@ ga"
 open jaws@ garnishe,d,l, with tremendous tee
and projected far in,t,l,"o the room, was lade"
" far into the room, ",w,m,as laden with variou
rious implements of ,h,H,ermetic science. Abo
mplements of hermeti,c,e, science. Above it w
hich hung a large st,a,s,r@fish. The fireplac
The fireplace was oc,c,e,upied by th@e furnac
listened in the whit,e,o," moonlight, had a ho"
"light, had a horribl",e,o, effect. The other e
njoyed more comforta,b,l,le quarters near the
ing down in the smok,e,a, arising from the fu
"while, steadily purs",u,n,"ed his task, though "
and drugs upon the c,h,l,arcoal. As he did th
d flames broke forth,—,-,"now blue, now green,"
"n, now blood-red. Ti",n,u,"ged by these fires, "
"these fires, the dif",f,l,erent objects in the
aped cuc@urbites wer,e,o, transformed into gr
nto great bloated to,a,n,ds bursting with ven
rsting with venom; t,h,l,e long-necked bolt-h
ong-necked bolt-head,s,e, became monstrous se
"on the parchments, s",e,c,"emed traced in fire,"
"he parchments, seeme",d,l," traced in fire, and"
" in fire, and to be ",e,o,ver changing; the se
"ins, tried to burst ",f,i,rom his hook; the sk
tried to burst from ,h,l,is hook; the skeleto
d to burst from his ,h,l,ook; the skeletons w
 in their eyeless so,c,e,kets; the bellows be
residing over a witc,h,l,es’ sabbath. Auriol’
iding over a witches,’,', sabbath. Auriol’s b
hes’ sabbath. Auriol,’,',"s brain reeled, and "
ed him; and he imagi,n,r,ed h@e could hear th
e@nts of the matrass,—,-,"a bright, transparen"
", transparent liquid",—,-,into a small phial. 
ly secured the bottl,e,o, with a glass stoppe
at it with rapture. ,“,`,"At length,”@ he excl"
"rapture. “At length,",”,',@ he exclaimed aloud
 With the birth of t,h,l,e century now expiri
he birth of the cent,u,a,ry now expiring I fi
the mercurial stones,—,-,prepare@d according 
the R@abbi Ben Lucca,—,",","@namely, by the sepa"
xing of the volatile,—,;,@this elixir shall r
riarch ever enjoyed.,”,',@ While thus speakin
ever enjoyed.”@ Whil,e,s," thus speaking, he h"
 enjoyed.”@ While th,u,n,"s speaking, he held "
g to devour me@!—to ,b,h,e free from all acci
o be free from all a,c,e,cidents@!—’tis a glo
us @@@@@@@@@@thought,!,1," Ha! I bethink me, t"
 @@@@@@@@@@thought! ,H,I,"a! I bethink me, the"
@@@@@@@@@thought! Ha,!,1," I bethink me, the r"
ne peril against whi,c,e,h the elixir could n
r could not guard me,—,-, one vulnerable poin
death might reach me,!,1, What is it!—where c
 into deep thought. ,“,I,This uncertainty wil
"on all my happiness,",”,',@ he continued; “@I 
"ss,”@ he continued; ",“,`,@I shall live in con
an invisible enemy. ,B,D,ut no matter! Perpet
enemy. But no matter,!,l, Perpetual life@!—pe
t no matter! Perpetu,a,n,l life@!—perpetual y
atter! Perpetual lif,e,o,@!—perpetual youth@!
l youth@!—what more ,n,u,eed be desir@ed@?”@ 
ried Auriol. “Ha!”@ ,e,c,"xclaimed the doctor,"
ed Auriol. “Ha!”@ ex,c,e,"laimed the doctor, s"
"an, and concealing t",h,l,e phial beneath his 
l beneath his gown. ,“,e,@Your caution is vai
